Date,Open,High,Low,Close,Volume,Adj Close
2007-11-09,3.1,3.1,3.1,3.1,0,3.1
2007-11-12,3.0,3.0,3.0,3.0,0,3.0
2007-11-13,3.1,3.1,3.1,3.1,400,3.1
2007-11-14,3.1,3.1,3.1,3.1,0,3.1
2007-11-15,3.1,3.1,3.1,3.1,0,3.1
2007-11-16,3.1,3.1,3.1,3.1,0,3.1
2007-11-19,3.1,3.1,3.1,3.1,0,3.1
2007-11-20,3.1,3.1,3.1,3.1,0,3.1
2007-11-21,3.1,3.1,3.1,3.1,0,3.1
2007-11-23,3.1,3.1,3.1,3.1,0,3.1
2007-11-26,3.1,3.1,3.1,3.1,0,3.1
2007-11-27,3.1,3.1,3.1,3.1,0,3.1
2007-11-28,3.1,3.1,3.1,3.1,0,3.1
2007-11-29,3.1,3.1,3.1,3.1,0,3.1
2007-11-30,3.1,3.1,3.1,3.1,0,3.1
2007-12-03,3.1,3.1,3.1,3.1,0,3.1
2007-12-04,3.1,3.1,3.1,3.1,0,3.1
2007-12-05,3.1,3.1,3.1,3.1,0,3.1
2007-12-06,3.1,3.1,3.1,3.1,0,3.1
2007-12-07,3.1,3.1,3.1,3.1,0,3.1
2007-12-10,3.1,3.1,3.1,3.1,0,3.1
2007-12-11,3.1,3.1,3.1,3.1,0,3.1
2007-12-12,3.1,3.1,3.1,3.1,0,3.1
2007-12-13,3.1,3.1,3.1,3.1,0,3.1
2007-12-14,3.1,3.1,3.1,3.1,0,3.1
2007-12-17,3.1,3.1,3.1,3.1,0,3.1
2007-12-18,3.1,3.1,3.1,3.1,0,3.1
2007-12-19,3.1,3.1,3.1,3.1,0,3.1
2007-12-20,3.1,3.1,3.1,3.1,0,3.1
2007-12-21,3.1,3.1,3.1,3.1,0,3.1
2007-12-24,3.1,3.1,3.1,3.1,0,3.1
2007-12-26,3.1,3.1,3.1,3.1,0,3.1
2007-12-27,3.1,3.1,3.1,3.1,0,3.1
2007-12-28,3.1,3.1,3.1,3.1,0,3.1
2007-12-31,3.1,3.1,3.1,3.1,0,3.1
2008-01-02,3.1,3.1,3.1,3.1,0,3.1
2008-01-03,3.1,3.1,3.1,3.1,0,3.1
2008-01-04,2.6,2.6,2.6,2.6,1000,2.6
2008-01-07,2.6,2.6,2.6,2.6,0,2.6
