Date,Open,High,Low,Close,Volume,Adj Close
2011-07-22,19.0,19.1,18.12,18.65,4826500,13.31
2011-07-25,18.6,18.61,18.18,18.25,658900,13.02
2011-07-26,18.25,18.45,18.19,18.25,408400,13.02
2011-07-27,18.3,18.44,18.01,18.2,322200,12.99
2011-07-28,18.07,18.4,18.05,18.35,230100,13.09
2011-07-29,18.1,18.26,17.32,18.02,456800,12.86
2011-08-01,18.2,18.6,17.95,18.28,86900,13.04
2011-08-02,18.22,18.22,18.0,18.0,134700,12.84
2011-08-03,18.0,18.1,17.91,18.01,158100,12.85
2011-08-04,17.76,18.35,17.72,18.05,268000,12.88
2011-08-05,17.72,18.01,17.32,17.89,360300,12.76
2011-08-08,17.5,17.63,16.79,17.17,467100,12.25
2011-08-09,17.17,18.43,16.6,18.24,246300,13.01
2011-08-10,17.95,17.95,17.19,17.47,196200,12.46
2011-08-11,17.49,17.93,17.2,17.9,248400,12.77
2011-08-12,17.62,17.78,17.59,17.75,87700,12.66
2011-08-15,17.6,18.24,17.6,18.0,123300,12.84
2011-08-16,17.99,18.19,17.85,18.01,66900,12.85
2011-08-17,17.69,18.06,17.65,17.8,62200,12.7
2011-08-18,17.7,17.79,17.42,17.63,93300,12.58
2011-08-19,17.64,17.74,17.35,17.46,165800,12.46
2011-08-22,17.6,17.65,17.12,17.5,43800,12.49
2011-08-23,17.47,17.96,17.3,17.76,139100,12.67
2011-08-24,17.65,17.65,17.3,17.4,44600,12.41
2011-08-25,17.5,17.64,16.91,17.29,103500,12.34
2011-08-26,17.12,17.5,16.98,17.5,42200,12.49
2011-08-29,17.54,17.7,17.24,17.55,34300,12.52
2011-08-30,17.5,17.5,17.3,17.5,47400,12.49
2011-08-31,17.48,17.85,17.32,17.75,138300,12.66
2011-09-01,17.75,17.75,17.25,17.6,65400,12.56
2011-09-02,17.5,17.59,17.24,17.3,60800,12.34
2011-09-06,16.86,17.3,16.86,17.11,79900,12.21
2011-09-07,17.35,17.44,16.89,17.13,59300,12.22
2011-09-08,17.15,17.15,16.94,17.04,82300,12.16
2011-09-09,17.0,17.12,16.94,17.12,62600,12.21
2011-09-12,17.01,17.05,16.7,16.97,82800,12.11
2011-09-13,17.01,17.15,16.77,16.93,188600,12.08
2011-09-14,17.04,17.07,16.8,17.02,76700,12.14
2011-09-15,17.16,17.16,16.81,16.95,36400,12.09
2011-09-16,16.95,17.45,16.84,17.45,59800,12.45
2011-09-19,17.25,17.25,16.61,16.94,94700,12.09
2011-09-20,16.85,16.93,16.5,16.58,156600,11.83
2011-09-21,16.43,16.49,16.25,16.33,88800,11.65
2011-09-22,15.89,16.39,15.75,16.09,206100,11.48
2011-09-23,15.97,16.25,15.91,16.23,80000,11.58
2011-09-26,16.14,16.34,15.93,16.33,63100,11.65
2011-09-27,16.63,16.64,15.84,16.29,121100,11.62
2011-09-28,16.19,16.46,15.92,16.16,53800,11.53
2011-09-29,16.45,16.61,15.61,16.48,100000,11.76
2011-09-30,16.18,16.5,15.88,16.4,1155900,11.7
2011-10-03,16.25,16.29,15.72,15.92,169800,11.36
2011-10-04,15.84,15.92,14.43,15.52,315700,11.07
2011-10-05,15.43,15.52,14.92,15.36,71100,10.96
2011-10-06,15.21,15.46,15.06,15.38,81000,10.97
2011-10-07,15.33,15.34,14.84,14.93,107300,10.65
2011-10-10,15.25,15.25,14.82,15.04,107400,10.73
2011-10-11,14.89,15.14,14.85,15.06,146200,10.74
2011-10-12,15.11,15.11,14.93,15.08,147500,10.76
2011-10-13,14.94,15.14,14.94,15.06,54000,10.74
2011-10-14,15.06,15.2,15.05,15.2,86300,10.84
2011-10-17,15.11,15.21,15.01,15.16,80200,10.82
2011-10-18,15.22,15.42,15.06,15.42,81100,11.0
2011-10-19,15.42,15.42,15.0,15.1,53400,10.77
2011-10-20,15.12,15.21,14.94,15.16,63000,10.82
2011-10-21,15.35,15.35,15.09,15.35,73200,10.95
2011-10-24,15.33,15.44,15.03,15.44,49500,11.02
2011-10-25,15.36,15.51,15.25,15.25,32300,10.88
2011-10-26,15.44,15.75,15.1,15.75,73100,11.24
2011-10-27,16.0,16.55,15.76,16.43,166700,11.72
2011-10-28,16.27,16.63,16.06,16.53,62500,11.79
2011-10-31,16.18,16.36,15.84,16.31,143400,11.64
2011-11-01,15.9,16.05,15.65,15.65,58700,11.17
2011-11-02,15.93,16.09,15.39,15.9,84700,11.34
2011-11-03,16.07,16.07,15.33,15.71,78000,11.21
2011-11-04,15.58,15.58,15.39,15.51,39500,11.07
2011-11-07,15.42,15.75,15.23,15.59,42100,11.12
2011-11-08,15.45,15.88,15.24,15.83,78000,11.29
2011-11-09,15.23,15.72,15.19,15.56,118000,11.1
2011-11-10,15.77,15.77,15.27,15.52,60100,11.07
2011-11-11,15.52,15.68,15.22,15.27,76300,10.89
2011-11-14,15.25,15.25,15.02,15.17,78200,10.82
2011-11-15,15.13,15.21,15.03,15.16,66200,10.82
2011-11-16,15.07,15.2,15.07,15.08,77200,10.76
2011-11-17,15.11,15.14,14.92,14.96,60200,10.67
2011-11-18,14.95,15.09,14.86,14.94,67800,10.66
2011-11-21,14.79,14.86,14.6,14.6,62400,10.42
2011-11-22,14.61,14.8,14.5,14.76,72300,10.53
2011-11-23,14.67,14.67,14.41,14.5,74200,10.35
2011-11-25,14.45,14.73,14.45,14.47,30900,10.32
2011-11-28,14.73,15.0,14.02,14.62,77500,10.43
2011-11-29,14.6,14.66,14.4,14.47,54000,10.32
2011-11-30,14.72,14.89,14.53,14.75,109700,10.52
2011-12-01,14.68,14.72,14.45,14.48,68500,10.33
2011-12-02,14.59,14.8,14.5,14.69,80600,10.48
2011-12-05,14.76,14.99,14.73,14.9,50200,10.63
2011-12-06,14.83,15.1,14.83,15.01,61800,10.71
2011-12-07,14.92,15.42,14.85,15.23,98700,10.87
2011-12-08,15.17,15.39,15.1,15.12,77200,10.79
2011-12-09,15.14,15.49,15.11,15.44,138600,11.02
