Date,Open,High,Low,Close,Volume,Adj Close
2010-11-24,5.0,5.15,4.56,5.09,1761400,5.09
2010-11-26,5.03,5.09,5.0,5.09,56400,5.09
2010-11-29,5.09,5.09,5.0,5.03,98500,5.03
2010-11-30,5.08,5.08,4.79,5.0,94800,5.0
2010-12-01,5.01,5.09,5.0,5.09,170600,5.09
2010-12-02,5.09,5.26,5.01,5.23,189100,5.23
2010-12-03,5.16,5.38,5.15,5.3,88400,5.3
2010-12-06,5.3,5.45,5.05,5.2,92000,5.2
2010-12-07,5.05,5.3,5.05,5.27,70800,5.27
2010-12-08,5.34,5.34,5.1,5.17,36500,5.17
2010-12-09,5.1,5.3,5.0,5.05,48700,5.05
2010-12-10,5.02,5.24,5.0,5.2,71600,5.2
2010-12-13,5.2,5.24,5.04,5.2,30700,5.2
2010-12-14,5.2,5.25,5.08,5.2,89400,5.2
2010-12-15,5.17,5.17,5.0,5.1,51600,5.1
2010-12-16,5.26,5.26,5.0,5.0,123600,5.0
2010-12-17,4.97,5.11,4.42,4.9,1460000,4.9
2010-12-20,5.0,5.13,5.0,5.06,61300,5.06
2010-12-21,5.05,5.05,5.0,5.0,300100,5.0
2010-12-22,5.0,5.04,4.94,5.01,389700,5.01
2010-12-23,5.0,5.23,4.9,4.98,49200,4.98
2010-12-27,4.95,5.0,4.9,4.92,45300,4.92
2010-12-28,4.9,5.01,4.9,4.95,49500,4.95
2010-12-29,4.94,5.1,4.93,5.08,18400,5.08
2010-12-30,5.04,5.25,5.04,5.2,30500,5.2
2010-12-31,4.94,5.38,4.94,5.37,47100,5.37
2011-01-03,5.73,6.34,5.52,6.25,247100,6.25
2011-01-04,6.3,6.86,6.0,6.8,139100,6.8
2011-01-05,6.8,7.15,6.7,7.14,99200,7.14
2011-01-06,7.15,7.47,7.09,7.37,59400,7.37
2011-01-07,7.97,9.35,7.55,8.17,541900,8.17
2011-01-10,8.17,8.31,7.89,8.25,133600,8.25
2011-01-11,8.33,8.65,8.3,8.55,83500,8.55
2011-01-12,8.8,9.05,8.49,9.05,80700,9.05
2011-01-13,9.25,9.25,8.95,8.95,111500,8.95
2011-01-14,9.0,9.14,7.55,9.0,211700,9.0
2011-01-18,9.0,9.0,8.5,8.85,65400,8.85
2011-01-19,8.8,8.94,7.71,7.86,103800,7.86
2011-01-20,7.79,7.98,7.2,7.57,82600,7.57
2011-01-21,7.57,7.72,7.24,7.26,34700,7.26
2011-01-24,7.3,8.53,7.3,8.12,135600,8.12
2011-01-25,8.03,8.25,7.58,7.61,62900,7.61
2011-01-26,7.67,7.99,7.67,7.91,27900,7.91
2011-01-27,7.87,8.08,7.87,7.92,27800,7.92
2011-01-28,7.94,8.01,7.35,7.51,66700,7.51
2011-01-31,7.51,7.85,7.2,7.72,133300,7.72
2011-02-01,7.75,7.9,7.54,7.69,55100,7.69
2011-02-02,7.69,7.72,6.83,7.25,68200,7.25
2011-02-03,7.27,8.02,7.27,7.4,27800,7.4
