Date,Open,High,Low,Close,Volume,Adj Close
2006-11-28,45.25,45.25,45.25,45.25,1900,39.59
2006-11-29,45.25,45.25,45.25,45.25,0,39.59
2006-11-30,45.25,45.25,45.25,45.25,0,39.59
2006-12-01,52.25,52.25,52.25,52.25,1100,45.71
2006-12-04,52.25,52.25,52.25,52.25,0,45.71
2006-12-05,52.25,52.25,52.25,52.25,0,45.71
2006-12-06,52.25,52.25,52.25,52.25,0,45.71
2006-12-07,52.25,52.25,52.25,52.25,0,45.71
2006-12-08,52.25,52.25,52.25,52.25,0,45.71
2006-12-11,52.25,52.25,52.25,52.25,0,45.71
2006-12-12,50.75,50.75,50.75,50.75,200,44.4
2006-12-13,50.75,50.75,50.75,50.75,0,44.4
2006-12-14,50.75,50.75,50.75,50.75,0,44.4
2006-12-15,50.75,50.75,50.75,50.75,2100,44.4
2006-12-18,50.75,50.75,50.75,50.75,0,44.4
2006-12-19,51.75,51.75,51.75,51.75,400,45.28
2006-12-20,51.0,51.0,51.0,51.0,2400,44.62
2006-12-21,51.0,51.0,51.0,51.0,400,44.62
2006-12-22,51.0,51.0,51.0,51.0,200,44.62
2006-12-26,50.75,50.75,50.75,50.75,700,44.4
2006-12-27,50.75,50.75,50.75,50.75,0,44.4
2006-12-28,50.75,50.75,50.75,50.75,0,44.4
2006-12-29,60.0,60.0,60.0,60.0,600,52.49
2007-01-03,59.0,59.0,58.8,59.0,900,51.62
2007-01-04,60.0,60.0,60.0,60.0,800,52.49
2007-01-05,60.0,60.0,60.0,60.0,0,52.49
2007-01-08,60.0,60.0,60.0,60.0,0,52.49
2007-01-09,60.0,60.0,60.0,60.0,0,52.49
2007-01-10,55.0,55.0,55.0,55.0,800,48.12
2007-01-11,56.35,56.35,56.35,56.35,2400,49.3
2007-01-12,63.0,63.0,63.0,63.0,1200,55.12
2007-01-16,63.0,63.0,63.0,63.0,0,55.12
2007-01-17,63.0,63.0,63.0,63.0,0,55.12
2007-01-18,63.0,63.0,63.0,63.0,0,55.12
2007-01-19,63.0,63.0,63.0,63.0,0,55.12
2007-01-22,63.0,63.0,63.0,63.0,0,55.12
2007-01-23,63.0,63.0,63.0,63.0,0,55.12
2007-01-24,67.5,67.5,67.5,67.5,200,59.06
2007-01-25,67.5,67.5,67.5,67.5,0,59.06
2007-01-26,67.5,67.5,67.5,67.5,0,59.06
2007-01-29,67.75,67.75,67.75,67.75,200,59.28
2007-01-30,66.5,66.5,66.5,66.5,300,58.18
2007-01-31,65.55,65.55,65.55,65.55,1600,57.35
2007-02-01,65.55,65.55,65.55,65.55,0,57.35
2007-02-02,61.25,61.25,61.25,61.25,1200,53.59
2007-02-05,61.25,61.25,61.25,61.25,0,53.59
2007-02-06,61.0,61.0,60.0,61.0,600,53.37
2007-02-07,61.0,61.0,61.0,61.0,400,53.37
2007-02-08,63.25,63.5,63.25,63.25,600,55.34
2007-02-09,63.25,63.25,63.25,63.25,0,55.34
2007-02-12,65.25,65.25,65.25,65.25,500,57.09
2007-02-13,63.5,63.5,63.5,63.5,1200,55.56
2007-02-14,60.0,62.0,60.0,60.0,300,52.49
2007-02-15,60.0,60.0,60.0,60.0,0,52.49
2007-02-16,65.0,65.0,65.0,65.0,1500,56.87
2007-02-20,63.5,63.5,63.5,63.5,400,55.56
2007-02-21,66.25,66.25,66.25,66.25,500,57.96
2007-02-22,68.0,68.0,68.0,68.0,400,59.49
2007-02-23,70.0,70.0,70.0,70.0,400,61.24
2007-02-26,71.0,71.0,70.75,71.0,700,62.12
2007-02-27,60.0,69.0,60.0,60.0,1300,52.49
2007-02-28,65.5,65.5,65.5,65.5,700,57.31
2007-03-01,64.25,64.25,64.25,64.25,900,56.21
2007-03-02,64.0,64.0,64.0,64.0,3700,55.99
2007-03-05,60.0,60.0,60.0,60.0,300,52.49
2007-03-06,60.0,60.0,60.0,60.0,1400,52.49
2007-03-07,60.0,60.0,60.0,60.0,0,52.49
2007-03-08,60.0,60.0,60.0,60.0,0,52.49
2007-03-09,63.7,63.7,63.7,63.7,200,55.73
2007-03-12,65.5,65.5,65.5,65.5,1400,57.31
2007-03-13,65.5,65.5,65.5,65.5,0,57.31
2007-03-14,65.5,65.5,65.5,65.5,0,57.31
2007-03-15,65.5,65.5,65.5,65.5,0,57.31
2007-03-16,65.5,65.5,65.5,65.5,0,57.31
2007-03-19,65.5,65.5,65.5,65.5,0,57.31
2007-03-20,65.5,65.5,65.5,65.5,0,57.31
2007-03-21,62.0,62.0,62.0,62.0,300,54.24
2007-03-22,62.0,62.0,62.0,62.0,0,54.24
2007-03-23,62.0,62.0,62.0,62.0,0,54.24
2007-03-26,62.0,62.0,62.0,62.0,0,54.24
2007-03-27,66.0,66.0,66.0,66.0,300,57.74
2007-03-28,68.0,68.0,68.0,68.0,300,59.49
2007-03-29,68.0,68.0,68.0,68.0,0,59.49
2007-03-30,68.0,68.0,68.0,68.0,0,59.49
2007-04-02,72.0,72.0,72.0,72.0,200,62.99
2007-04-03,72.0,72.0,72.0,72.0,0,62.99
2007-04-04,72.0,72.0,72.0,72.0,0,62.99
2007-04-05,72.0,72.0,72.0,72.0,0,62.99
2007-04-09,72.0,72.0,72.0,72.0,0,62.99
2007-04-10,78.0,78.0,78.0,78.0,100,68.24
2007-04-11,77.5,77.5,77.0,77.5,300,67.81
2007-04-12,77.5,77.5,77.5,77.5,0,67.81
2007-04-13,77.5,77.5,77.5,77.5,0,67.81
2007-04-16,93.5,93.5,93.5,93.5,200,81.8
2007-04-17,81.5,81.5,81.5,81.5,500,71.31
2007-04-18,79.5,79.5,79.5,79.5,300,69.56
2007-04-19,79.0,79.0,79.0,79.0,200,69.12
2007-04-20,81.0,81.0,81.0,81.0,100,70.87
2007-04-23,81.0,81.0,81.0,81.0,0,70.87
2007-04-24,85.0,85.0,85.0,85.0,200,77.23
2007-04-25,85.0,85.0,85.0,85.0,0,77.23
2007-04-26,79.0,81.0,79.0,79.0,400,71.78
