Date,Open,High,Low,Close,Volume,Adj Close
1984-09-07,3.5,3.62,3.5,3.62,1300,3.14
1984-09-10,3.62,3.75,3.62,3.75,2600,3.25
1984-09-11,3.75,3.75,3.75,3.75,600,3.25
1984-09-12,3.75,3.75,3.75,3.75,1300,3.25
1984-09-13,3.75,3.75,3.75,3.75,100,3.25
1984-09-14,3.75,3.88,3.75,3.75,2300,3.25
1984-09-17,3.75,3.75,3.62,3.62,2200,3.14
1984-09-18,3.62,3.62,3.62,3.62,2000,3.14
1984-09-19,3.62,3.62,3.62,3.62,5100,3.14
1984-09-20,3.62,3.62,3.62,3.62,2500,3.14
1984-09-21,3.62,3.62,3.62,3.62,1100,3.14
1984-09-24,3.62,3.62,3.62,3.62,1100,3.14
1984-09-25,3.62,3.62,3.62,3.62,1400,3.14
1984-09-26,3.62,3.75,3.62,3.62,600,3.14
1984-09-27,3.75,3.75,3.75,3.75,2700,3.25
1984-09-28,3.75,4.0,3.62,4.0,10200,3.47
1984-10-01,4.0,4.0,3.88,4.0,4800,3.47
1984-10-02,4.0,4.0,3.88,3.88,2300,3.36
1984-10-03,3.88,4.0,3.88,3.88,3600,3.36
1984-10-04,3.88,4.0,3.88,3.88,200,3.36
1984-10-05,3.88,3.88,3.88,3.88,300,3.36
1984-10-08,3.88,3.88,3.88,3.88,9200,3.36
1984-10-09,3.75,3.75,3.75,3.75,3300,3.25
1984-10-10,3.75,3.88,3.62,3.75,1300,3.25
1984-10-11,3.75,3.88,3.75,3.75,1700,3.25
1984-10-12,3.75,3.75,3.75,3.75,300,3.25
1984-10-15,3.75,3.75,3.75,3.75,4200,3.25
1984-10-16,3.75,3.75,3.5,3.5,4900,3.03
1984-10-17,3.5,3.5,3.5,3.5,2800,3.03
1984-10-18,3.5,3.62,3.5,3.5,700,3.03
1984-10-19,3.5,3.62,3.38,3.62,3300,3.14
1984-10-22,3.62,3.62,3.38,3.38,1900,2.92
1984-10-23,3.38,3.38,3.38,3.38,0,2.92
1984-10-24,3.38,3.38,3.38,3.38,200,2.92
1984-10-25,3.38,3.5,3.38,3.5,400,3.03
1984-10-26,3.5,3.5,3.38,3.38,15200,2.92
1984-10-29,3.38,3.38,3.25,3.38,4600,2.92
1984-10-30,3.38,3.5,3.38,3.38,1600,2.92
1984-10-31,3.25,3.25,3.25,3.25,300,2.82
1984-11-01,3.25,3.38,3.25,3.38,800,2.92
1984-11-02,3.38,3.62,3.38,3.62,3800,3.14
1984-11-05,3.62,3.62,3.5,3.5,1200,3.03
1984-11-06,3.5,3.5,3.5,3.5,500,3.03
1984-11-07,3.5,3.75,3.5,3.75,1900,3.25
1984-11-08,3.88,4.25,3.88,4.25,9100,3.68
1984-11-09,4.25,4.5,4.25,4.38,22200,3.79
1984-11-12,4.38,4.5,4.0,4.0,7500,3.47
1984-11-13,4.0,4.0,4.0,4.0,1800,3.47
1984-11-14,4.0,4.0,3.88,4.0,1300,3.47
1984-11-15,4.0,4.0,3.88,4.0,1400,3.47
1984-11-16,4.0,4.0,4.0,4.0,300,3.47
1984-11-19,4.0,4.0,3.88,3.88,1900,3.36
1984-11-20,3.88,3.88,3.88,3.88,3100,3.36
1984-11-21,3.88,4.0,3.88,4.0,700,3.47
1984-11-23,4.0,4.0,4.0,4.0,900,3.47
1984-11-26,4.0,4.0,3.88,3.88,200,3.36
1984-11-27,3.88,3.88,3.75,3.75,2200,3.25
1984-11-28,3.75,3.88,3.62,3.62,3200,3.14
1984-11-29,3.62,3.62,3.5,3.5,300,3.03
