Date,Open,High,Low,Close,Volume,Adj Close
2014-02-05,15.0,16.25,13.25,15.66,4139600,15.66
2014-02-06,15.99,16.0,15.5,15.97,308800,15.97
2014-02-07,15.75,17.74,15.53,17.65,257800,17.65
2014-02-10,18.29,20.75,17.9,19.27,253200,19.27
2014-02-11,19.12,21.0,18.51,20.17,345900,20.17
2014-02-12,20.49,23.13,19.87,22.2,326800,22.2
2014-02-13,21.61,25.13,20.0,24.69,420000,24.69
2014-02-14,25.0,25.0,22.87,23.93,163100,23.93
2014-02-18,24.01,24.08,22.05,23.05,149800,23.05
2014-02-19,23.0,23.49,22.08,22.79,104300,22.79
2014-02-20,23.0,23.65,22.33,23.17,54500,23.17
2014-02-21,23.03,24.42,22.64,24.11,98900,24.11
2014-02-24,24.39,26.32,24.39,25.15,163900,25.15
2014-02-25,25.02,26.46,24.63,26.46,279100,26.46
2014-02-26,26.5,29.24,26.31,27.75,149100,27.75
2014-02-27,28.9,29.0,27.96,28.85,143400,28.85
2014-02-28,28.9,30.62,24.25,24.7,346200,24.7
2014-03-03,24.49,27.79,23.05,26.42,194000,26.42
2014-03-04,27.0,28.59,25.01,28.18,147800,28.18
2014-03-05,28.99,29.45,27.17,27.97,42500,27.97
2014-03-06,27.97,29.0,26.0,28.65,87300,28.65
2014-03-07,28.65,29.8,28.01,29.66,69700,29.66
2014-03-10,29.95,30.87,28.46,29.91,247500,29.91
2014-03-11,30.18,34.0,29.51,29.88,158100,29.88
2014-03-12,29.9,30.69,29.48,30.01,91400,30.01
2014-03-13,30.54,31.0,29.69,30.15,61900,30.15
2014-03-14,30.04,30.43,29.06,30.4,138900,30.4
2014-03-17,30.6,32.87,30.25,32.64,95200,32.64
2014-03-18,33.98,35.78,32.85,34.61,173000,34.61
2014-03-19,34.54,34.7,33.55,34.03,68000,34.03
2014-03-20,33.78,34.32,32.53,33.26,269000,33.26
2014-03-21,32.77,32.84,29.08,29.65,418800,29.65
2014-03-24,29.95,30.62,28.0,29.22,118900,29.22
2014-03-25,29.67,30.98,28.1,30.25,175000,30.25
2014-03-26,30.77,30.77,28.4,29.08,110900,29.08
2014-03-27,29.23,30.69,27.24,30.38,242400,30.38
2014-03-28,30.27,31.76,29.4,30.35,208800,30.35
2014-03-31,30.5,31.87,28.14,30.76,1236300,30.76
2014-04-01,30.74,31.48,30.09,30.65,196500,30.65
2014-04-02,30.65,31.23,29.4,29.98,221200,29.98
2014-04-03,30.18,30.63,27.99,28.99,278700,28.99
2014-04-04,29.08,30.78,28.49,29.74,520000,29.74
2014-04-07,29.49,30.1,27.75,29.61,175800,29.61
2014-04-08,29.76,30.21,29.36,30.03,105300,30.03
2014-04-09,30.24,32.62,30.07,32.38,98700,32.38
2014-04-10,32.18,33.09,30.89,32.65,112300,32.65
2014-04-11,32.4,32.48,29.78,29.94,94600,29.94
2014-04-14,30.31,31.1,25.8,26.54,252900,26.54
2014-04-15,26.72,26.72,20.0,21.46,301900,21.46
2014-04-16,21.65,22.26,20.22,20.98,268900,20.98
2014-04-17,20.85,23.0,20.25,20.86,193000,20.86
2014-04-21,20.76,22.34,20.36,20.88,85400,20.88
2014-04-22,20.81,23.02,20.37,22.91,234500,22.91
2014-04-23,22.73,24.05,21.44,23.6,136300,23.6
2014-04-24,23.8,25.0,23.11,23.4,121400,23.4
