Date,Open,High,Low,Close,Volume,Adj Close
2014-03-21,13.75,16.5,13.58,16.21,12702100,16.21
2014-03-24,16.26,16.3,15.07,15.25,686800,15.25
2014-03-25,15.45,15.45,15.0,15.2,685600,15.2
2014-03-26,15.11,15.25,13.63,14.01,1171300,14.01
2014-03-27,13.98,14.26,13.65,14.25,432800,14.25
2014-03-28,14.44,15.0,14.18,14.66,412700,14.66
2014-03-31,14.71,15.04,14.71,15.04,516900,15.04
2014-04-01,15.1,15.29,14.9,15.22,283100,15.22
2014-04-02,15.26,15.26,14.66,14.7,483300,14.7
2014-04-03,14.71,14.84,14.5,14.7,449000,14.7
2014-04-04,14.53,14.85,13.86,14.16,365800,14.16
2014-04-07,14.1,14.28,13.69,13.82,388500,13.82
2014-04-08,13.68,13.93,13.54,13.76,242900,13.76
2014-04-09,13.61,14.12,13.51,13.87,308900,13.87
2014-04-10,14.0,14.12,12.92,13.33,613700,13.33
2014-04-11,13.17,13.63,13.15,13.56,607100,13.56
2014-04-14,13.85,14.12,13.71,14.12,540800,14.12
2014-04-15,14.08,14.6,13.73,14.47,550900,14.47
2014-04-16,15.4,15.4,14.8,15.02,546800,15.02
2014-04-17,14.92,15.25,14.3,14.74,364200,14.74
2014-04-21,14.51,15.12,14.26,14.27,253400,14.27
2014-04-22,14.28,14.57,13.92,14.25,95200,14.25
2014-04-23,14.3,14.42,13.38,13.54,247900,13.54
2014-04-24,13.73,13.73,12.6,12.84,311800,12.84
