Date,Open,High,Low,Close,Volume,Adj Close
1995-11-01,12.63,12.63,12.38,12.44,875000,49.09
1995-11-02,12.5,13.0,12.38,13.0,438500,51.31
1995-11-03,12.75,13.0,12.63,12.69,49400,50.07
1995-11-06,12.63,12.88,12.63,12.75,93900,50.32
1995-11-07,12.75,12.88,12.63,12.69,97700,50.07
1995-11-08,12.88,12.88,12.63,12.69,59600,50.07
1995-11-09,12.88,13.0,12.75,13.0,99300,51.31
1995-11-10,13.0,13.0,12.75,13.0,14900,51.31
1995-11-13,13.0,13.0,12.63,12.63,36700,49.83
1995-11-14,12.75,12.88,12.63,12.88,13100,50.81
1995-11-15,12.88,12.88,12.63,12.88,10400,50.81
1995-11-16,12.75,12.88,12.63,12.75,17800,50.32
1995-11-17,12.88,12.94,12.63,12.88,35100,50.81
1995-11-20,12.88,12.88,12.75,12.88,11900,50.81
1995-11-21,12.88,13.0,12.75,13.0,20300,51.31
1995-11-22,12.97,13.13,12.75,13.0,33700,51.31
1995-11-24,13.13,13.13,12.81,12.88,1700,50.81
1995-11-27,13.0,13.0,12.75,13.0,29600,51.31
1995-11-28,12.94,13.06,12.75,12.88,17900,50.81
1995-11-29,12.88,13.13,12.88,13.0,38000,51.31
1995-11-30,13.0,13.13,12.88,13.0,14700,51.31
1995-12-01,13.13,13.13,12.88,13.13,17800,51.8
1995-12-04,13.13,13.13,12.88,13.0,31900,51.31
1995-12-05,12.88,13.13,12.88,13.0,26700,51.31
1995-12-06,13.13,13.25,13.0,13.25,14100,52.29
1995-12-07,13.0,13.25,12.88,13.0,16500,51.31
1995-12-08,12.88,13.25,12.88,13.13,21900,51.8
1995-12-11,13.13,13.13,12.88,12.91,12600,50.94
1995-12-12,13.13,13.13,12.88,13.13,6400,51.8
1995-12-13,13.13,13.25,13.0,13.13,8000,51.8
1995-12-14,13.13,13.25,13.0,13.13,13700,51.8
1995-12-15,13.13,13.13,13.0,13.0,2200,51.31
1995-12-18,13.0,13.0,12.75,12.75,7600,50.32
1995-12-19,12.88,12.88,12.81,12.88,9200,50.81
1995-12-20,13.0,13.0,12.88,13.0,21700,51.31
1995-12-21,13.0,13.06,12.75,13.06,12300,51.55
1995-12-22,13.13,13.13,13.0,13.0,12500,51.31
1995-12-26,13.13,13.25,12.88,13.25,1800,52.29
1995-12-27,12.88,13.13,12.88,13.13,2900,51.8
1995-12-28,13.0,13.13,12.88,13.13,2800,51.8
1995-12-29,13.13,13.25,13.13,13.13,6000,51.8
1996-01-02,13.0,13.13,13.0,13.06,21300,51.55
1996-01-03,13.25,13.25,13.0,13.25,17100,52.29
1996-01-04,13.25,13.25,13.0,13.25,34900,52.29
1996-01-05,13.25,13.38,13.0,13.25,7000,52.29
1996-01-08,13.25,13.25,13.13,13.25,1900,52.29
1996-01-09,13.25,13.38,13.13,13.25,16300,52.29
1996-01-10,13.25,13.5,13.25,13.25,53300,52.29
1996-01-11,13.25,13.38,13.25,13.25,25000,52.29
1996-01-12,13.38,13.38,13.25,13.25,14300,52.29
1996-01-15,13.38,13.38,13.25,13.38,3400,52.78
1996-01-16,13.38,13.38,13.25,13.38,16400,52.78
1996-01-17,13.38,13.5,13.25,13.5,6300,53.28
1996-01-18,13.38,13.5,13.25,13.5,11100,53.28
1996-01-19,13.5,13.5,13.38,13.38,7100,52.78
1996-01-22,13.5,13.5,13.25,13.5,6800,53.28
1996-01-23,13.5,13.5,13.13,13.38,11100,52.78
1996-01-24,13.25,13.38,13.13,13.25,5900,52.29
1996-01-25,13.13,13.38,13.13,13.25,4600,52.29
1996-01-26,13.38,13.38,13.0,13.25,22200,52.29
1996-01-29,13.25,13.25,12.88,13.13,20300,51.8
1996-01-30,13.0,13.13,12.75,12.88,17800,50.81
1996-01-31,12.88,13.0,12.63,12.88,15800,50.81
1996-02-01,12.63,12.88,12.63,12.81,5600,50.57
1996-02-02,12.88,13.0,12.63,12.88,13900,50.81
1996-02-05,12.75,13.0,12.75,13.0,12500,51.31
1996-02-06,13.0,13.13,12.97,13.06,20100,51.55
1996-02-07,13.13,13.38,13.0,13.38,30200,52.78
1996-02-08,13.31,13.38,13.0,13.25,9200,52.29
1996-02-09,13.0,13.25,12.88,13.25,9000,52.29
1996-02-12,13.25,13.5,12.75,13.13,2800,51.8
1996-02-13,13.13,13.13,12.75,13.13,1400,51.8
1996-02-14,12.88,13.13,12.75,13.0,10300,51.31
1996-02-15,13.0,13.0,12.75,13.0,3000,51.31
1996-02-16,13.0,13.0,12.75,13.0,4000,51.31
1996-02-20,13.0,13.0,12.69,12.69,8900,50.07
1996-02-21,12.63,13.0,12.63,12.75,2200,50.32
1996-02-22,12.88,13.0,12.75,12.81,4600,50.57
1996-02-23,12.63,13.0,12.63,12.69,4300,50.07
1996-02-26,12.63,13.0,12.63,12.81,8300,50.57
1996-02-27,12.88,13.0,12.75,12.75,3500,50.32
1996-02-28,13.0,13.0,12.75,12.88,1900,50.81
1996-02-29,12.88,12.88,12.75,12.88,12200,50.81
1996-03-01,12.75,12.88,12.63,12.75,20300,50.32
1996-03-04,12.69,12.88,12.5,12.5,16000,49.33
1996-03-05,12.5,12.63,12.38,12.48,14900,49.27
1996-03-06,12.38,12.63,12.38,12.63,11500,49.83
1996-03-07,12.59,12.63,12.38,12.63,4400,49.83
1996-03-08,12.38,12.63,12.13,12.38,14300,48.84
1996-03-11,12.25,12.5,12.25,12.38,20400,48.84
1996-03-12,12.38,12.63,12.38,12.38,50300,48.84
1996-03-13,12.63,12.88,12.5,12.88,33900,50.81
1996-03-14,13.0,13.13,12.88,12.88,59500,50.81
1996-03-15,13.13,13.13,12.88,12.88,31900,50.81
1996-03-18,12.88,13.38,12.88,13.13,26900,51.8
1996-03-19,13.0,13.25,13.0,13.25,36400,52.29
1996-03-20,13.25,13.25,13.0,13.13,36500,51.8
1996-03-21,13.06,13.25,13.0,13.06,9600,51.55
1996-03-22,13.25,13.25,13.0,13.0,9100,51.31
1996-03-25,13.25,13.25,13.0,13.13,14300,51.8
1996-03-26,13.19,13.25,13.0,13.13,8200,51.8
1996-03-27,13.13,13.25,13.0,13.25,3000,52.49
1996-03-28,13.0,13.38,13.0,13.0,13600,51.5
1996-03-29,13.25,13.5,13.0,13.5,1900,53.48
1996-04-01,13.38,13.5,13.13,13.38,5300,52.99
1996-04-02,13.38,13.69,13.38,13.56,24500,53.73
1996-04-03,13.38,13.75,13.38,13.63,7600,53.98
1996-04-04,13.5,13.75,13.38,13.53,4800,53.61
1996-04-08,13.38,13.63,13.38,13.63,16100,53.98
1996-04-09,13.5,13.88,13.5,13.63,13400,53.98
1996-04-10,13.63,13.75,13.5,13.63,13200,53.98
1996-04-11,13.75,13.75,13.63,13.75,6100,54.47
1996-04-12,13.75,14.13,13.75,14.13,37700,55.96
1996-04-15,14.13,14.5,13.88,14.25,18400,56.45
1996-04-16,14.25,14.44,14.0,14.38,43900,56.95
1996-04-17,14.38,14.38,14.0,14.13,31900,55.96
1996-04-18,14.38,14.38,14.06,14.13,8100,55.96
1996-04-19,14.38,14.38,14.0,14.38,10400,56.95
1996-04-22,14.38,14.38,14.13,14.25,7600,56.45
1996-04-23,14.5,14.75,14.25,14.69,9500,58.19
1996-04-24,14.75,14.75,14.5,14.63,16300,57.94
1996-04-25,14.63,14.75,14.5,14.63,1900,57.94
1996-04-26,14.75,15.0,14.5,14.56,50000,57.69
1996-04-29,14.75,14.75,14.5,14.5,10300,57.44
1996-04-30,14.75,15.13,14.5,15.13,59700,59.92
1996-05-01,15.0,15.0,14.88,14.88,5500,58.93
1996-05-02,15.13,15.13,14.5,14.63,13200,57.94
1996-05-03,14.5,14.75,14.5,14.75,19200,58.43
1996-05-06,14.75,14.75,14.5,14.63,27200,57.94
1996-05-07,14.75,14.75,14.5,14.63,50300,57.94
1996-05-08,14.5,14.63,14.25,14.63,5700,57.94
1996-05-09,14.25,14.63,14.25,14.38,2100,56.95
1996-05-10,14.63,14.63,14.25,14.5,6600,57.44
1996-05-13,14.5,14.63,14.5,14.5,800,57.44
1996-05-14,14.63,14.75,14.5,14.63,5100,57.94
1996-05-15,14.75,15.0,14.5,15.0,8800,59.42
1996-05-16,14.75,15.0,14.75,15.0,5600,59.42
1996-05-17,15.0,15.0,14.88,15.0,1300,59.42
1996-05-20,15.0,15.19,14.75,15.06,9300,59.67
1996-05-21,14.88,15.38,14.88,15.25,5000,60.41
1996-05-22,15.13,15.38,15.13,15.13,2100,59.92
1996-05-23,15.13,15.38,15.13,15.25,2800,60.41
1996-05-24,15.13,15.25,15.13,15.19,4800,60.17
1996-05-28,15.25,15.38,15.19,15.38,28400,60.91
1996-05-29,15.13,15.38,15.13,15.38,5500,60.91
1996-05-30,15.25,15.38,15.13,15.25,40900,60.41
1996-05-31,15.13,15.38,15.0,15.38,7100,60.91
1996-06-03,15.38,15.38,15.0,15.38,5800,60.91
1996-06-04,15.0,15.38,15.0,15.13,2400,59.92
1996-06-05,15.06,15.38,15.0,15.0,7300,59.42
1996-06-06,15.13,15.25,14.88,14.88,800,58.93
1996-06-07,14.88,15.0,14.75,15.0,3100,59.42
1996-06-10,14.75,15.0,14.75,14.88,1400,58.93
1996-06-11,14.75,15.0,14.75,14.75,1300,58.43
1996-06-12,14.75,15.0,14.75,14.88,1600,58.93
1996-06-13,14.75,15.0,14.63,14.63,3500,57.94
1996-06-14,15.0,15.0,14.63,14.63,500,57.94
1996-06-17,15.0,15.0,14.5,14.63,2900,57.94
1996-06-18,14.88,14.88,14.38,14.38,6300,56.95
1996-06-19,14.75,14.75,14.38,14.5,1100,57.44
1996-06-20,14.44,14.63,14.38,14.44,7000,57.2
1996-06-21,14.38,14.63,14.38,14.5,2800,57.44
1996-06-24,14.63,14.63,14.25,14.5,5100,57.44
1996-06-25,14.5,14.5,14.25,14.38,3200,56.95
1996-06-26,14.5,14.5,14.25,14.38,1100,57.15
1996-06-27,14.5,14.88,14.5,14.88,11500,59.13
1996-06-28,15.0,15.75,14.75,15.63,23300,62.12
1996-07-01,15.75,15.75,15.5,15.56,9700,61.87
1996-07-02,15.5,15.63,15.25,15.31,4200,60.87
1996-07-03,15.5,15.5,15.25,15.5,1500,61.62
1996-07-05,15.5,15.5,15.25,15.25,2800,60.63
1996-07-08,15.13,15.38,15.0,15.13,5900,60.13
1996-07-09,15.38,15.38,15.0,15.25,1000,60.63
1996-07-10,15.38,15.38,14.88,14.88,4100,59.13
1996-07-11,15.0,15.0,14.75,14.75,7200,58.64
1996-07-12,14.88,14.88,14.5,14.5,4700,57.64
1996-07-15,14.5,14.75,14.38,14.75,3100,58.64
1996-07-16,14.75,14.75,14.25,14.5,2400,57.64
1996-07-17,14.38,14.63,14.25,14.63,2200,58.14
1996-07-18,14.25,14.63,14.25,14.63,3500,58.14
1996-07-19,14.75,14.75,14.5,14.75,1100,58.64
1996-07-22,14.75,14.75,14.63,14.63,600,58.14
1996-07-23,14.75,14.75,14.5,14.63,5800,58.14
1996-07-24,14.5,14.75,14.5,14.63,2300,58.14
1996-07-25,14.75,14.75,14.63,14.63,1300,58.14
1996-07-26,14.88,15.13,14.63,14.75,3000,58.64
1996-07-29,14.88,15.13,14.75,15.13,2200,60.13
1996-07-30,15.0,15.38,15.0,15.0,6600,59.63
1996-07-31,15.0,15.5,15.0,15.44,6300,61.37
1996-08-01,15.5,15.5,15.25,15.25,4900,60.63
1996-08-02,15.25,15.5,15.25,15.38,3700,61.12
1996-08-05,15.25,15.63,15.25,15.38,3200,61.12
1996-08-06,15.38,15.63,15.38,15.5,900,61.62
1996-08-07,15.5,15.69,15.38,15.63,3900,62.12
1996-08-08,15.63,15.75,15.5,15.75,11000,62.61
1996-08-09,15.5,15.88,15.5,15.88,2500,63.11
1996-08-12,15.63,16.38,15.63,16.13,12700,64.1
1996-08-13,16.38,16.5,16.13,16.5,7500,65.6
1996-08-14,16.38,16.5,16.25,16.38,16200,65.1
1996-08-15,16.38,16.38,16.0,16.19,6700,64.35
1996-08-16,16.0,16.25,16.0,16.0,1700,63.61
1996-08-19,16.25,16.25,16.13,16.25,1000,64.6
1996-08-20,16.38,16.38,16.0,16.25,1400,64.6
1996-08-21,16.0,16.25,16.0,16.25,16300,64.6
1996-08-22,16.25,16.5,16.13,16.38,1100,65.1
1996-08-23,16.25,17.0,16.25,17.0,14000,67.58
1996-08-26,17.0,17.5,16.75,17.25,19600,68.58
1996-08-27,17.5,17.5,17.13,17.25,13400,68.58
1996-08-28,17.38,17.38,17.13,17.13,5200,68.08
1996-08-29,17.13,17.25,17.13,17.25,9800,68.58
1996-08-30,17.19,17.25,17.13,17.13,1500,68.08
1996-09-03,17.0,17.25,17.0,17.25,3000,68.58
1996-09-04,17.13,17.25,17.13,17.13,1200,68.08
1996-09-05,17.13,17.25,16.88,16.88,5500,67.09
1996-09-06,17.0,17.0,16.88,17.0,2000,67.58
1996-09-09,16.88,17.0,16.63,16.69,5200,66.34
1996-09-10,16.75,16.75,16.5,16.5,2000,65.6
1996-09-11,16.63,16.63,16.5,16.56,1900,65.84
1996-09-12,16.63,16.75,16.5,16.75,1000,66.59
1996-09-13,16.5,16.75,16.5,16.63,1700,66.09
1996-09-16,16.75,16.88,16.5,16.88,1900,67.09
1996-09-17,16.88,16.88,16.88,16.88,1300,67.09
1996-09-18,16.88,16.88,16.63,16.88,500,67.09
1996-09-19,16.88,16.88,16.63,16.75,1500,66.59
1996-09-20,16.63,17.0,16.63,16.81,2800,66.84
1996-09-23,16.88,17.0,16.63,17.0,1700,67.58
1996-09-24,17.0,17.13,16.75,17.0,3800,67.58
1996-09-25,17.13,17.13,16.88,17.0,3400,67.58
1996-09-26,16.88,17.0,16.88,17.0,6700,67.78
1996-09-27,17.0,17.0,16.75,16.88,3800,67.28
1996-09-30,16.63,16.63,16.63,16.63,100,66.29
1996-10-01,16.63,16.88,16.63,16.88,600,67.28
1996-10-02,16.63,17.13,16.63,17.13,3400,68.28
1996-10-03,16.88,17.13,16.88,17.13,1600,68.28
1996-10-04,17.13,17.25,17.0,17.25,1000,68.78
1996-10-07,17.25,17.25,17.0,17.25,3000,68.78
1996-10-08,17.0,17.25,16.88,16.88,900,67.28
