Date,Open,High,Low,Close,Volume,Adj Close
1992-02-25,6.75,7.5,6.62,7.5,2300,50.32
1992-02-26,7.0,8.25,7.0,8.25,3600,55.35
1992-02-27,8.25,8.25,7.5,8.25,1500,55.35
1992-02-28,7.5,8.12,7.5,7.87,1600,52.83
1992-03-02,7.5,8.12,7.5,8.0,1500,53.67
1992-03-03,8.75,8.75,8.0,8.0,1100,53.67
1992-03-04,8.75,8.75,8.0,8.12,2600,54.51
1992-03-05,8.5,8.5,8.0,8.5,1600,57.02
1992-03-06,8.0,8.5,8.0,8.5,100,57.02
1992-03-09,8.25,8.25,8.25,8.25,0,55.35
1992-03-10,8.25,8.25,8.25,8.25,0,55.35
1992-03-11,8.25,8.25,8.0,8.25,400,55.35
1992-03-12,8.25,8.25,8.0,8.0,600,53.67
1992-03-13,8.25,8.75,8.0,8.0,1000,53.67
1992-03-16,8.5,8.5,8.0,8.12,6600,54.51
1992-03-17,8.0,8.5,8.0,8.0,200,53.67
1992-03-18,8.5,8.5,8.25,8.37,1700,56.19
1992-03-19,8.5,8.5,8.5,8.5,0,57.02
1992-03-20,8.5,8.5,8.0,8.0,100,53.67
1992-03-23,8.37,8.5,8.37,8.37,1100,56.19
1992-03-24,8.5,8.75,8.0,8.0,900,53.67
1992-03-25,8.0,8.75,8.0,8.75,2800,58.7
1992-03-26,8.75,8.75,8.25,8.75,2400,58.7
1992-03-27,8.75,8.75,8.75,8.75,0,58.7
1992-03-30,8.25,8.25,8.25,8.25,0,55.35
1992-03-31,8.25,8.25,8.25,8.25,300,55.35
1992-04-01,8.0,8.0,8.0,8.0,100,53.67
1992-04-02,8.12,8.5,8.0,8.5,2100,57.02
1992-04-03,8.37,8.5,8.0,8.0,900,53.67
1992-04-06,8.37,8.37,8.37,8.37,400,56.19
1992-04-07,8.37,8.37,8.0,8.25,900,55.35
1992-04-08,8.0,8.0,8.0,8.0,1200,53.67
1992-04-09,8.37,8.37,8.25,8.25,1200,55.35
1992-04-10,8.25,8.25,8.25,8.25,0,55.35
1992-04-13,8.0,8.0,8.0,8.0,0,53.67
1992-04-14,8.37,8.5,8.37,8.5,1400,57.02
1992-04-15,8.5,8.5,8.5,8.5,0,57.02
1992-04-16,8.37,8.37,8.37,8.37,500,56.19
1992-04-20,8.37,8.37,8.37,8.37,0,56.19
1992-04-21,8.37,8.37,8.37,8.37,0,56.19
1992-04-22,8.0,8.5,8.0,8.5,1000,57.02
1992-04-23,8.0,8.0,8.0,8.0,200,53.67
