Date,Open,High,Low,Close,Volume,Adj Close
2012-03-28,31.11,36.5,31.0,35.92,7671900,35.92
2012-03-29,37.64,40.0,37.36,37.92,1629700,37.92
2012-03-30,38.67,39.95,34.36,34.84,941000,34.84
2012-04-02,35.0,35.69,33.55,34.65,288600,34.65
2012-04-03,37.6,39.68,37.2,38.75,1463500,38.75
2012-04-04,37.2,38.9,37.0,37.37,723000,37.37
2012-04-05,37.7,39.87,37.56,38.97,565200,38.97
2012-04-09,39.04,39.5,38.09,38.75,357500,38.75
2012-04-10,38.89,38.9,36.88,37.2,391500,37.2
2012-04-11,38.0,39.1,37.6,39.1,145000,39.1
2012-04-12,39.27,41.14,39.0,41.0,529500,41.0
2012-04-13,40.54,44.0,39.75,43.29,441500,43.29
2012-04-16,44.99,45.0,41.58,43.47,446700,43.47
2012-04-17,44.35,44.48,40.64,41.0,364200,41.0
2012-04-18,40.55,42.71,39.63,42.0,534000,42.0
2012-04-19,41.94,42.69,40.39,40.74,223700,40.74
2012-04-20,41.25,42.1,40.01,40.1,115800,40.1
2012-04-23,39.94,39.94,39.0,39.25,144200,39.25
2012-04-24,39.5,39.68,36.5,37.0,382800,37.0
2012-04-25,37.65,40.0,36.79,39.61,263700,39.61
2012-04-26,39.61,40.98,38.91,39.96,197500,39.96
2012-04-27,40.08,41.65,38.96,40.84,240600,40.84
2012-04-30,39.01,41.45,39.01,39.79,154000,39.79
2012-05-01,39.5,40.11,38.31,39.08,456400,39.08
2012-05-02,38.65,39.44,38.6,38.75,159900,38.75
2012-05-03,40.11,40.11,38.82,38.95,101000,38.95
2012-05-04,38.75,38.99,36.91,37.02,153000,37.02
2012-05-07,38.01,38.5,37.6,38.37,182000,38.37
2012-05-08,38.17,38.4,36.75,37.4,179200,37.4
2012-05-09,37.27,38.75,37.24,38.69,78900,38.69
2012-05-10,39.25,40.3,38.78,39.6,174100,39.6
2012-05-11,39.6,40.24,39.3,39.77,68000,39.77
2012-05-14,39.5,39.7,38.98,39.49,59200,39.49
2012-05-15,39.71,39.97,38.2,38.22,85000,38.22
2012-05-16,38.27,39.05,37.51,37.6,82100,37.6
2012-05-17,37.41,37.84,36.52,36.62,94400,36.62
2012-05-18,36.45,36.49,35.75,36.39,151200,36.39
2012-05-21,37.0,38.33,37.0,38.15,90000,38.15
2012-05-22,38.3,38.3,36.31,37.73,37200,37.73
2012-05-23,37.72,38.96,37.35,38.95,69000,38.95
2012-05-24,39.0,39.1,38.3,39.1,64000,39.1
2012-05-25,39.22,40.0,39.0,39.85,99800,39.85
2012-05-29,40.0,41.49,39.8,41.11,130900,41.11
2012-05-30,40.87,41.49,40.51,40.8,93700,40.8
2012-05-31,40.87,40.9,40.08,40.15,120100,40.15
2012-06-01,39.8,39.8,37.51,37.85,174700,37.85
2012-06-04,38.31,38.31,37.0,37.61,133400,37.61
2012-06-05,39.18,39.18,36.76,37.13,143300,37.13
2012-06-06,37.55,37.69,35.65,35.95,383100,35.95
2012-06-07,37.7,37.95,32.66,34.9,1186200,34.9
2012-06-08,34.76,35.68,33.3,35.62,534600,35.62
2012-06-11,36.47,37.15,34.66,36.3,307000,36.3
2012-06-12,36.3,36.61,35.65,36.3,224500,36.3
2012-06-13,36.09,37.11,35.01,37.0,121200,37.0
2012-06-14,36.73,37.23,36.69,37.08,128500,37.08
2012-06-15,37.15,38.21,37.02,37.75,250500,37.75
2012-06-18,37.54,37.94,37.37,37.73,174100,37.73
2012-06-19,37.98,37.98,36.81,36.84,170400,36.84
2012-06-20,36.79,36.79,35.33,36.15,188200,36.15
2012-06-21,36.08,36.23,35.76,36.05,105500,36.05
2012-06-22,36.1,36.29,35.28,35.6,761800,35.6
2012-06-25,35.22,36.33,35.01,36.3,68500,36.3
2012-06-26,36.31,36.98,35.66,36.92,89400,36.92
2012-06-27,37.0,39.89,36.71,39.39,252300,39.39
2012-06-28,39.21,39.91,38.32,39.74,196200,39.74
2012-06-29,40.23,42.26,40.12,41.86,242800,41.86
2012-07-02,42.09,42.09,40.59,41.98,123900,41.98
2012-07-03,41.78,42.4,41.1,42.3,37900,42.3
2012-07-05,42.46,44.68,42.45,43.99,166500,43.99
2012-07-06,43.72,43.77,42.23,43.72,63100,43.72
2012-07-09,44.0,44.05,41.69,41.72,229200,41.72
2012-07-10,41.75,41.88,39.87,40.1,236900,40.1
2012-07-11,40.09,40.93,39.63,40.01,64000,40.01
2012-07-12,39.77,40.96,39.07,40.49,70000,40.49
2012-07-13,40.53,41.49,40.18,41.07,128300,41.07
2012-07-16,41.19,42.22,41.04,41.68,34400,41.68
2012-07-17,41.59,41.7,39.67,39.88,149600,39.88
2012-07-18,39.98,40.1,39.51,39.81,92100,39.81
2012-07-19,39.8,40.46,39.68,40.35,116900,40.35
2012-07-20,40.11,40.78,40.0,40.47,77200,40.47
2012-07-23,39.84,40.01,38.99,39.17,114900,39.17
2012-07-24,39.33,39.99,36.92,37.2,204800,37.2
2012-07-25,37.59,38.27,35.5,36.56,215900,36.56
2012-07-26,37.47,38.23,35.75,37.94,215500,37.94
2012-07-27,37.94,38.55,37.02,38.5,148200,38.5
2012-07-30,37.32,39.19,37.01,39.0,295400,39.0
2012-07-31,38.94,40.84,38.25,40.75,442900,40.75
2012-08-01,40.68,40.82,39.42,39.89,2204400,39.89
2012-08-02,39.56,41.13,39.16,40.83,335700,40.83
2012-08-03,41.53,43.17,41.0,41.9,261600,41.9
2012-08-06,41.9,42.0,41.48,41.96,95800,41.96
2012-08-07,41.88,41.93,40.52,41.16,366600,41.16
2012-08-08,41.03,42.17,40.76,42.17,168200,42.17
2012-08-09,41.99,42.86,41.48,42.79,194000,42.79
2012-08-10,42.69,42.69,41.82,42.46,89900,42.46
2012-08-13,42.72,42.72,40.16,40.41,103300,40.41
2012-08-14,40.75,40.75,38.23,39.21,273700,39.21
2012-08-15,39.03,40.34,39.03,40.0,217400,40.0
2012-08-16,40.0,40.39,39.67,39.8,88800,39.8
2012-08-17,39.87,40.1,39.53,39.7,151800,39.7
2012-08-20,39.62,39.91,38.0,38.26,379900,38.26
2012-08-21,38.26,38.52,37.51,37.65,322600,37.65
2012-08-22,37.91,37.91,36.78,37.06,235000,37.06
2012-08-23,38.27,38.27,37.34,37.89,310400,37.89
2012-08-24,37.93,39.4,37.72,39.27,354800,39.27
2012-08-27,39.26,40.71,39.26,40.5,249400,40.5
2012-08-28,40.34,42.46,40.3,42.29,385700,42.29
2012-08-29,42.08,42.48,41.13,42.28,259500,42.28
2012-08-30,42.0,42.0,41.04,41.15,212000,41.15
2012-08-31,41.43,42.43,40.15,41.55,152900,41.55
2012-09-04,41.23,44.45,41.23,44.04,700500,44.04
2012-09-05,43.77,44.08,43.35,43.63,215400,43.63
2012-09-06,43.99,44.24,43.42,43.85,218200,43.85
2012-09-07,43.73,47.26,43.67,46.84,566400,46.84
2012-09-10,47.38,48.15,44.0,45.27,404600,45.27
2012-09-11,45.26,46.0,44.83,45.74,190700,45.74
