Date,Open,High,Low,Close,Volume,Adj Close
2012-01-09,24.5,24.5,24.05,24.32,4100,22.26
2012-01-10,24.63,24.7,24.27,24.5,2100,22.42
2012-01-11,24.46,24.51,24.36,24.46,400,22.39
2012-01-12,24.63,24.63,24.01,24.4,1200,22.33
2012-01-13,24.41,24.41,24.02,24.25,400,22.19
2012-01-17,24.43,24.43,24.43,24.43,100,22.36
2012-01-18,24.43,24.43,24.43,24.43,0,22.36
2012-01-19,24.35,24.35,24.35,24.35,100,22.28
2012-01-20,24.35,24.35,24.35,24.35,0,22.28
2012-01-23,24.73,25.0,24.73,25.0,700,22.88
2012-01-24,25.0,25.0,25.0,25.0,0,22.88
2012-01-25,24.97,24.98,24.97,24.98,400,22.86
2012-01-26,24.95,24.95,24.9,24.9,1200,22.79
2012-01-27,24.58,24.58,24.35,24.5,7100,22.42
2012-01-30,24.11,24.38,24.11,24.29,5800,22.23
2012-01-31,24.44,24.45,24.39,24.44,20100,22.37
2012-02-01,24.1,24.8,24.1,24.4,40700,22.33
2012-02-02,24.4,24.53,24.08,24.08,56200,22.04
2012-02-03,24.3,24.58,24.26,24.51,105600,22.43
2012-02-06,24.45,25.15,24.45,25.15,111500,23.02
2012-02-07,25.25,25.51,24.99,25.12,164800,22.99
2012-02-08,25.13,25.13,24.95,24.95,1000,22.83
2012-02-09,25.1,25.35,25.1,25.35,2000,23.2
2012-02-10,25.22,25.22,25.22,25.22,200,23.08
2012-02-13,25.19,25.19,25.19,25.19,100,23.05
2012-02-14,24.95,24.95,24.89,24.89,400,22.78
2012-02-15,25.35,25.64,24.95,24.95,1700,22.83
2012-02-16,25.35,25.35,25.35,25.35,100,23.2
2012-02-17,25.72,25.88,25.35,25.88,1200,23.68
2012-02-21,25.88,25.88,25.88,25.88,0,23.68
2012-02-22,26.2,26.3,25.89,26.13,600,23.91
2012-02-23,26.2,26.2,25.92,25.92,600,23.72
2012-02-24,25.92,26.3,25.63,25.63,800,23.46
2012-02-27,25.59,25.92,25.59,25.73,800,23.63
2012-02-28,25.69,25.69,25.69,25.69,100,23.59
2012-02-29,25.69,25.69,25.69,25.69,0,23.59
2012-03-01,25.85,25.85,25.85,25.85,200,23.74
2012-03-02,25.69,25.94,25.47,25.74,1100,23.64
2012-03-05,25.38,25.38,25.35,25.35,600,23.28
2012-03-06,24.95,25.36,24.95,25.36,1100,23.29
2012-03-07,25.47,25.47,25.37,25.38,600,23.31
2012-03-08,25.38,25.38,25.38,25.38,0,23.31
2012-03-09,25.45,25.95,25.45,25.95,1400,23.83
2012-03-12,26.17,26.17,26.17,26.17,100,24.03
2012-03-13,26.51,26.51,25.94,25.94,1600,23.82
2012-03-14,26.3,26.5,26.3,26.5,400,24.34
2012-03-15,25.9,25.9,25.9,25.9,200,23.79
2012-03-16,25.86,25.86,25.86,25.86,100,23.75
2012-03-19,25.86,25.86,25.86,25.86,0,23.75
2012-03-20,25.5,25.5,25.05,25.05,300,23.01
2012-03-21,25.31,25.46,25.31,25.46,200,23.38
2012-03-22,25.05,25.05,23.76,23.76,1500,21.82
2012-03-23,24.06,24.53,24.06,24.53,900,22.53
2012-03-26,24.67,25.53,24.63,24.97,1000,22.93
2012-03-27,24.9,24.9,24.9,24.9,200,22.87
2012-03-28,24.65,24.65,24.65,24.65,200,22.72
2012-03-29,24.3,24.3,24.3,24.3,200,22.4
2012-03-30,24.25,24.25,24.25,24.25,200,22.35
2012-04-02,24.25,24.25,24.25,24.25,500,22.35
2012-04-03,24.3,24.31,23.85,24.31,1200,22.41
2012-04-04,24.0,24.0,23.99,23.99,200,22.11
2012-04-05,24.33,24.69,24.33,24.69,500,22.76
2012-04-09,24.69,24.69,24.69,24.69,0,22.76
2012-04-10,24.69,24.69,24.69,24.69,0,22.76
2012-04-11,25.1,25.1,25.1,25.1,100,23.14
2012-04-12,25.5,25.67,25.5,25.67,200,23.66
