Date,Open,High,Low,Close,Volume,Adj Close
1998-03-25,17.5,18.5,15.87,16.56,12680200,4.05
1998-03-26,16.63,16.75,16.06,16.25,2918700,3.97
1998-03-27,16.25,16.44,16.19,16.38,1689200,4.0
1998-03-30,16.25,16.44,15.94,16.0,1308900,3.91
1998-03-31,16.0,16.38,16.0,16.38,1646100,4.0
1998-04-01,16.31,17.06,16.31,17.0,1154200,4.15
1998-04-02,17.12,18.13,17.06,17.62,1878800,4.31
1998-04-03,17.75,18.0,17.56,17.69,1995800,4.32
1998-04-06,17.75,17.75,17.62,17.62,937100,4.31
1998-04-07,17.69,17.69,17.31,17.5,1146800,4.27
1998-04-08,17.44,17.5,17.31,17.41,537300,4.25
1998-04-09,17.44,17.5,17.37,17.44,688400,4.26
1998-04-13,17.37,17.5,17.37,17.44,485000,4.26
1998-04-14,17.5,17.62,17.37,17.5,652600,4.27
1998-04-15,17.5,18.0,17.5,17.88,484200,4.37
1998-04-16,18.0,18.0,17.62,17.69,272500,4.32
1998-04-17,17.88,17.88,17.75,17.88,215200,4.37
1998-04-20,17.75,18.0,17.75,17.98,216700,4.39
1998-04-21,18.0,18.0,17.88,17.97,318800,4.39
1998-04-22,18.0,18.0,17.88,17.88,227200,4.37
1998-04-23,17.88,18.0,17.88,17.94,176900,4.38
1998-04-24,17.88,17.94,17.56,17.88,198100,4.37
1998-04-27,17.62,17.75,17.0,17.25,372200,4.21
1998-04-28,17.25,17.5,17.25,17.37,199600,4.24
1998-04-29,17.37,17.5,17.25,17.5,194600,4.27
1998-04-30,17.37,17.5,17.37,17.37,180400,4.24
1998-05-01,17.37,17.62,17.37,17.37,161800,4.24
1998-05-04,17.37,17.5,17.19,17.19,148400,4.2
1998-05-05,17.25,17.37,17.06,17.31,114300,4.23
1998-05-06,17.12,17.37,17.0,17.25,406100,4.21
1998-05-07,17.12,17.37,17.12,17.12,267900,4.18
1998-05-08,17.06,17.25,17.0,17.19,142500,4.2
1998-05-11,17.25,17.25,17.0,17.0,87200,4.15
1998-05-12,17.02,17.12,16.88,16.88,227600,4.12
1998-05-13,17.0,17.0,16.88,16.88,178200,4.12
1998-05-14,16.94,16.94,16.63,16.63,226100,4.06
1998-05-15,16.88,16.88,16.0,16.0,537700,3.91
1998-05-18,16.0,16.31,16.0,16.06,194600,3.92
1998-05-19,16.31,16.44,16.06,16.31,198500,3.98
1998-05-20,16.38,16.38,16.19,16.25,232000,3.97
1998-05-21,16.25,16.63,16.25,16.38,241400,4.0
1998-05-22,16.31,16.5,16.31,16.5,92200,4.03
1998-05-26,16.5,16.63,16.38,16.38,134200,4.0
1998-05-27,16.38,16.44,16.12,16.44,129600,4.02
1998-05-28,16.25,16.94,16.25,16.94,435600,4.14
1998-05-29,16.88,16.94,16.75,16.81,236400,4.11
1998-06-01,16.81,16.88,16.75,16.75,136600,4.09
1998-06-02,16.75,16.88,16.56,16.56,95500,4.05
