Date,Open,High,Low,Close,Volume,Adj Close
2009-09-08,0.29,0.29,0.29,0.29,800,2.89
2009-09-10,0.28,0.28,0.28,0.28,4000,2.8
2009-09-11,0.32,0.33,0.32,0.33,5200,3.25
2009-09-14,0.31,0.31,0.3,0.3,300,2.99
2009-09-17,0.28,0.28,0.28,0.28,3500,2.84
2009-09-25,0.28,0.28,0.28,0.28,500,2.81
2009-09-28,0.3,0.3,0.29,0.29,2000,2.91
2009-09-29,0.29,0.29,0.29,0.29,2500,2.89
2009-09-30,0.28,0.28,0.28,0.28,1500,2.81
2009-10-06,0.29,0.29,0.28,0.29,7000,2.9
2009-10-08,0.3,0.3,0.3,0.3,9200,2.98
2009-10-09,0.3,0.3,0.3,0.3,3100,3.0
2009-10-13,0.3,0.3,0.3,0.3,4700,3.0
2009-10-15,0.39,0.4,0.38,0.38,18300,3.83
2009-10-16,0.37,0.37,0.36,0.36,2700,3.61
2009-10-19,0.36,0.43,0.36,0.41,10900,4.11
2009-10-20,0.4,0.4,0.39,0.39,5100,3.94
2009-10-21,0.38,0.4,0.38,0.4,7000,3.95
2009-10-22,0.39,0.39,0.38,0.38,3000,3.75
2009-10-26,0.37,0.37,0.37,0.37,0,3.74
2009-10-28,0.28,0.28,0.28,0.28,1000,2.8
2009-10-29,0.31,0.32,0.31,0.32,1000,3.15
2009-10-30,0.31,0.33,0.31,0.33,4000,3.27
2009-11-03,0.32,0.32,0.32,0.32,1700,3.24
2009-11-06,0.33,0.33,0.33,0.33,2000,3.3
2009-11-09,0.35,0.35,0.35,0.35,4500,3.45
2009-11-10,0.35,0.35,0.35,0.35,12000,3.47
2009-11-11,0.35,0.35,0.35,0.35,9100,3.49
2009-11-12,0.35,0.35,0.35,0.35,6200,3.51
2009-11-13,0.35,0.35,0.35,0.35,2300,3.53
2009-11-16,0.35,0.35,0.35,0.35,23400,3.49
2009-11-17,0.36,0.36,0.36,0.36,27400,3.55
2009-11-18,0.35,0.35,0.35,0.35,4000,3.48
2009-11-20,0.33,0.33,0.33,0.33,400,3.33
2009-11-23,0.33,0.34,0.33,0.33,7000,3.32
