Date,Open,High,Low,Close,Volume,Adj Close
1996-01-02,1.0,1.0,1.0,1.0,0,0.11
1996-01-03,1.0,1.0,1.0,1.0,0,0.11
1996-01-04,1.0,1.0,1.0,1.0,0,0.11
1996-01-05,1.0,1.0,1.0,1.0,0,0.11
1996-01-08,1.25,1.25,1.25,1.25,9100,0.13
1996-01-09,1.25,1.25,1.25,1.25,0,0.13
1996-01-10,1.25,1.25,1.25,1.25,0,0.13
1996-01-11,1.25,1.25,1.25,1.25,0,0.13
1996-01-12,1.25,1.25,1.25,1.25,0,0.13
1996-01-15,1.25,1.25,1.25,1.25,0,0.13
1996-01-16,1.25,1.25,1.25,1.25,0,0.13
1996-01-17,1.25,1.25,1.25,1.25,0,0.13
1996-01-18,0.92,0.92,0.92,0.92,4400,0.1
1996-01-19,1.17,1.17,1.17,1.17,3300,0.12
1996-01-22,1.17,1.17,1.17,1.17,0,0.12
1996-01-23,1.17,1.17,1.17,1.17,0,0.12
1996-01-24,1.17,1.17,1.17,1.17,0,0.12
1996-01-25,1.17,1.17,1.17,1.17,0,0.12
1996-01-26,1.17,1.17,1.17,1.17,0,0.12
1996-01-29,1.17,1.17,1.17,1.17,0,0.12
1996-01-30,0.92,0.92,0.92,0.92,2800,0.1
1996-01-31,0.92,0.92,0.92,0.92,0,0.1
1996-02-01,0.92,0.92,0.92,0.92,0,0.1
1996-02-02,0.92,0.92,0.92,0.92,0,0.1
1996-02-05,0.92,0.92,0.92,0.92,0,0.1
1996-02-06,0.92,0.92,0.92,0.92,0,0.1
1996-02-07,1.05,1.05,1.05,1.05,27900,0.11
1996-02-08,1.05,1.05,1.05,1.05,0,0.11
1996-02-09,1.05,1.05,1.05,1.05,0,0.11
1996-02-12,1.05,1.05,1.05,1.05,0,0.11
1996-02-13,1.02,1.02,1.02,1.02,13500,0.11
1996-02-14,1.02,1.02,1.02,1.02,0,0.11
1996-02-15,1.02,1.02,1.02,1.02,0,0.11
1996-02-16,1.02,1.02,1.02,1.02,0,0.11
1996-02-20,1.02,1.02,1.02,1.02,0,0.11
1996-02-21,1.02,1.02,1.02,1.02,0,0.11
1996-02-22,1.02,1.02,1.02,1.02,0,0.11
1996-02-23,1.02,1.02,1.02,1.02,0,0.11
1996-02-26,1.02,1.02,1.02,1.02,0,0.11
1996-02-27,1.02,1.02,1.02,1.02,0,0.11
1996-02-28,1.02,1.02,1.02,1.02,0,0.11
1996-02-29,1.02,1.02,1.02,1.02,0,0.11
1996-03-01,1.05,1.05,1.05,1.05,46700,0.11
1996-03-04,1.3,1.3,1.05,1.05,50000,0.11
1996-03-05,1.05,1.05,1.05,1.05,0,0.11
1996-03-06,1.0,1.05,1.0,1.05,77700,0.11
1996-03-07,1.05,1.05,1.05,1.05,0,0.11
1996-03-08,1.05,1.05,1.05,1.05,0,0.11
1996-03-11,1.05,1.05,1.05,1.05,0,0.11
1996-03-12,1.0,1.0,1.0,1.0,6100,0.11
1996-03-13,1.0,1.0,1.0,1.0,0,0.11
1996-03-14,1.0,1.0,1.0,1.0,0,0.11
1996-03-15,1.0,1.0,1.0,1.0,0,0.11
1996-03-18,1.0,1.0,1.0,1.0,0,0.11
1996-03-19,1.0,1.0,1.0,1.0,0,0.11
1996-03-20,1.0,1.0,1.0,1.0,5000,0.11
1996-03-21,1.0,1.0,1.0,1.0,3900,0.11
1996-03-22,1.0,1.0,1.0,1.0,900,0.11
1996-03-25,1.0,1.0,1.0,1.0,78300,0.11
1996-03-26,1.0,1.0,1.0,1.0,0,0.11
1996-03-27,1.02,1.02,1.02,1.02,94000,0.11
1996-03-28,1.05,1.05,1.05,1.05,6100,0.11
1996-03-29,1.05,1.05,1.05,1.05,15900,0.11
1996-04-01,1.05,1.05,1.05,1.05,0,0.11
1996-04-02,1.05,1.05,1.05,1.05,0,0.11
1996-04-03,1.06,1.06,1.06,1.06,0,0.11
1996-04-04,1.06,1.06,1.06,1.06,0,0.11
1996-04-08,1.06,1.06,1.06,1.06,0,0.11
1996-04-09,1.28,1.28,1.28,1.28,21700,0.14
1996-04-10,1.3,1.3,1.3,1.3,18400,0.14
1996-04-11,1.36,1.36,1.36,1.36,15900,0.14
1996-04-12,1.36,1.5,1.36,1.5,15900,0.16
1996-04-15,1.5,1.5,1.42,1.42,37000,0.15
1996-04-16,1.5,1.5,1.5,1.5,71900,0.16
1996-04-17,1.5,1.5,1.3,1.5,105700,0.16
1996-04-18,1.5,1.5,1.5,1.5,9100,0.16
1996-04-19,1.5,1.5,1.5,1.5,0,0.16
1996-04-22,1.5,1.5,1.5,1.5,0,0.16
1996-04-23,1.5,1.5,1.5,1.5,0,0.16
1996-04-24,1.5,1.5,1.5,1.5,0,0.16
1996-04-25,1.3,1.3,1.3,1.3,900,0.14
1996-04-26,1.3,1.3,1.25,1.25,125100,0.13
1996-04-29,1.25,1.25,1.25,1.25,0,0.13
1996-04-30,1.25,1.25,1.25,1.25,0,0.13
1996-05-01,1.5,1.5,1.5,1.5,15200,0.16
1996-05-02,1.25,1.25,1.25,1.25,30400,0.13
1996-05-03,1.25,1.25,1.25,1.25,0,0.13
1996-05-06,1.25,1.25,1.25,1.25,0,0.13
1996-05-07,1.5,1.5,1.5,1.5,137900,0.16
1996-05-08,1.5,1.5,1.5,1.5,0,0.16
1996-05-09,1.36,1.36,1.36,1.36,37000,0.14
1996-05-10,1.36,1.36,1.36,1.36,0,0.14
1996-05-13,1.36,1.36,1.36,1.36,0,0.14
1996-05-14,1.36,1.36,1.36,1.36,2800,0.14
1996-05-15,1.36,1.36,1.36,1.36,2000,0.14
1996-05-16,1.36,1.36,1.36,1.36,0,0.14
1996-05-17,1.5,1.5,1.5,1.5,314200,0.16
1996-05-20,1.5,1.5,1.5,1.5,0,0.16
1996-05-21,1.5,1.5,1.5,1.5,0,0.16
1996-05-22,1.25,1.36,1.25,1.25,50000,0.13
1996-05-23,1.25,1.25,1.25,1.25,6100,0.13
1996-05-24,1.36,1.36,1.36,1.36,3300,0.14
1996-05-28,1.36,1.36,1.36,1.36,0,0.14
1996-05-29,1.25,1.25,1.25,1.25,1500,0.13
1996-05-30,1.25,1.25,1.25,1.25,12400,0.13
1996-05-31,1.25,1.25,1.25,1.25,0,0.13
1996-06-03,1.25,1.25,1.25,1.25,0,0.13
1996-06-04,1.25,1.25,1.25,1.25,0,0.13
1996-06-05,1.25,1.25,1.25,1.25,0,0.13
1996-06-06,1.25,1.25,1.25,1.25,100200,0.13
1996-06-07,1.25,1.3,1.25,1.25,24900,0.13
1996-06-10,1.11,1.11,1.11,1.11,7200,0.12
1996-06-11,1.3,1.3,1.3,1.3,37000,0.14
1996-06-12,1.3,1.3,1.3,1.3,0,0.14
1996-06-13,1.3,1.3,1.3,1.3,0,0.14
1996-06-14,1.11,1.11,1.11,1.11,900,0.12
1996-06-17,1.11,1.11,1.11,1.11,0,0.12
1996-06-18,1.25,1.25,1.25,1.25,6100,0.13
1996-06-19,1.11,1.11,1.05,1.11,62100,0.12
1996-06-20,1.11,1.11,1.11,1.11,0,0.12
1996-06-21,1.11,1.11,1.11,1.11,0,0.12
1996-06-24,1.11,1.11,1.11,1.11,0,0.12
1996-06-25,1.11,1.11,1.11,1.11,0,0.12
1996-06-26,1.11,1.11,1.11,1.11,0,0.12
1996-06-27,1.11,1.11,1.11,1.11,0,0.12
1996-06-28,1.11,1.11,1.11,1.11,0,0.12
1996-07-01,36.0,36.0,36.0,36.0,0,3.82
