Date,Open,High,Low,Close,Volume,Adj Close
1987-09-23,21.75,22.75,21.75,22.5,2106000,2.94
1987-09-24,22.5,22.75,22.25,22.25,241400,2.91
1987-09-25,22.25,22.75,22.25,22.5,514200,2.94
1987-09-28,22.5,22.75,22.25,22.5,373400,2.94
1987-09-29,22.5,22.5,22.25,22.5,354000,2.94
1987-09-30,22.25,22.25,21.75,21.75,322800,2.85
1987-10-01,21.75,22.5,21.75,22.25,538400,2.91
1987-10-02,22.25,23.0,22.25,23.0,660000,3.01
1987-10-05,23.0,23.5,22.5,23.5,910800,3.07
1987-10-06,23.5,24.0,23.0,23.0,442800,3.01
1987-10-07,23.0,23.5,22.75,23.25,183000,3.04
1987-10-08,23.25,23.25,22.5,22.5,47400,2.94
1987-10-09,22.5,23.0,22.5,22.5,76800,2.94
1987-10-12,22.5,22.5,22.0,22.0,52800,2.88
1987-10-13,22.0,22.5,22.0,22.0,49400,2.88
1987-10-14,22.0,22.25,21.5,22.0,116000,2.88
1987-10-15,22.0,22.0,20.62,20.75,230600,2.71
1987-10-16,20.75,21.0,20.0,20.0,108200,2.62
1987-10-19,20.0,20.0,16.0,16.25,79200,2.13
1987-10-20,16.25,16.25,13.75,14.25,50600,1.86
1987-10-21,14.25,15.0,14.0,14.75,1558800,1.93
1987-10-22,14.5,14.5,13.0,13.0,131000,1.7
1987-10-23,13.0,13.25,12.25,13.0,145200,1.7
1987-10-26,13.0,13.0,11.5,11.5,140400,1.5
1987-10-27,11.5,12.25,11.5,11.5,119400,1.5
1987-10-28,11.5,12.25,11.25,11.5,56600,1.5
1987-10-29,11.5,13.25,11.5,13.25,372800,1.73
1987-10-30,13.25,14.75,13.0,14.75,506400,1.93
1987-11-02,14.75,14.75,14.0,14.0,28200,1.83
1987-11-03,14.0,14.0,13.0,13.0,228000,1.7
1987-11-04,13.0,13.25,12.75,13.0,410400,1.7
1987-11-05,13.0,13.5,12.75,13.0,15600,1.7
1987-11-06,13.0,13.75,13.0,13.25,39800,1.73
1987-11-09,13.25,13.5,13.25,13.25,141600,1.73
1987-11-10,13.25,13.5,13.0,13.0,24800,1.7
1987-11-11,13.0,13.5,12.88,13.5,232800,1.77
1987-11-12,13.5,14.5,13.5,13.75,48000,1.8
1987-11-13,13.75,14.0,13.5,13.5,162600,1.77
