Date,Open,High,Low,Close,Volume,Adj Close
2009-01-08,2.0,2.01,2.0,2.0,3800,2.0
2009-01-09,2.0,2.0,2.0,2.0,0,2.0
2009-01-12,2.0,2.0,2.0,2.0,0,2.0
2009-01-13,2.0,2.0,2.0,2.0,0,2.0
2009-01-14,2.0,2.0,2.0,2.0,0,2.0
2009-01-15,2.0,2.0,2.0,2.0,0,2.0
2009-01-16,2.0,2.0,2.0,2.0,0,2.0
2009-01-20,2.0,2.0,2.0,2.0,0,2.0
2009-01-21,1.8,1.8,1.8,1.8,300,1.8
2009-01-22,1.8,1.8,1.8,1.8,0,1.8
2009-01-23,2.24,2.24,2.24,2.24,800,2.24
2009-01-26,1.81,1.81,1.81,1.81,500,1.81
2009-01-27,1.81,1.81,1.81,1.81,0,1.81
2009-01-28,1.81,1.81,1.81,1.81,0,1.81
2009-01-29,2.0,2.0,2.0,2.0,1500,2.0
2009-01-30,1.8,1.81,1.8,1.8,600,1.8
2009-02-02,1.8,1.8,1.8,1.8,0,1.8
2009-02-03,1.8,1.8,1.8,1.8,0,1.8
2009-02-04,1.8,1.8,1.8,1.8,0,1.8
2009-02-05,1.8,1.8,1.8,1.8,0,1.8
2009-02-06,1.8,1.8,1.8,1.8,800,1.8
2009-02-09,1.8,1.8,1.8,1.8,0,1.8
2009-02-10,1.8,1.8,1.8,1.8,200,1.8
2009-02-11,1.8,1.8,1.3,1.6,11100,1.6
2009-02-12,1.35,1.35,1.35,1.35,400,1.35
2009-02-13,1.35,1.35,1.3,1.35,14500,1.35
2009-02-17,1.25,1.25,1.25,1.25,5600,1.25
2009-02-18,1.25,1.25,1.25,1.25,6000,1.25
2009-02-19,1.2,1.3,1.2,1.25,54900,1.25
2009-02-20,1.25,1.25,1.25,1.25,5200,1.25
2009-02-23,1.2,1.3,1.2,1.3,200,1.3
2009-02-24,1.2,1.2,1.05,1.05,2500,1.05
2009-02-25,1.05,1.05,1.05,1.05,1900,1.05
2009-02-26,1.05,1.05,1.05,1.05,0,1.05
2009-02-27,1.05,1.05,1.05,1.05,0,1.05
2009-03-02,1.05,1.05,1.05,1.05,0,1.05
2009-03-03,1.05,1.05,0.75,0.75,2100,0.75
2009-03-04,1.05,1.05,1.05,1.05,300,1.05
2009-03-05,1.55,1.55,1.55,1.55,100,1.55
2009-03-06,1.15,1.15,1.15,1.15,300,1.15
2009-03-09,1.4,1.4,0.51,1.4,1200,1.4
2009-03-10,1.4,1.4,1.4,1.4,0,1.4
2009-03-11,0.75,0.75,0.51,0.51,1200,0.51
2009-03-12,0.51,0.51,0.51,0.51,0,0.51
2009-03-13,0.51,0.51,0.51,0.51,0,0.51
2009-03-16,0.51,0.51,0.51,0.51,0,0.51
2009-03-17,0.55,0.55,0.55,0.55,200,0.55
2009-03-18,2.45,2.45,2.0,2.0,7600,2.0
2009-03-19,2.0,2.0,2.0,2.0,0,2.0
2009-03-20,1.7,1.7,1.65,1.65,1000,1.65
2009-03-23,1.65,1.65,1.65,1.65,2400,1.65
2009-03-24,1.66,1.66,1.66,1.66,200,1.66
2009-03-25,1.66,1.66,1.66,1.66,0,1.66
2009-03-26,2.2,2.25,1.8,2.25,2200,2.25
2009-03-27,2.25,2.25,2.25,2.25,0,2.25
2009-03-30,1.76,1.76,1.76,1.76,600,1.76
2009-03-31,1.76,1.76,1.76,1.76,0,1.76
2009-04-01,1.76,1.76,1.76,1.76,0,1.76
2009-04-02,2.2,2.45,2.2,2.45,2500,2.45
2009-04-03,2.45,2.45,2.45,2.45,0,2.45
2009-04-06,2.45,2.45,2.45,2.45,100,2.45
2009-04-07,1.85,1.85,1.85,1.85,600,1.85
2009-04-08,1.85,1.85,1.85,1.85,0,1.85
2009-04-09,1.85,1.85,1.85,1.85,0,1.85
2009-04-13,1.85,1.85,1.85,1.85,0,1.85
2009-04-14,1.85,1.85,1.85,1.85,0,1.85
2009-04-15,1.85,1.85,1.85,1.85,0,1.85
2009-04-16,1.85,1.85,1.85,1.85,0,1.85
2009-04-17,1.85,2.0,1.85,1.9,1500,1.9
2009-04-20,2.15,2.15,2.15,2.15,2100,2.15
2009-04-21,1.76,1.76,0.66,0.8,33200,0.8
2009-04-22,0.81,1.15,0.81,1.15,1800,1.15
2009-04-23,1.15,1.15,1.15,1.15,0,1.15
2009-04-24,1.25,1.3,1.25,1.3,4500,1.3
2009-04-27,1.8,2.0,1.49,1.5,10200,1.5
2009-04-28,1.5,1.5,1.5,1.5,0,1.5
2009-04-29,1.5,1.5,1.5,1.5,0,1.5
2009-04-30,1.45,1.75,1.45,1.75,10500,1.75
2009-05-01,1.75,1.75,1.75,1.75,0,1.75
2009-05-04,1.75,1.75,1.75,1.75,0,1.75
2009-05-05,1.25,2.25,1.25,1.4,2200,1.4
2009-05-06,1.8,1.8,1.8,1.8,2000,1.8
2009-05-07,1.8,1.8,1.68,1.68,5500,1.68
2009-05-08,2.0,2.1,1.9,1.9,1400,1.9
2009-05-11,1.8,1.8,1.55,1.55,18400,1.55
2009-05-12,1.5,1.5,1.3,1.38,9700,1.38
2009-05-13,1.2,1.2,1.05,1.05,8400,1.05
2009-05-14,1.15,1.15,1.1,1.1,2700,1.1
2009-05-15,1.11,1.15,1.1,1.1,11100,1.1
2009-05-18,1.05,1.05,0.65,0.65,3100,0.65
2009-05-19,1.1,1.1,1.05,1.05,5000,1.05
2009-05-20,1.5,1.5,1.49,1.5,2300,1.5
2009-05-21,1.25,1.85,1.25,1.78,6200,1.78
2009-05-22,1.3,1.3,1.3,1.3,500,1.3
2009-05-26,1.3,1.3,1.3,1.3,0,1.3
2009-05-27,1.3,1.3,1.3,1.3,0,1.3
2009-05-28,1.3,1.3,1.3,1.3,500,1.3
2009-05-29,1.3,1.3,1.1,1.14,10100,1.14
2009-06-01,1.05,1.05,0.85,0.9,24100,0.9
2009-06-02,0.9,1.1,0.65,0.85,43800,0.85
2009-06-03,0.85,0.85,0.75,0.85,7800,0.85
2009-06-04,0.8,0.8,0.8,0.8,100,0.8
2009-06-05,0.86,0.86,0.85,0.86,61100,0.86
2009-06-08,0.86,0.86,0.86,0.86,0,0.86
2009-06-09,1.65,1.8,0.9,0.9,3100,0.9
2009-06-10,0.9,0.9,0.9,0.9,400,0.9
2009-06-11,1.5,1.5,1.1,1.1,6000,1.1
2009-06-12,1.06,1.06,1.06,1.06,5000,1.06
2009-06-15,1.05,1.05,1.05,1.05,500,1.05
2009-06-16,1.05,1.05,1.05,1.05,0,1.05
2009-06-17,1.1,1.1,1.1,1.1,500,1.1
2009-06-18,1.1,1.1,1.1,1.1,0,1.1
2009-06-19,1.1,1.1,0.9,0.9,1700,0.9
2009-06-22,0.91,0.91,0.91,0.91,1700,0.91
2009-06-23,0.91,0.91,0.91,0.91,0,0.91
2009-06-24,0.91,0.91,0.91,0.91,0,0.91
2009-06-25,0.91,0.91,0.91,0.91,0,0.91
2009-06-26,0.91,1.05,0.91,1.05,9300,1.05
2009-06-29,0.91,0.91,0.91,0.91,1400,0.91
2009-06-30,1.1,1.1,1.0,1.0,3500,1.0
2009-07-01,0.91,0.91,0.9,0.9,2500,0.9
2009-07-02,0.9,0.9,0.9,0.9,0,0.9
2009-07-06,0.9,0.9,0.9,0.9,0,0.9
2009-07-07,1.0,1.75,0.9,1.3,107400,1.3
2009-07-08,1.3,1.3,1.3,1.3,0,1.3
2009-07-09,1.3,1.3,1.3,1.3,0,1.3
2009-07-10,1.3,1.3,1.3,1.3,0,1.3
2009-07-13,1.24,1.24,1.24,1.24,300,1.24
2009-07-14,1.24,1.24,1.24,1.24,0,1.24
2009-07-15,0.76,1.24,0.76,1.24,4900,1.24
2009-07-16,1.24,1.24,1.24,1.24,0,1.24
2009-07-17,0.76,0.76,0.76,0.76,200,0.76
2009-07-20,0.76,0.76,0.76,0.76,0,0.76
2009-07-21,0.76,0.76,0.76,0.76,0,0.76
