Date,Open,High,Low,Close,Volume,Adj Close
1994-01-21,17.0,17.5,16.25,17.5,3799500,7.67
1994-01-24,17.0,19.0,16.5,17.0,1338900,7.45
1994-01-25,16.75,17.25,16.25,16.88,675400,7.4
1994-01-26,16.5,17.0,16.5,16.75,197700,7.34
1994-01-27,16.5,18.0,16.25,17.75,183600,7.78
1994-01-28,17.5,17.75,16.5,16.75,96400,7.34
1994-01-31,17.0,17.0,16.25,16.63,11700,7.29
1994-02-01,17.0,17.0,16.5,16.5,171000,7.23
1994-02-02,16.5,17.0,16.5,17.0,148600,7.45
1994-02-03,16.5,17.5,16.0,17.5,278100,7.67
1994-02-04,17.25,17.75,16.25,16.25,128800,7.12
1994-02-07,15.75,16.5,15.0,16.13,212800,7.07
1994-02-08,15.75,16.75,15.75,16.75,107700,7.34
1994-02-09,16.75,17.25,16.75,17.25,67600,7.56
1994-02-10,17.25,17.25,16.75,17.25,61600,7.56
1994-02-11,16.75,17.12,16.75,17.12,24900,7.51
1994-02-14,17.5,17.5,16.75,16.88,105900,7.4
1994-02-15,16.75,17.25,16.75,16.75,13000,7.34
1994-02-16,17.25,17.25,16.5,17.0,24300,7.45
1994-02-17,16.25,16.75,15.25,15.25,315600,6.68
1994-02-18,16.0,17.25,15.75,17.0,834700,7.45
1994-02-22,16.25,17.0,16.25,16.75,121200,7.34
1994-02-23,16.25,17.0,16.25,17.0,67200,7.45
1994-02-24,17.25,17.25,16.5,17.0,23100,7.45
1994-02-25,16.5,16.75,16.0,16.25,148900,7.12
1994-02-28,16.63,16.75,15.75,15.75,114000,6.9
1994-03-01,16.0,16.5,15.0,15.75,233100,6.9
1994-03-02,15.5,15.5,15.0,15.5,29200,6.79
1994-03-03,15.0,15.5,15.0,15.25,117400,6.68
1994-03-04,15.5,16.0,15.0,15.75,185100,6.9
1994-03-07,15.0,16.0,15.0,15.25,1300,6.68
1994-03-08,16.0,16.0,15.37,15.37,45600,6.74
1994-03-09,15.75,16.0,15.5,15.5,93100,6.79
1994-03-10,15.75,16.75,15.75,16.0,220200,7.01
1994-03-11,16.5,17.0,16.0,17.0,89500,7.45
1994-03-14,16.38,16.75,16.38,16.75,3100,7.34
1994-03-15,16.75,16.75,16.75,16.75,100,7.34
1994-03-16,16.75,17.0,16.25,17.0,41400,7.45
1994-03-17,17.0,17.25,17.0,17.0,18100,7.45
1994-03-18,17.5,18.5,17.0,18.5,361500,8.11
1994-03-21,18.0,18.5,18.0,18.25,583800,8.0
1994-03-22,17.75,18.25,17.5,17.87,180600,7.84
1994-03-23,17.5,18.0,17.5,18.0,18600,7.89
1994-03-24,17.5,17.62,16.25,16.75,283500,7.34
1994-03-25,16.75,16.75,16.25,16.63,297100,7.29
1994-03-28,16.5,16.75,15.5,15.75,305100,6.9
1994-03-29,16.25,16.25,15.12,15.5,59800,6.79
1994-03-30,15.25,15.5,14.75,14.87,42400,6.52
1994-03-31,15.0,15.0,13.5,14.5,84300,6.36
1994-04-04,13.5,14.25,13.25,13.25,55900,5.81
1994-04-05,14.0,15.37,13.94,15.25,111700,6.68
1994-04-06,15.5,15.75,15.5,15.75,5400,6.9
1994-04-07,15.0,15.75,15.0,15.5,900,6.79
1994-04-08,15.0,15.25,15.0,15.25,5800,6.68
1994-04-11,15.0,15.5,15.0,15.0,33700,6.58
1994-04-12,15.0,15.0,14.75,14.87,112500,6.52
1994-04-13,14.75,14.75,13.75,13.75,78900,6.03
1994-04-14,14.5,15.5,14.5,15.25,139200,6.68
1994-04-15,15.0,15.25,15.0,15.25,188500,6.68
1994-04-18,15.5,15.5,14.75,14.75,256600,6.47
1994-04-19,14.25,14.75,12.0,13.12,377700,5.75
1994-04-20,12.75,12.75,12.75,12.75,4000,5.59
1994-04-21,13.0,14.0,13.0,13.25,72900,5.81
1994-04-22,13.37,13.37,13.37,13.37,1500,5.86
1994-04-25,13.0,13.25,12.75,13.0,218400,5.7
1994-04-26,13.5,13.75,13.0,13.75,151200,6.03
1994-04-28,14.5,15.5,14.5,14.5,101700,6.36
1994-04-29,14.5,14.75,14.5,14.75,5400,6.47
1994-05-02,14.75,15.25,14.5,14.5,105400,6.36
1994-05-03,14.87,15.25,14.75,15.25,81100,6.68
1994-05-04,15.25,15.25,14.5,15.25,30300,6.68
1994-05-05,15.25,15.75,14.5,15.75,55000,6.9
1994-05-06,15.5,17.5,15.5,17.5,79300,7.67
1994-05-09,16.5,16.63,16.0,16.13,129700,7.07
1994-05-10,16.0,16.5,15.0,15.0,49600,6.58
1994-05-11,16.25,16.25,15.75,15.75,900,6.9
1994-05-12,15.5,16.25,15.5,16.13,12700,7.07
1994-05-13,16.25,16.25,15.62,15.62,15700,6.85
1994-05-16,16.5,16.5,16.0,16.0,600,7.01
1994-05-17,15.5,16.5,15.25,16.25,92800,7.12
1994-05-18,16.5,16.5,16.0,16.25,35700,7.12
1994-05-19,16.0,16.5,16.0,16.0,4200,7.01
1994-05-20,16.0,16.25,16.0,16.0,148200,7.01
1994-05-23,15.88,15.88,15.75,15.75,7800,6.9
1994-05-24,15.75,16.0,15.12,15.12,150900,6.63
1994-05-25,15.0,15.25,15.0,15.0,50100,6.58
1994-05-26,15.0,15.0,15.0,15.0,0,6.58
1994-05-27,14.5,15.12,14.5,15.0,16200,6.58
1994-05-31,14.5,14.5,13.75,14.13,94000,6.19
1994-06-01,13.0,14.0,13.0,14.0,17100,6.14
1994-06-02,13.63,13.75,13.25,13.25,126000,5.81
1994-06-03,13.88,14.25,13.75,13.75,8500,6.03
1994-06-06,14.5,14.5,13.75,14.5,37500,6.36
1994-06-07,14.5,15.0,14.0,14.5,106300,6.36
1994-06-08,14.25,14.25,13.75,13.88,253500,6.08
1994-06-09,15.25,15.25,14.5,14.5,118800,6.36
1994-06-10,14.25,14.25,14.25,14.25,1500,6.25
1994-06-13,15.0,15.12,14.75,15.12,27400,6.63
1994-06-14,15.0,15.0,14.25,14.25,4500,6.25
1994-06-15,14.25,15.0,14.25,15.0,38200,6.58
1994-06-16,14.62,14.62,14.62,14.62,11200,6.41
1994-06-17,14.25,14.25,13.5,14.25,87400,6.25
1994-06-20,13.25,14.0,13.25,14.0,96900,6.14
1994-06-21,13.37,13.5,13.25,13.5,69700,5.92
1994-06-22,13.25,13.75,13.25,13.25,66600,5.81
1994-06-23,14.0,14.0,13.75,13.75,15300,6.03
1994-06-24,13.25,14.0,13.25,14.0,53700,6.14
1994-06-27,13.5,14.0,13.5,13.5,41100,5.92
1994-06-28,13.25,13.75,13.25,13.75,45900,6.03
