Date,Open,High,Low,Close,Volume,Adj Close
2011-11-28,12.2,12.2,12.2,12.2,1300,10.45
2011-11-29,8.63,12.23,8.63,11.1,64200,9.51
2011-11-30,12.11,12.82,12.0,12.4,145800,10.62
2011-12-01,12.05,12.24,10.75,12.12,409500,10.38
2011-12-02,11.0,12.0,11.0,11.65,497400,9.98
2011-12-05,11.4,11.52,11.4,11.45,548700,9.81
2011-12-06,11.55,11.9,11.5,11.9,397700,10.19
2011-12-07,11.55,11.7,11.41,11.6,308000,9.93
2011-12-08,11.45,11.59,11.42,11.45,84000,9.81
2011-12-09,11.25,11.7,11.25,11.6,93000,9.93
2011-12-12,11.57,11.7,11.53,11.57,91200,9.91
2011-12-13,11.64,11.64,11.35,11.37,246900,9.74
2011-12-14,10.85,11.0,10.85,10.91,177400,9.34
2011-12-15,11.25,11.25,10.95,11.07,74900,9.48
2011-12-16,11.25,11.39,11.21,11.35,61900,9.72
2011-12-19,11.21,11.61,11.04,11.11,152000,9.51
2011-12-20,11.25,11.63,11.25,11.45,161000,9.81
2011-12-21,11.41,11.5,11.36,11.44,261000,9.8
2011-12-22,11.5,12.05,11.5,11.78,144800,10.09
2011-12-23,11.75,11.99,11.7,11.75,306000,10.06
2011-12-27,11.6,11.86,11.6,11.75,85300,10.06
2011-12-28,11.75,11.82,11.55,11.65,43600,9.98
2011-12-29,11.52,11.85,11.52,11.72,50300,10.04
2011-12-30,11.86,11.99,11.86,11.97,80400,10.25
2012-01-03,12.06,12.23,12.06,12.19,99700,10.44
2012-01-04,11.9,11.95,11.75,11.95,116500,10.23
2012-01-05,11.6,11.99,11.6,11.68,182400,10.0
2012-01-06,11.7,11.9,11.7,11.85,62800,10.15
2012-01-09,12.01,12.23,11.99,12.2,91400,10.45
2012-01-10,12.41,12.5,12.36,12.49,95900,10.7
2012-01-11,12.35,12.55,12.35,12.55,72000,10.75
2012-01-12,12.4,12.5,12.38,12.5,54700,10.71
2012-01-13,12.4,12.47,12.0,12.42,131300,10.64
2012-01-17,12.41,12.53,12.4,12.47,71800,10.68
2012-01-18,12.55,12.78,12.55,12.78,83000,10.95
2012-01-19,12.1,12.75,12.1,12.6,59200,10.79
2012-01-20,12.05,12.8,12.05,12.4,38200,10.62
2012-01-23,12.78,12.78,11.75,12.5,53400,10.71
2012-01-24,12.5,12.7,12.5,12.68,53900,10.86
2012-01-25,12.63,13.05,12.63,13.05,35900,11.18
2012-01-26,12.95,13.55,12.95,13.22,55800,11.32
2012-01-27,13.04,13.35,13.04,13.3,46000,11.39
2012-01-30,13.25,13.45,13.25,13.43,35000,11.5
2012-01-31,13.28,13.5,13.28,13.39,20900,11.47
2012-02-01,13.87,13.87,13.55,13.62,55900,11.66
2012-02-02,13.61,13.8,13.61,13.66,32600,11.7
2012-02-03,13.69,13.85,13.69,13.75,47800,11.78
2012-02-06,13.64,13.73,13.6,13.71,55400,11.74
2012-02-07,13.65,13.73,13.65,13.71,28900,11.74
2012-02-08,13.78,13.9,13.73,13.75,30100,11.78
2012-02-09,13.7,13.82,13.7,13.72,35800,11.75
2012-02-10,13.66,13.7,13.51,13.61,38100,11.66
2012-02-13,13.67,13.74,13.67,13.73,60100,11.76
2012-02-14,13.6,13.63,13.54,13.57,46400,11.62
2012-02-15,13.64,13.69,13.52,13.55,44200,11.6
2012-02-16,13.51,13.62,13.5,13.59,45600,11.64
2012-02-17,13.5,13.65,13.46,13.46,49800,11.53
2012-02-21,13.51,13.59,13.51,13.56,46200,11.61
2012-02-22,13.4,13.45,13.33,13.36,12600,11.44
2012-02-23,13.45,13.6,13.39,13.44,40000,11.51
2012-02-24,13.32,13.36,13.31,13.33,16500,11.42
2012-02-27,13.35,13.48,13.35,13.48,42000,11.54
2012-02-28,13.6,13.6,13.5,13.55,83600,11.6
2012-02-29,13.52,13.7,13.52,13.58,55400,11.63
2012-03-01,13.56,13.79,13.39,13.76,38200,11.78
2012-03-02,13.85,13.95,13.85,13.95,37600,11.95
2012-03-05,13.55,13.59,13.52,13.56,21900,11.61
2012-03-06,13.4,13.5,13.37,13.38,22900,11.46
2012-03-07,13.45,13.53,13.45,13.51,29100,11.57
2012-03-08,13.9,14.01,13.9,14.0,23400,11.99
2012-03-09,14.35,14.35,14.26,14.26,20100,12.21
2012-03-12,14.55,14.79,14.55,14.74,16100,12.62
2012-03-13,14.7,14.76,14.68,14.74,66000,12.62
2012-03-14,14.61,14.66,14.53,14.54,23000,12.45
2012-03-15,14.69,14.78,14.67,14.78,72900,12.66
2012-03-16,14.7,14.76,14.7,14.72,10900,12.61
2012-03-19,14.72,14.8,14.68,14.76,28500,12.64
2012-03-20,14.21,14.23,14.12,14.2,14700,12.16
2012-03-21,14.02,14.06,13.95,14.0,20300,11.99
2012-03-22,13.72,13.94,13.53,13.53,63800,11.59
