Date,Open,High,Low,Close,Volume,Adj Close
2010-10-15,3.5,3.5,3.5,3.5,0,3.5
2010-10-18,3.5,3.5,3.5,3.5,0,3.5
2010-10-19,3.5,3.5,3.5,3.5,0,3.5
2010-10-20,3.5,3.5,3.5,3.5,0,3.5
2010-10-21,3.5,3.5,3.5,3.5,0,3.5
2010-10-22,3.5,3.5,3.5,3.5,0,3.5
2010-10-25,3.5,3.5,3.5,3.5,0,3.5
2010-10-26,3.5,3.5,3.5,3.5,0,3.5
2010-10-27,3.5,3.5,3.5,3.5,0,3.5
2010-10-28,3.5,3.5,3.5,3.5,0,3.5
2010-10-29,3.5,3.5,3.5,3.5,0,3.5
2010-11-01,3.5,3.5,3.5,3.5,0,3.5
2010-11-02,3.5,3.5,3.5,3.5,0,3.5
2010-11-03,3.5,3.5,3.5,3.5,0,3.5
2010-11-04,3.5,3.5,3.5,3.5,0,3.5
2010-11-05,3.5,3.5,3.5,3.5,0,3.5
2010-11-08,3.99,3.99,3.99,3.99,1200,3.99
2010-11-09,3.99,3.99,3.99,3.99,0,3.99
2010-11-10,3.99,3.99,3.99,3.99,0,3.99
2010-11-11,3.99,3.99,3.99,3.99,0,3.99
2010-11-12,3.9,3.9,3.9,3.9,500,3.9
2010-11-15,3.9,3.9,3.9,3.9,0,3.9
2010-11-16,3.9,3.9,3.9,3.9,0,3.9
2010-11-17,3.9,3.9,3.9,3.9,0,3.9
2010-11-18,3.9,3.9,3.9,3.9,0,3.9
2010-11-19,3.9,3.9,3.9,3.9,0,3.9
2010-11-22,3.9,3.9,3.9,3.9,0,3.9
2010-11-23,3.9,3.9,3.9,3.9,0,3.9
2010-11-24,3.9,3.9,3.9,3.9,0,3.9
2010-11-26,3.9,3.9,3.9,3.9,0,3.9
2010-11-29,3.9,3.9,3.9,3.9,0,3.9
2010-11-30,3.9,3.9,3.9,3.9,0,3.9
2010-12-01,3.9,3.9,3.9,3.9,0,3.9
2010-12-02,3.9,3.9,3.9,3.9,0,3.9
2010-12-03,3.9,3.9,3.9,3.9,0,3.9
2010-12-06,3.9,3.9,3.9,3.9,0,3.9
2010-12-07,3.9,3.9,3.9,3.9,0,3.9
2010-12-08,3.9,3.9,3.9,3.9,0,3.9
2010-12-09,3.9,3.9,3.9,3.9,0,3.9
2010-12-10,3.9,3.9,3.9,3.9,0,3.9
2010-12-13,3.9,3.9,3.9,3.9,0,3.9
2010-12-14,3.9,3.9,3.9,3.9,0,3.9
2010-12-15,3.9,3.9,3.9,3.9,0,3.9
2010-12-16,3.9,3.9,3.9,3.9,0,3.9
2010-12-17,3.9,3.9,3.9,3.9,0,3.9
2010-12-20,3.9,3.9,3.9,3.9,0,3.9
2010-12-21,3.9,3.9,3.9,3.9,0,3.9
2010-12-22,4.0,4.0,4.0,4.0,100,4.0
2010-12-23,4.06,4.06,4.06,4.06,100,4.06
2010-12-27,4.06,4.06,4.06,4.06,0,4.06
2010-12-28,4.06,4.06,4.06,4.06,0,4.06
2010-12-29,4.06,4.06,4.06,4.06,0,4.06
2010-12-30,3.92,3.92,3.92,3.92,100,3.92
2010-12-31,3.92,3.92,3.92,3.92,0,3.92
2011-01-03,4.3,4.3,4.3,4.3,100,4.3
2011-01-04,4.2,4.2,4.2,4.2,100,4.2
2011-01-05,4.2,4.2,4.2,4.2,0,4.2
2011-01-06,4.2,4.2,4.2,4.2,0,4.2
2011-01-07,4.31,4.31,4.31,4.31,100,4.31
2011-01-10,4.31,4.31,4.31,4.31,0,4.31
2011-01-11,4.31,4.31,4.31,4.31,0,4.31
2011-01-12,4.31,4.31,4.31,4.31,0,4.31
2011-01-13,4.31,4.31,4.31,4.31,0,4.31
2011-01-14,4.31,4.31,4.31,4.31,0,4.31
2011-01-18,4.31,4.31,4.31,4.31,0,4.31
2011-01-19,4.31,4.31,4.31,4.31,0,4.31
2011-01-20,4.55,4.55,4.55,4.55,100,4.55
2011-01-21,4.55,4.55,4.55,4.55,0,4.55
2011-01-24,4.55,4.55,4.55,4.55,0,4.55
2011-01-25,4.55,4.55,4.55,4.55,0,4.55
2011-01-26,4.55,4.55,4.55,4.55,0,4.55
2011-01-27,4.55,4.55,4.55,4.55,0,4.55
2011-01-28,4.55,4.55,4.55,4.55,0,4.55
2011-01-31,4.55,4.55,4.55,4.55,0,4.55
2011-02-01,4.55,4.55,4.55,4.55,0,4.55
2011-02-02,4.55,4.55,4.55,4.55,0,4.55
2011-02-03,4.55,4.55,4.55,4.55,0,4.55
2011-02-04,4.55,4.55,4.55,4.55,0,4.55
2011-02-07,4.55,4.55,4.55,4.55,0,4.55
2011-02-08,4.55,4.55,4.55,4.55,0,4.55
2011-02-09,4.55,4.55,4.55,4.55,0,4.55
2011-02-10,4.9,4.9,4.9,4.9,600,4.9
2011-02-11,4.9,4.9,4.9,4.9,0,4.9
2011-02-14,4.9,4.9,4.9,4.9,0,4.9
2011-02-15,4.75,4.75,4.75,4.75,100,4.75
2011-02-16,4.72,4.72,4.72,4.72,200,4.72
2011-02-17,4.72,4.72,4.72,4.72,0,4.72
2011-02-18,4.72,4.72,4.72,4.72,0,4.72
2011-02-22,4.72,4.72,4.72,4.72,0,4.72
2011-02-23,4.72,4.72,4.72,4.72,0,4.72
2011-02-24,4.36,4.36,4.36,4.36,100,4.36
2011-02-25,4.36,4.36,4.36,4.36,0,4.36
2011-02-28,4.36,4.36,4.36,4.36,0,4.36
2011-03-01,4.36,4.36,4.36,4.36,0,4.36
2011-03-02,4.36,4.36,4.36,4.36,0,4.36
2011-03-03,4.36,4.36,4.36,4.36,0,4.36
2011-03-04,4.36,4.36,4.36,4.36,0,4.36
2011-03-07,4.36,4.36,4.36,4.36,0,4.36
2011-03-08,4.36,4.36,4.36,4.36,0,4.36
2011-03-09,4.36,4.36,4.36,4.36,0,4.36
