Date,Open,High,Low,Close,Volume,Adj Close
1996-02-28,15.25,15.5,15.12,15.25,275300,13.7
1996-02-29,15.38,15.62,15.38,15.5,289200,13.92
1996-03-01,15.5,15.5,15.25,15.38,222300,13.81
1996-03-04,15.38,15.5,15.25,15.5,223100,13.92
1996-03-05,15.62,15.75,15.38,15.5,316300,13.92
1996-03-06,15.75,15.75,15.5,15.5,110300,13.92
1996-03-07,15.75,15.75,15.5,15.75,153900,14.15
1996-03-08,15.5,15.62,15.25,15.62,170100,14.03
1996-03-11,15.25,15.62,15.25,15.62,121700,14.03
1996-03-12,15.38,15.62,15.38,15.62,91500,14.03
1996-03-13,15.5,15.88,15.5,15.81,87300,14.2
1996-03-14,15.88,16.5,15.75,15.75,270000,14.15
1996-03-15,15.88,16.12,15.62,15.88,205000,14.26
1996-03-18,15.88,16.0,15.5,15.75,279900,14.15
1996-03-19,16.38,16.62,15.62,15.88,274700,14.26
1996-03-20,15.88,15.88,15.62,15.75,114500,14.15
1996-03-21,15.62,16.0,15.62,16.0,34300,14.37
1996-03-22,15.75,16.12,15.75,15.88,37200,14.26
1996-03-25,15.75,16.12,15.75,16.12,98400,14.48
1996-03-26,15.88,16.12,15.88,15.88,88000,14.26
1996-03-27,16.0,16.12,15.75,15.75,72300,14.15
1996-03-28,15.75,16.0,15.75,16.0,27300,14.37
1996-03-29,15.75,16.0,15.75,16.0,21700,14.37
1996-04-01,15.75,16.0,15.75,16.0,27700,14.37
1996-04-02,15.75,16.0,15.75,15.88,25800,14.26
1996-04-03,15.75,16.0,15.75,15.88,7900,14.26
1996-04-04,15.75,16.0,15.75,15.75,60500,14.15
1996-04-08,15.75,15.88,15.38,15.75,36200,14.2
1996-04-09,15.75,15.75,15.38,15.5,21300,13.98
1996-04-10,15.75,16.0,15.5,15.75,71700,14.2
1996-04-11,16.12,16.12,15.75,15.75,61100,14.2
1996-04-12,16.12,16.12,15.75,15.75,36600,14.2
1996-04-15,15.88,16.25,15.75,15.75,39000,14.2
1996-04-16,15.75,16.25,15.75,15.75,42600,14.2
1996-04-17,15.75,16.25,15.75,16.25,8800,14.65
1996-04-18,15.75,16.25,15.75,15.75,59500,14.2
1996-04-19,16.25,16.25,15.75,16.0,14200,14.43
1996-04-22,16.25,16.25,15.75,15.88,9200,14.31
1996-04-23,16.25,16.25,15.75,16.12,18900,14.54
1996-04-24,16.0,16.25,15.75,16.0,116800,14.43
1996-04-25,15.88,16.12,15.88,15.88,47700,14.31
1996-04-26,15.88,15.88,15.88,15.88,500,14.31
1996-04-29,16.12,16.12,15.88,16.0,90400,14.43
1996-04-30,15.88,16.12,15.75,15.88,35300,14.31
1996-05-01,15.75,16.12,15.75,15.88,88000,14.31
1996-05-02,15.88,16.12,15.5,15.62,77400,14.09
1996-05-03,15.62,16.0,15.62,15.75,69500,14.2
1996-05-06,15.62,16.0,15.62,15.88,29300,14.31
1996-05-07,15.62,16.0,15.62,15.75,21400,14.2
1996-05-08,15.75,16.0,15.5,16.0,63200,14.43
1996-05-09,16.0,16.0,15.62,15.75,15000,14.2
1996-05-10,16.0,16.0,15.75,15.75,52800,14.2
1996-05-13,15.88,15.88,15.75,15.88,56000,14.31
1996-05-14,15.88,15.88,15.62,15.88,157100,14.31
1996-05-15,16.12,16.62,16.0,16.5,401300,14.88
1996-05-16,16.62,16.75,16.38,16.38,37300,14.76
1996-05-17,16.75,16.75,16.38,16.5,26800,14.88
1996-05-20,16.5,16.75,16.38,16.38,111400,14.76
1996-05-21,16.5,16.5,16.25,16.25,32500,14.65
1996-05-22,16.25,16.5,16.25,16.25,37500,14.65
1996-05-23,16.25,16.5,16.25,16.5,67700,14.88
1996-05-24,16.25,16.38,16.25,16.25,16800,14.65
1996-05-28,16.25,16.62,16.25,16.25,38300,14.65
1996-05-29,16.62,16.62,16.25,16.62,12900,14.99
1996-05-30,16.25,16.62,16.25,16.5,18900,14.88
1996-05-31,16.25,16.25,16.25,16.25,3000,14.65
1996-06-03,16.25,16.75,16.25,16.75,64800,15.1
1996-06-04,16.75,16.75,16.38,16.38,8900,14.76
1996-06-05,16.25,16.75,16.25,16.5,52400,14.88
1996-06-06,16.75,16.75,16.25,16.38,34600,14.76
1996-06-07,16.25,16.62,16.25,16.62,59300,14.99
1996-06-10,16.25,16.62,16.25,16.5,18100,14.88
1996-06-11,16.62,16.75,16.38,16.62,24100,14.99
1996-06-12,16.62,16.62,16.12,16.25,77300,14.65
1996-06-13,16.25,16.62,16.25,16.62,37500,14.99
1996-06-14,16.62,16.62,16.25,16.62,6500,14.99
1996-06-17,16.38,16.38,16.25,16.38,18400,14.76
1996-06-18,16.38,16.5,16.0,16.38,55300,14.82
1996-06-19,16.12,16.38,15.88,15.88,48900,14.37
1996-06-20,15.88,16.0,15.38,15.38,31500,13.91
1996-06-21,15.62,15.62,15.5,15.5,10600,14.03
1996-06-24,15.75,15.88,15.5,15.88,9100,14.37
1996-06-25,15.75,16.0,15.75,15.75,20400,14.25
1996-06-26,15.75,15.88,15.25,15.38,29000,13.91
1996-06-27,15.38,15.62,15.38,15.62,1300,14.14
1996-06-28,15.27,15.62,15.25,15.62,24000,14.14
1996-07-01,15.44,15.62,15.38,15.5,9400,14.03
1996-07-02,15.38,15.62,15.38,15.56,6700,14.08
1996-07-03,15.5,15.5,15.5,15.5,4500,14.03
1996-07-05,15.5,15.5,15.0,15.0,19100,13.57
1996-07-08,15.0,15.06,14.38,14.62,51200,13.23
1996-07-09,14.62,14.62,14.25,14.25,100100,12.9
1996-07-10,14.25,14.5,14.25,14.25,24700,12.9
1996-07-11,14.25,14.25,13.75,14.12,31400,12.78
1996-07-12,13.75,14.0,13.75,13.88,6300,12.56
1996-07-15,13.88,14.12,13.62,14.0,52300,12.67
1996-07-16,13.5,13.62,13.25,13.38,73200,12.1
1996-07-17,13.75,13.75,13.5,13.75,53600,12.44
1996-07-18,13.75,15.0,13.75,14.75,40700,13.35
1996-07-19,15.0,15.12,14.88,15.12,7800,13.69
1996-07-22,15.0,15.5,15.0,15.0,58700,13.57
1996-07-23,14.88,15.25,14.88,14.88,22700,13.46
1996-07-24,14.75,14.88,14.5,14.5,25400,13.12
1996-07-25,14.5,14.88,14.5,14.88,800,13.46
1996-07-26,14.88,14.88,14.62,14.62,600,13.23
1996-07-29,14.75,14.88,14.75,14.88,46500,13.46
1996-07-30,14.75,14.88,14.5,14.62,46200,13.23
1996-07-31,14.5,14.88,14.5,14.88,17000,13.46
