Date,Open,High,Low,Close,Volume,Adj Close
1992-06-16,17.5,18.5,17.5,18.5,108400,4.27
1992-06-17,19.0,20.0,18.75,19.5,171200,4.5
1992-06-18,19.25,19.25,18.62,19.0,135200,4.38
1992-06-19,18.88,19.25,18.75,19.25,135600,4.44
1992-06-22,19.25,19.25,18.62,18.88,163600,4.35
1992-06-23,18.75,19.25,18.75,19.25,714800,4.44
1992-06-24,18.5,19.25,18.5,19.25,2800,4.44
1992-06-25,19.25,19.25,18.88,19.12,14800,4.41
1992-06-26,19.25,19.25,18.75,19.12,82400,4.41
1992-06-29,19.25,19.25,19.0,19.25,87600,4.44
1992-06-30,19.25,19.5,19.0,19.5,228000,4.5
1992-07-01,19.5,19.5,19.5,19.5,8400,4.5
1992-07-02,19.75,20.0,19.25,19.25,187600,4.44
1992-07-06,19.75,20.5,19.5,20.5,72400,4.73
1992-07-07,20.5,21.25,20.0,20.75,150000,4.78
1992-07-08,20.75,20.75,20.25,20.5,210000,4.73
1992-07-09,20.75,20.75,20.5,20.75,106800,4.78
1992-07-10,20.5,21.25,20.5,21.25,130000,4.9
1992-07-13,21.25,21.25,20.75,20.88,37600,4.81
1992-07-14,21.25,22.75,21.0,22.25,309200,5.13
1992-07-15,22.5,22.5,21.5,21.75,530400,5.01
1992-07-16,22.0,22.0,21.5,21.75,452800,5.01
1992-07-17,22.0,22.0,21.5,21.62,303200,4.99
1992-07-20,21.88,21.88,21.12,21.75,44000,5.01
1992-07-21,21.75,21.75,21.5,21.75,109200,5.01
1992-07-22,21.75,21.75,21.25,21.5,46000,4.96
1992-07-23,11.0,11.5,10.5,11.0,347400,5.07
1992-07-24,11.0,11.0,10.5,10.88,185800,5.01
1992-07-27,10.88,11.25,10.75,11.25,92200,5.19
1992-07-28,11.25,12.25,11.0,11.75,690400,5.42
1992-07-29,12.25,12.25,11.75,12.12,187200,5.59
1992-07-30,12.0,12.25,11.88,12.25,209800,5.65
1992-07-31,12.25,12.5,12.0,12.38,158200,5.71
1992-08-03,12.38,12.38,11.88,12.12,227000,5.59
1992-08-04,12.38,12.38,12.0,12.12,226200,5.59
1992-08-05,12.12,12.12,11.5,11.75,157200,5.42
1992-08-06,11.75,11.75,10.25,10.75,292000,4.96
1992-08-07,10.88,10.88,10.62,10.62,137800,4.9
1992-08-10,10.88,10.88,10.25,10.62,100000,4.91
1992-08-11,10.62,10.62,10.25,10.5,98800,4.85
1992-08-12,10.5,10.88,10.25,10.75,183800,4.96
1992-08-13,10.75,11.75,10.5,11.62,466600,5.37
1992-08-14,11.75,12.75,11.5,12.75,713400,5.89
1992-08-17,12.75,13.5,12.5,13.5,414400,6.24
1992-08-18,13.5,13.5,13.0,13.25,1663400,6.12
1992-08-19,13.5,13.5,12.62,12.62,748600,5.83
1992-08-20,13.0,13.0,12.5,12.62,128000,5.83
1992-08-21,12.75,13.0,12.25,12.62,263000,5.83
1992-08-24,12.38,12.62,12.0,12.0,97800,5.54
1992-08-25,12.38,12.38,12.0,12.25,214400,5.66
1992-08-26,12.38,13.38,12.25,13.38,164800,6.18
1992-08-27,13.38,13.5,13.12,13.25,99200,6.12
1992-08-28,13.38,13.38,12.88,13.12,111800,6.06
1992-08-31,13.25,13.5,13.0,13.5,147600,6.24
1992-09-01,13.38,13.88,13.0,13.88,298800,6.41
1992-09-02,13.88,14.38,13.62,13.88,441000,6.41
1992-09-03,13.88,14.0,13.5,13.88,474200,6.41
1992-09-04,13.75,13.75,13.38,13.75,276400,6.35
1992-09-08,13.75,13.75,13.0,13.0,300800,6.0
1992-09-09,13.0,13.38,12.5,12.88,223200,5.95
1992-09-10,12.75,12.75,12.5,12.75,159400,5.89
1992-09-11,12.75,13.25,12.62,13.25,644200,6.12
1992-09-14,13.25,13.5,13.12,13.38,373000,6.18
1992-09-15,13.38,13.38,12.62,13.25,334000,6.12
1992-09-16,13.25,13.75,12.75,13.62,1304000,6.29
1992-09-17,13.62,14.5,13.62,14.5,933800,6.7
1992-09-18,14.25,15.25,14.25,15.0,1295400,6.93
1992-09-21,14.62,15.5,14.62,15.5,504400,7.16
1992-09-22,15.88,15.88,14.75,14.88,583800,6.87
1992-09-23,15.0,15.0,14.5,14.88,258600,6.87
1992-09-24,14.88,15.0,14.25,14.5,328200,6.7
1992-09-25,14.5,14.5,14.25,14.5,240800,6.7
1992-09-28,14.5,15.25,14.38,15.25,245000,7.04
1992-09-29,15.25,15.88,15.0,15.62,401200,7.22
1992-09-30,15.62,17.12,15.62,16.38,862600,7.56
