Date,Open,High,Low,Close,Volume,Adj Close
1990-03-26,11.25,11.25,11.25,11.25,100,3.38
1990-03-27,11.75,12.0,11.75,12.0,500,3.61
1990-03-28,11.25,11.25,11.25,11.25,800,3.38
1990-03-29,11.25,11.75,11.25,11.75,1700,3.53
1990-03-30,12.0,12.0,11.5,11.5,2500,3.46
1990-04-02,11.5,12.0,11.25,11.25,4400,3.38
1990-04-03,12.0,12.0,11.25,11.25,1500,3.38
1990-04-04,11.5,12.0,11.5,11.5,2300,3.46
1990-04-05,12.0,12.0,11.5,12.0,1300,3.61
1990-04-06,11.5,11.5,11.5,11.5,2200,3.46
1990-04-09,12.0,12.0,11.5,11.5,4900,3.46
1990-04-10,11.5,11.75,10.0,10.5,8300,3.16
1990-04-11,10.5,12.0,10.5,11.5,6900,3.46
1990-04-12,12.0,12.0,10.5,12.0,4400,3.61
1990-04-16,11.0,12.0,11.0,12.0,3500,3.61
1990-04-17,12.0,12.0,11.0,12.0,2200,3.61
1990-04-18,11.0,12.0,11.0,12.0,3700,3.61
1990-04-19,11.0,12.0,11.0,11.0,1700,3.31
1990-04-20,12.0,12.0,11.0,12.0,1200,3.61
1990-04-23,12.0,12.0,11.0,11.0,1900,3.31
1990-04-24,12.0,12.0,11.0,12.0,1300,3.61
1990-04-25,11.0,12.0,11.0,11.88,1900,3.57
1990-04-26,12.0,12.0,11.25,11.25,6600,3.38
1990-04-27,12.0,12.0,11.25,11.25,1800,3.38
1990-04-30,11.25,11.75,11.0,11.0,1400,3.31
1990-05-01,11.75,11.75,11.0,11.0,1300,3.31
1990-05-02,11.0,11.0,11.0,11.0,600,3.31
1990-05-03,11.0,11.0,11.0,11.0,300,3.31
1990-05-04,11.0,11.0,11.0,11.0,200,3.31
1990-05-07,11.5,11.75,11.0,11.0,2400,3.31
1990-05-08,11.5,11.75,11.25,11.75,4500,3.53
1990-05-09,11.75,12.0,11.25,11.75,1600,3.53
1990-05-10,11.5,12.0,11.25,11.75,4000,3.53
1990-05-11,12.0,12.0,11.25,11.75,1400,3.53
1990-05-14,12.0,12.0,11.25,11.25,3300,3.38
1990-05-15,11.75,11.75,11.75,11.75,100,3.53
1990-05-16,11.75,11.75,11.25,11.25,7300,3.38
1990-05-17,11.25,11.75,11.25,11.75,2100,3.53
1990-05-18,11.75,11.75,11.25,11.25,1300,3.38
1990-05-21,11.5,11.75,11.25,11.5,11400,3.46
1990-05-22,11.75,11.75,11.0,11.0,4700,3.31
1990-05-23,11.5,11.5,11.0,11.5,8600,3.46
1990-05-24,11.25,11.5,11.0,11.38,5400,3.42
1990-05-25,11.0,11.5,11.0,11.5,4900,3.46
1990-05-29,11.0,11.5,11.0,11.5,1500,3.46
1990-05-30,11.5,11.5,11.38,11.5,5700,3.46
1990-05-31,11.38,11.38,11.0,11.0,2100,3.31
1990-06-01,11.0,11.0,11.0,11.0,400,3.31
1990-06-04,11.0,11.0,11.0,11.0,2400,3.31
1990-06-05,11.5,11.75,11.12,11.75,14200,3.53
1990-06-06,11.75,11.75,11.62,11.62,2000,3.49
1990-06-07,11.25,12.75,11.25,12.0,1000,3.61
1990-06-08,12.0,12.75,12.0,12.62,2400,3.8
1990-06-11,11.25,11.25,11.25,11.25,500,3.38
1990-06-12,11.5,13.25,11.5,13.25,900,3.98
1990-06-13,11.75,13.25,11.75,13.25,5900,3.98
1990-06-14,12.25,12.25,12.25,12.25,800,3.68
1990-06-15,12.25,12.25,12.25,12.25,1900,3.68
