Date,Open,High,Low,Close,Volume,Adj Close
2010-10-15,73.18,73.18,73.18,73.18,0,69.64
2010-10-18,73.18,73.18,73.18,73.18,0,69.64
2010-10-19,72.7,72.7,72.7,72.7,200,69.18
2010-10-20,72.7,72.7,72.7,72.7,0,69.18
2010-10-21,72.7,72.7,72.7,72.7,0,69.18
2010-10-22,72.7,72.7,72.7,72.7,0,69.18
2010-10-25,76.78,76.78,76.78,76.78,300,73.06
2010-10-26,76.78,76.78,76.78,76.78,0,73.06
2010-10-27,76.78,76.78,76.78,76.78,0,73.06
2010-10-28,76.78,76.78,76.78,76.78,0,73.06
2010-10-29,76.78,76.78,76.78,76.78,0,73.06
2010-11-01,76.78,76.78,76.78,76.78,0,73.06
2010-11-02,76.78,76.78,76.78,76.78,0,73.06
2010-11-03,84.0,84.2,84.0,84.2,400,80.12
2010-11-04,84.2,84.2,84.2,84.2,0,80.12
2010-11-05,84.2,84.2,84.2,84.2,0,80.12
2010-11-08,83.77,83.77,83.77,83.77,200,79.72
2010-11-09,82.25,82.25,81.5,81.5,400,77.56
2010-11-10,81.5,81.5,81.5,81.5,0,77.56
2010-11-11,81.5,81.5,81.5,81.5,0,77.56
2010-11-12,81.5,81.5,81.5,81.5,0,77.56
2010-11-15,81.5,81.5,81.5,81.5,0,77.56
2010-11-16,73.15,73.15,72.0,72.0,600,68.51
2010-11-17,72.0,72.0,72.0,72.0,0,68.51
2010-11-18,72.0,72.0,72.0,72.0,0,68.51
2010-11-19,72.0,72.0,72.0,72.0,0,68.51
2010-11-22,72.0,72.0,72.0,72.0,0,68.51
2010-11-23,72.0,72.0,72.0,72.0,0,68.51
2010-11-24,72.0,72.0,72.0,72.0,0,68.51
2010-11-26,72.0,72.0,72.0,72.0,0,68.51
2010-11-29,72.0,72.0,72.0,72.0,0,68.51
2010-11-30,72.0,72.0,72.0,72.0,0,68.51
2010-12-01,72.0,72.0,72.0,72.0,0,68.51
2010-12-02,72.0,72.0,72.0,72.0,0,68.51
2010-12-03,72.0,72.0,72.0,72.0,0,68.51
2010-12-06,72.0,72.0,72.0,72.0,0,68.51
2010-12-07,72.0,72.0,72.0,72.0,0,68.51
2010-12-08,68.5,68.5,68.5,68.5,500,65.18
2010-12-09,68.5,68.5,68.5,68.5,0,65.18
2010-12-10,68.5,68.5,68.5,68.5,0,65.18
2010-12-13,68.5,68.5,68.5,68.5,0,65.18
2010-12-14,68.5,68.5,68.5,68.5,0,65.18
2010-12-15,68.5,68.5,68.5,68.5,0,65.18
2010-12-16,66.75,66.75,66.75,66.75,200,63.52
2010-12-17,66.75,66.75,66.75,66.75,0,63.52
2010-12-20,66.75,66.75,66.75,66.75,0,63.52
2010-12-21,66.75,66.75,66.75,66.75,0,63.52
2010-12-22,66.75,66.75,66.75,66.75,0,63.52
2010-12-23,66.75,66.75,66.75,66.75,0,63.52
2010-12-27,66.75,66.75,66.75,66.75,0,63.52
2010-12-28,66.75,66.75,66.75,66.75,0,63.52
2010-12-29,66.75,66.75,66.75,66.75,0,63.52
2010-12-30,66.75,66.75,66.75,66.75,0,63.52
