Date,Open,High,Low,Close,Volume,Adj Close
2003-10-07,28.4,28.5,28.4,28.5,6000,5.91
2003-10-08,28.5,28.5,28.5,28.5,0,5.91
2003-10-09,28.75,28.75,28.75,28.75,800,5.96
2003-10-10,28.75,28.75,28.75,28.75,0,5.96
2003-10-13,28.75,28.75,28.75,28.75,0,5.96
2003-10-14,28.75,29.0,28.75,29.0,800,6.01
2003-10-15,29.0,29.0,29.0,29.0,0,6.01
2003-10-16,29.5,29.5,29.1,29.1,6000,6.03
2003-10-17,28.95,28.95,28.95,28.95,800,6.0
2003-10-20,28.95,28.95,28.95,28.95,800,6.0
2003-10-21,29.0,29.0,28.4,28.4,12400,5.89
2003-10-22,28.4,28.4,28.4,28.4,0,5.89
2003-10-23,28.4,28.4,28.4,28.4,1200,5.89
2003-10-24,28.4,28.5,28.4,28.5,1600,5.91
2003-10-27,28.5,28.5,28.5,28.5,3200,5.91
2003-10-28,28.6,28.6,28.5,28.5,8800,5.91
2003-10-29,28.6,28.6,28.5,28.5,29200,5.91
2003-10-30,28.5,28.55,28.45,28.55,4800,5.92
2003-10-31,28.6,29.4,28.6,29.4,4400,6.09
2003-11-03,29.35,29.45,29.35,29.45,20000,6.1
2003-11-04,29.46,29.46,29.0,29.4,4400,6.09
2003-11-05,29.4,29.45,29.4,29.45,26400,6.1
2003-11-06,29.45,29.45,29.45,29.45,2400,6.1
2003-11-07,29.0,29.0,27.95,28.5,26000,5.91
2003-11-10,28.5,28.5,28.5,28.5,0,5.91
2003-11-11,28.45,28.5,28.45,28.5,8000,5.91
2003-11-12,28.75,28.75,28.75,28.75,1200,5.96
2003-11-13,28.75,29.0,28.75,29.0,6000,6.01
2003-11-14,29.5,29.5,28.6,29.5,6800,6.11
2003-11-17,29.5,29.5,29.0,29.25,8000,6.06
2003-11-18,29.0,29.25,29.0,29.25,12400,6.06
2003-11-19,29.25,29.25,29.25,29.25,0,6.06
2003-11-20,29.0,29.0,29.0,29.0,3600,6.01
2003-11-21,29.5,29.5,29.5,29.5,3200,6.11
2003-11-24,29.5,29.5,28.85,29.25,8000,6.06
2003-11-25,29.25,29.25,29.0,29.25,4400,6.06
2003-11-26,29.0,29.0,28.5,29.0,9600,6.04
2003-11-28,29.0,29.0,29.0,29.0,400,6.04
2003-12-01,28.5,28.5,28.5,28.5,2000,5.94
2003-12-02,29.0,29.0,28.5,28.5,5600,5.94
2003-12-03,28.75,29.25,28.75,29.2,20000,6.08
2003-12-04,29.2,29.2,29.0,29.0,1600,6.04
2003-12-05,29.0,29.0,29.0,29.0,0,6.04
2003-12-08,29.0,29.0,29.0,29.0,0,6.04
2003-12-09,29.0,29.0,29.0,29.0,0,6.04
2003-12-10,29.0,29.0,29.0,29.0,0,6.04
2003-12-11,29.0,29.0,29.0,29.0,400,6.04
2003-12-12,29.0,29.0,29.0,29.0,1600,6.04
2003-12-15,29.5,29.5,29.25,29.25,5200,6.09
2003-12-16,29.5,29.5,29.5,29.5,1200,6.14
2003-12-17,29.5,29.5,29.15,29.15,3600,6.07
2003-12-18,29.5,29.5,29.5,29.5,8000,6.14
2003-12-19,29.5,29.5,29.5,29.5,6000,6.14
2003-12-22,29.5,29.5,29.5,29.5,0,6.14
2003-12-23,29.3,29.3,29.3,29.3,1200,6.1
2003-12-24,29.5,29.5,29.0,29.0,12800,6.04
2003-12-26,29.0,29.0,29.0,29.0,0,6.04
2003-12-29,29.0,29.0,29.0,29.0,0,6.04
2003-12-30,29.0,29.25,29.0,29.25,2800,6.09
2003-12-31,29.65,29.65,29.65,29.65,2000,6.17
2004-01-02,29.1,29.25,29.1,29.25,6800,6.09
2004-01-05,29.25,29.25,29.25,29.25,0,6.09
2004-01-06,29.25,29.25,29.25,29.25,0,6.09
2004-01-07,29.5,29.5,29.1,29.1,2400,6.06
2004-01-08,29.1,29.1,29.1,29.1,0,6.06
2004-01-09,29.5,29.9,29.4,29.9,9600,6.23
2004-01-12,29.9,30.0,29.65,30.0,10800,6.25
2004-01-13,29.65,29.83,29.65,29.83,7200,6.21
2004-01-14,30.0,30.05,30.0,30.05,5600,6.26
2004-01-15,30.0,30.0,30.0,30.0,400,6.25
2004-01-16,30.0,30.0,30.0,30.0,4000,6.25
2004-01-20,29.65,30.5,29.65,30.5,4800,6.35
2004-01-21,30.0,30.0,30.0,30.0,7200,6.25
2004-01-22,30.0,30.0,30.0,30.0,11200,6.25
2004-01-23,30.0,30.3,30.0,30.0,25600,6.25
2004-01-26,30.5,30.5,30.0,30.0,9600,6.25
2004-01-27,30.45,30.45,30.0,30.0,6000,6.25
2004-01-28,30.0,30.0,30.0,30.0,2000,6.25
2004-01-29,30.0,30.0,30.0,30.0,20000,6.25
2004-01-30,30.0,30.0,30.0,30.0,0,6.25
2004-02-02,30.5,30.5,29.95,29.95,3600,6.24
2004-02-03,30.0,30.5,30.0,30.5,7200,6.35
2004-02-04,30.0,30.4,30.0,30.4,6000,6.33
2004-02-05,30.4,30.4,30.4,30.4,0,6.33
2004-02-06,30.4,30.4,30.4,30.4,0,6.33
2004-02-09,30.0,30.4,29.95,30.0,11600,6.25
2004-02-10,30.4,30.45,30.4,30.45,2000,6.34
2004-02-11,30.45,30.45,30.45,30.45,0,6.34
2004-02-12,30.45,30.45,30.05,30.05,2400,6.26
2004-02-13,30.5,30.5,30.5,30.5,1200,6.35
2004-02-17,30.45,31.9,30.45,31.9,35600,6.64
2004-02-18,32.0,32.75,31.51,32.0,9600,6.66
2004-02-19,32.5,33.0,32.0,33.0,5600,6.87
2004-02-20,34.0,34.5,34.0,34.5,1600,7.18
2004-02-23,33.0,34.0,33.0,34.0,1600,7.08
2004-02-24,33.0,33.0,33.0,33.0,1600,6.87
2004-02-25,33.0,33.25,33.0,33.25,4400,6.92
2004-02-26,33.25,33.75,33.25,33.75,2400,7.03
2004-02-27,33.75,33.75,33.75,33.75,0,7.03
2004-03-01,33.75,34.25,33.75,34.25,2400,7.13
2004-03-02,34.25,34.25,34.25,34.25,400,7.13
2004-03-03,33.25,33.25,33.0,33.0,2400,6.87
2004-03-04,33.0,33.0,33.0,33.0,0,6.87
2004-03-05,33.0,33.0,33.0,33.0,0,6.87
2004-03-08,33.0,33.0,33.0,33.0,3600,6.87
2004-03-09,33.0,33.0,33.0,33.0,0,6.87
2004-03-10,33.75,33.75,33.75,33.75,800,7.03
2004-03-11,33.75,33.75,33.75,33.75,0,7.03
2004-03-12,33.5,34.0,33.5,34.0,2800,7.11
2004-03-15,34.25,34.25,33.0,33.0,38000,6.9
2004-03-16,33.0,33.0,33.0,33.0,1200,6.9
2004-03-17,33.0,33.0,33.0,33.0,0,6.9
2004-03-18,33.0,33.0,33.0,33.0,0,6.9
2004-03-19,33.75,33.75,33.75,33.75,8400,7.06
2004-03-22,33.25,33.25,32.25,32.25,23200,6.74
2004-03-23,32.5,32.5,32.25,32.25,1600,6.74
2004-03-24,32.5,32.5,32.5,32.5,1200,6.8
2004-03-25,32.5,32.5,32.5,32.5,0,6.8
2004-03-26,32.5,32.75,32.5,32.75,5200,6.85
2004-03-29,32.5,32.5,32.5,32.5,2000,6.8
2004-03-30,33.0,33.0,33.0,33.0,800,6.9
2004-03-31,33.0,33.0,33.0,33.0,0,6.9
2004-04-01,33.0,33.0,32.75,32.75,16400,6.85
2004-04-02,32.75,32.75,32.55,32.55,8000,6.81
2004-04-05,32.6,33.0,32.55,33.0,16800,6.9
2004-04-06,33.0,33.0,33.0,33.0,0,6.9
2004-04-07,33.0,33.0,33.0,33.0,0,6.9
2004-04-08,32.55,32.55,32.55,32.55,4800,6.81
2004-04-12,32.55,32.85,32.55,32.85,5200,6.87
2004-04-13,32.85,32.85,32.85,32.85,0,6.87
2004-04-14,32.85,32.85,32.85,32.85,0,6.87
2004-04-15,32.8,32.9,32.8,32.9,6000,6.88
2004-04-16,32.9,32.9,32.9,32.9,0,6.88
2004-04-19,33.0,33.25,32.85,33.25,134400,6.95
2004-04-20,33.0,33.0,33.0,33.0,12000,6.9
2004-04-21,33.0,33.25,33.0,33.25,4000,6.95
2004-04-22,33.0,33.0,33.0,33.0,2000,6.9
2004-04-23,33.25,33.25,33.0,33.0,2000,6.9
2004-04-26,33.25,33.25,33.25,33.25,400,6.95
2004-04-27,33.25,34.0,33.25,34.0,1200,7.11
2004-04-28,34.0,34.0,34.0,34.0,0,7.11
