Date,Open,High,Low,Close,Volume,Adj Close
1993-05-17,33.0,33.0,33.0,33.0,3200,5.93
1993-05-18,34.25,34.25,34.25,34.25,4500,6.15
1993-05-19,33.0,33.75,33.0,33.75,4300,6.07
1993-05-20,33.75,33.75,33.75,33.75,0,6.07
1993-05-21,33.75,33.75,33.75,33.75,0,6.07
1993-05-24,33.75,33.75,33.75,33.75,0,6.07
1993-05-25,33.0,34.5,33.0,34.5,5800,6.2
1993-05-26,34.5,34.5,34.5,34.5,0,6.2
1993-05-27,34.0,34.0,34.0,34.0,1300,6.11
1993-05-28,34.0,34.0,34.0,34.0,0,6.11
1993-06-01,34.0,34.0,34.0,34.0,0,6.11
1993-06-02,33.0,34.0,33.0,34.0,9000,6.11
1993-06-03,34.0,34.0,34.0,34.0,0,6.11
1993-06-04,34.0,34.0,34.0,34.0,0,6.11
1993-06-07,34.5,34.5,34.5,34.5,500,6.2
1993-06-08,33.75,33.75,33.75,33.75,29500,6.07
1993-06-09,33.0,33.0,33.0,33.0,10400,5.97
1993-06-10,33.0,33.0,33.0,33.0,0,5.97
1993-06-11,33.0,33.0,33.0,33.0,0,5.97
1993-06-14,33.0,34.0,33.0,33.88,7200,6.12
1993-06-15,33.88,33.88,33.88,33.88,0,6.12
1993-06-16,33.88,33.88,33.88,33.88,0,6.12
1993-06-17,34.75,34.75,34.75,34.75,800,6.28
1993-06-18,34.75,34.75,34.75,34.75,500,6.28
1993-06-21,33.88,34.5,33.0,33.0,2900,5.97
1993-06-22,33.0,33.0,33.0,33.0,800,5.97
1993-06-23,33.0,33.0,33.0,33.0,0,5.97
1993-06-24,33.0,33.0,33.0,33.0,800,5.97
1993-06-25,33.0,33.0,33.0,33.0,0,5.97
1993-06-28,33.0,33.0,33.0,33.0,1300,5.97
1993-06-29,33.0,33.0,33.0,33.0,0,5.97
1993-06-30,33.0,33.0,33.0,33.0,0,5.97
1993-07-01,33.0,33.0,33.0,33.0,0,5.97
1993-07-02,33.0,33.0,33.0,33.0,0,5.97
1993-07-06,33.0,33.0,33.0,33.0,0,5.97
1993-07-07,34.75,35.25,34.75,34.75,4300,6.28
1993-07-08,35.25,35.25,35.25,35.25,2100,6.37
1993-07-09,35.25,35.25,35.25,35.25,0,6.37
1993-07-12,35.25,35.5,35.25,35.5,2900,6.42
1993-07-13,33.5,33.5,33.5,33.5,500,6.06
1993-07-14,34.5,34.5,34.5,34.5,2400,6.24
1993-07-15,35.5,35.5,35.5,35.5,500,6.42
1993-07-16,35.5,35.5,35.5,35.5,0,6.42
1993-07-19,35.25,35.25,35.25,35.25,800,6.37
1993-07-20,34.0,34.0,34.0,34.0,500,6.15
1993-07-21,35.25,35.25,35.25,35.25,500,6.37
1993-07-22,35.25,35.25,35.25,35.25,0,6.37
1993-07-23,35.0,35.0,34.5,34.5,29500,6.24
1993-07-26,35.25,35.25,35.25,35.25,800,6.37
1993-07-27,35.25,35.25,35.25,35.25,0,6.37
1993-07-28,35.25,35.25,35.25,35.25,0,6.37
1993-07-29,35.25,35.25,35.25,35.25,0,6.37
1993-07-30,35.25,35.25,35.25,35.25,2900,6.37
1993-08-02,35.0,35.0,34.5,34.5,16500,6.24
1993-08-03,34.5,35.25,34.5,35.25,2100,6.37
1993-08-04,35.25,35.25,35.25,35.25,800,6.37
1993-08-05,35.25,35.25,35.25,35.25,8800,6.37
1993-08-06,34.5,34.5,34.5,34.5,2100,6.24
1993-08-09,34.5,34.5,34.5,34.5,17500,6.24
1993-08-10,36.5,36.5,35.0,35.75,7200,6.46
1993-08-11,35.0,35.0,35.0,35.0,8200,6.33
1993-08-12,36.0,36.0,36.0,36.0,5000,6.51
1993-08-13,36.0,36.0,36.0,36.0,0,6.51
1993-08-16,36.0,36.0,36.0,36.0,0,6.51
1993-08-17,36.0,36.0,36.0,36.0,0,6.51
1993-08-18,35.5,35.5,34.75,34.88,70700,6.31
1993-08-19,35.0,36.0,34.88,36.0,30800,6.51
1993-08-20,34.88,35.5,34.75,35.5,36400,6.42
1993-08-23,35.75,36.5,34.5,35.75,5300,6.46
1993-08-24,35.75,35.75,35.75,35.75,0,6.46
1993-08-25,35.75,35.75,35.75,35.75,0,6.46
1993-08-26,34.75,35.75,34.75,35.75,5300,6.46
1993-08-27,35.75,35.75,35.75,35.75,0,6.46
1993-08-30,35.75,35.75,35.75,35.75,500,6.46
1993-08-31,36.0,36.0,36.0,36.0,500,6.51
1993-09-01,36.0,36.0,34.5,34.5,12500,6.24
1993-09-02,36.0,36.0,34.75,35.25,16500,6.37
1993-09-03,36.0,36.0,36.0,36.0,2100,6.51
1993-09-07,36.0,36.0,36.0,36.0,0,6.51
1993-09-08,36.0,36.0,36.0,36.0,500,6.51
1993-09-09,35.5,35.5,34.5,34.5,1600,6.27
1993-09-10,34.5,34.5,34.5,34.5,0,6.27
1993-09-13,34.5,34.5,34.5,34.5,0,6.27
1993-09-14,34.5,34.5,34.5,34.5,8000,6.27
1993-09-15,36.0,36.0,36.0,36.0,1300,6.54
1993-09-16,36.0,36.0,36.0,36.0,0,6.54
1993-09-17,34.5,34.5,34.5,34.5,500,6.27
1993-09-20,34.5,34.5,34.5,34.5,0,6.27
1993-09-21,34.5,34.5,34.5,34.5,0,6.27
1993-09-22,34.5,34.5,34.5,34.5,0,6.27
1993-09-23,34.5,34.5,34.5,34.5,0,6.27
1993-09-24,36.0,36.0,36.0,36.0,5000,6.54
1993-09-27,36.0,36.0,36.0,36.0,0,6.54
1993-09-28,36.0,36.0,36.0,36.0,2900,6.54
1993-09-29,36.0,36.0,36.0,36.0,0,6.54
1993-09-30,36.0,36.0,36.0,36.0,0,6.54
1993-10-01,36.0,36.0,35.0,35.5,17500,6.45
1993-10-04,35.0,35.0,35.0,35.0,29000,6.36
1993-10-05,35.25,35.25,35.25,35.25,27400,6.41
1993-10-06,34.5,34.5,34.5,34.5,2900,6.27
1993-10-07,35.0,35.0,34.75,34.75,6100,6.32
1993-10-08,34.75,34.75,34.75,34.75,0,6.32
1993-10-11,35.5,35.75,35.5,35.75,1300,6.5
1993-10-12,35.25,35.25,35.13,35.13,70700,6.39
1993-10-13,35.13,35.13,35.13,35.13,0,6.39
1993-10-14,35.13,35.13,35.13,35.13,0,6.39
1993-10-15,36.0,36.0,36.0,36.0,3700,6.54
1993-10-18,36.0,36.0,36.0,36.0,0,6.54
1993-10-19,36.0,36.0,36.0,36.0,0,6.54
1993-10-20,34.5,35.0,33.0,34.5,32400,6.27
1993-10-21,32.63,34.5,32.63,34.5,16200,6.27
1993-10-22,32.5,32.5,32.5,32.5,2100,5.91
1993-10-25,34.5,34.5,34.5,34.5,500,6.27
1993-10-26,34.5,34.5,34.5,34.5,4300,6.27
1993-10-27,34.5,34.5,34.5,34.5,0,6.27
1993-10-28,34.5,34.5,34.5,34.5,800,6.27
1993-10-29,34.5,34.5,34.5,34.5,10400,6.27
1993-11-01,34.5,34.5,34.5,34.5,2100,6.27
1993-11-02,32.5,34.5,32.5,34.5,2900,6.27
1993-11-03,34.5,34.5,34.5,34.5,800,6.27
1993-11-04,32.88,33.25,32.88,33.25,153600,6.04
1993-11-05,34.5,34.5,34.5,34.5,800,6.27
1993-11-08,33.0,33.0,33.0,33.0,3700,6.0
1993-11-09,34.5,34.5,34.5,34.5,1300,6.27
1993-11-10,34.5,34.5,34.5,34.5,5800,6.27
1993-11-11,33.5,34.5,33.0,33.0,5300,6.0
1993-11-12,34.5,34.5,34.5,34.5,500,6.27
1993-11-15,33.75,34.5,33.75,34.5,2100,6.27
1993-11-16,34.5,34.5,34.5,34.5,0,6.27
1993-11-17,33.0,34.5,33.0,34.5,1600,6.27
1993-11-18,34.0,34.0,34.0,34.0,1300,6.18
1993-11-19,33.75,33.75,33.75,33.75,2400,6.14
1993-11-22,33.75,33.75,33.75,33.75,800,6.14
1993-11-23,33.75,33.75,33.75,33.75,1600,6.14
1993-11-24,33.75,33.75,33.75,33.75,0,6.14
1993-11-26,33.75,33.75,33.75,33.75,0,6.14
1993-11-29,33.25,33.25,33.25,33.25,500,6.04
1993-11-30,33.25,33.25,33.25,33.25,8800,6.04
1993-12-01,34.5,35.0,33.5,35.0,18300,6.36
1993-12-02,35.25,37.25,34.0,37.25,36900,6.77
1993-12-03,37.5,39.5,37.5,38.5,29000,7.0
1993-12-06,40.0,40.5,40.0,40.5,8000,7.36
1993-12-07,40.5,40.5,39.0,39.0,2900,7.09
1993-12-08,40.5,40.5,40.5,40.5,500,7.36
1993-12-09,40.5,40.5,40.5,40.5,0,7.4
1993-12-10,39.0,39.0,39.0,39.0,4500,7.13
1993-12-13,39.0,39.0,39.0,39.0,0,7.13
1993-12-14,39.0,39.0,39.0,39.0,0,7.13
1993-12-15,39.0,39.0,39.0,39.0,0,7.13
1993-12-16,39.0,39.25,39.0,39.25,11700,7.17
1993-12-17,40.5,40.5,40.5,40.5,10900,7.4
1993-12-20,41.0,41.0,41.0,41.0,4300,7.49
1993-12-21,41.5,41.5,41.5,41.5,1600,7.59
1993-12-22,41.5,43.0,41.5,43.0,18600,7.86
1993-12-23,43.0,43.0,43.0,43.0,4300,7.86
1993-12-27,43.0,43.0,43.0,43.0,0,7.86
1993-12-28,44.0,44.0,44.0,44.0,500,8.04
1993-12-29,44.0,44.0,44.0,44.0,800,8.04
1993-12-30,42.0,42.0,42.0,42.0,8200,7.68
1993-12-31,42.5,44.0,42.0,44.0,7400,8.04
1994-01-03,44.0,44.0,42.5,44.0,1600,8.04
1994-01-04,43.88,44.0,43.88,44.0,1300,8.04
1994-01-05,44.0,44.0,42.5,42.5,7200,7.77
1994-01-06,42.5,44.0,42.5,44.0,10400,8.04
1994-01-07,44.5,44.5,44.5,44.5,8200,8.13
1994-01-10,44.0,45.0,43.0,45.0,19100,8.23
1994-01-11,45.0,45.0,45.0,45.0,0,8.23
1994-01-12,45.0,45.0,45.0,45.0,0,8.23
1994-01-13,45.0,45.0,45.0,45.0,0,8.23
1994-01-14,45.0,45.0,45.0,45.0,0,8.23
1994-01-17,45.0,45.0,45.0,45.0,0,8.23
1994-01-18,43.75,43.75,43.75,43.75,800,8.0
1994-01-19,44.5,45.5,44.0,45.0,23100,8.23
1994-01-20,45.0,45.0,45.0,45.0,0,8.23
1994-01-21,43.5,45.5,43.5,45.5,1300,8.32
1994-01-24,43.5,43.5,43.5,43.5,2400,7.95
1994-01-25,43.5,43.5,43.5,43.5,800,7.95
1994-01-26,45.5,45.5,43.5,43.5,6600,7.95
1994-01-27,43.5,44.25,43.5,44.25,13300,8.09
1994-01-28,44.88,45.0,44.88,45.0,5800,8.23
1994-01-31,45.0,45.0,45.0,45.0,1600,8.23
1994-02-01,45.0,45.0,45.0,45.0,2100,8.23
1994-02-02,32.0,32.0,32.0,32.0,500,8.77
1994-02-03,33.0,33.0,31.0,31.0,2500,8.5
1994-02-04,31.0,31.0,31.0,31.0,0,8.5
1994-02-07,30.5,30.5,30.5,30.5,9200,8.36
1994-02-08,32.5,32.5,32.5,32.5,3500,8.91
1994-02-09,32.0,32.0,32.0,32.0,1400,8.77
1994-02-10,30.0,32.0,30.0,32.0,4100,8.77
1994-02-11,32.0,32.0,32.0,32.0,0,8.77
1994-02-14,32.0,32.0,32.0,32.0,2800,8.77
1994-02-15,32.0,32.0,32.0,32.0,16300,8.77
1994-02-16,31.0,32.0,30.0,32.0,17200,8.77
1994-02-17,30.0,31.0,30.0,31.0,5000,8.5
1994-02-18,32.0,32.0,32.0,32.0,400,8.77
1994-02-22,32.0,32.5,30.5,30.5,4800,8.36
1994-02-23,30.5,30.5,30.5,30.5,0,8.36
1994-02-24,32.5,35.0,31.0,33.0,43900,9.05
1994-02-25,33.0,33.0,33.0,33.0,0,9.05
1994-02-28,33.5,34.5,33.5,34.5,4800,9.46
1994-03-01,32.0,34.5,32.0,34.5,1600,9.46
