Date,Open,High,Low,Close,Volume,Adj Close
1987-11-05,20.75,20.75,20.0,20.0,96600,2.24
1987-11-06,20.0,21.25,20.0,20.5,72600,2.3
1987-11-09,20.25,20.25,19.88,19.88,16800,2.23
1987-11-10,19.88,20.25,19.75,20.25,13800,2.27
1987-11-11,20.25,20.25,20.0,20.0,4800,2.24
1987-11-12,20.5,21.0,20.5,21.0,65400,2.36
1987-11-13,21.0,21.0,20.5,20.5,10200,2.3
1987-11-16,20.5,21.0,20.13,20.13,12000,2.26
1987-11-17,19.88,19.88,19.88,19.88,63600,2.23
1987-11-18,19.88,19.88,19.25,19.75,103800,2.22
1987-11-19,19.75,20.0,19.0,19.38,76200,2.17
1987-11-20,19.38,19.38,19.0,19.12,19200,2.15
1987-11-23,19.25,19.5,19.25,19.5,39000,2.19
1987-11-24,19.5,20.0,19.5,19.88,15600,2.23
1987-11-25,19.75,19.75,19.75,19.75,15600,2.22
1987-11-27,19.75,19.75,19.75,19.75,14400,2.22
1987-11-30,19.5,19.5,19.0,19.0,280800,2.13
1987-12-01,19.0,19.0,19.0,19.0,19800,2.13
1987-12-02,19.0,19.12,18.75,19.0,5400,2.13
1987-12-03,19.0,19.0,18.75,19.0,17400,2.13
1987-12-04,18.75,18.75,18.5,18.5,37800,2.08
1987-12-07,18.38,18.38,18.0,18.0,13200,2.02
1987-12-08,18.0,18.12,17.75,18.12,4800,2.03
1987-12-09,18.12,18.5,18.0,18.0,49200,2.02
1987-12-10,18.0,18.12,17.88,18.12,68400,2.03
1987-12-11,18.0,18.0,17.75,17.88,40200,2.01
1987-12-14,17.88,18.0,17.25,17.75,75600,1.99
1987-12-15,17.75,17.88,17.0,17.5,70800,1.96
1987-12-16,17.62,18.5,17.62,18.5,85800,2.08
1987-12-17,18.25,18.25,17.75,17.75,15600,1.99
1987-12-18,18.63,18.63,18.63,18.63,98400,2.09
1987-12-21,18.63,18.75,18.12,18.12,57600,2.03
1987-12-22,18.12,18.5,17.75,18.25,56400,2.05
1987-12-23,18.0,18.0,17.62,18.0,67200,2.02
1987-12-24,18.0,18.38,17.88,18.38,10200,2.06
1987-12-28,18.5,18.87,18.5,18.5,65400,2.08
1987-12-29,18.5,18.75,18.12,18.38,49800,2.06
1987-12-30,18.38,18.63,18.12,18.25,83400,2.05
1987-12-31,18.25,18.63,18.0,18.0,82200,2.02
1988-01-04,18.63,19.5,18.63,19.5,46800,2.19
1988-01-05,19.62,20.0,19.62,19.88,15000,2.23
1988-01-06,19.88,19.88,19.62,19.88,19800,2.23
1988-01-07,19.62,19.62,19.62,19.62,4200,2.2
1988-01-08,19.62,19.62,19.0,19.0,26400,2.13
1988-01-11,19.0,19.25,18.25,18.87,172200,2.12
1988-01-12,18.87,19.38,18.63,18.63,15600,2.09
1988-01-13,18.63,18.75,18.38,18.75,15600,2.1
1988-01-14,18.63,18.63,18.25,18.5,310800,2.08
