Date,Open,High,Low,Close,Volume,Adj Close
1994-12-19,10.12,10.12,10.0,10.0,66000,5.13
1994-12-20,10.12,10.12,10.0,10.0,21600,5.13
1994-12-21,10.0,10.12,10.0,10.0,60900,5.13
1994-12-22,10.0,10.12,10.0,10.0,110300,5.13
1994-12-23,10.0,10.12,10.0,10.12,18000,5.19
1994-12-27,10.0,10.12,10.0,10.0,20500,5.13
1994-12-28,10.0,10.12,10.0,10.12,73500,5.19
1994-12-29,10.25,10.38,10.12,10.38,71000,5.32
1994-12-30,10.25,10.5,10.25,10.38,13300,5.32
1995-01-03,10.38,10.38,10.0,10.0,26100,5.13
1995-01-04,10.12,10.12,10.12,10.12,18900,5.19
1995-01-05,10.0,10.25,10.0,10.0,42100,5.13
1995-01-06,10.0,10.12,9.88,10.0,261800,5.13
1995-01-09,10.12,10.12,9.62,9.62,136100,4.94
1995-01-10,9.38,9.38,9.25,9.25,217700,4.74
1995-01-11,9.25,9.5,9.25,9.5,228900,4.87
1995-01-12,9.5,9.75,9.5,9.75,122600,5.0
1995-01-13,9.38,9.62,9.38,9.5,409900,4.87
1995-01-16,9.5,9.62,9.5,9.62,20900,4.94
1995-01-17,9.62,9.62,9.5,9.5,8500,4.87
1995-01-18,9.5,9.5,9.5,9.5,52300,4.87
1995-01-19,9.5,9.5,9.38,9.38,27900,4.81
1995-01-20,9.38,9.62,9.38,9.62,34600,4.94
1995-01-23,9.5,9.5,9.38,9.38,19800,4.81
1995-01-24,9.38,9.38,9.38,9.38,22800,4.81
1995-01-25,9.38,9.38,9.38,9.38,31800,4.81
1995-01-26,9.5,9.62,9.5,9.5,43700,4.87
1995-01-27,9.5,9.5,9.5,9.5,11900,4.87
1995-01-30,9.38,9.5,9.38,9.38,12200,4.81
1995-01-31,9.38,9.38,9.25,9.25,15900,4.74
1995-02-01,9.25,9.38,9.25,9.25,21300,4.74
1995-02-02,9.25,9.25,9.25,9.25,8100,4.74
1995-02-03,9.25,9.38,9.25,9.38,23800,4.81
1995-02-06,9.38,9.5,9.25,9.25,15300,4.74
1995-02-07,9.25,9.38,9.25,9.38,9100,4.81
1995-02-08,9.38,9.38,9.25,9.25,3100,4.74
