Date,Open,High,Low,Close,Volume,Adj Close
1996-12-12,18.5,23.0,18.5,23.0,65300,20.24
1996-12-13,23.0,23.0,21.75,21.88,49300,19.25
1996-12-16,21.75,21.75,21.5,21.62,20500,19.03
1996-12-17,21.5,21.5,21.25,21.5,4800,18.92
1996-12-18,21.88,22.0,21.88,22.0,65500,19.36
1996-12-19,22.0,22.62,22.0,22.62,33200,19.91
1996-12-20,22.62,23.5,22.5,23.5,22400,20.68
1996-12-23,23.5,24.0,23.5,24.0,7400,21.12
1996-12-24,24.0,24.12,24.0,24.0,4800,21.12
1996-12-26,24.0,24.12,24.0,24.0,1300,21.12
1996-12-27,24.0,24.0,24.0,24.0,1000,21.12
1996-12-30,23.38,23.88,22.75,22.75,19700,20.02
1996-12-31,22.62,23.0,21.5,21.62,47900,19.03
1997-01-02,21.62,22.38,21.62,22.25,38700,19.58
1997-01-03,22.5,23.0,22.5,22.88,20900,20.13
1997-01-06,23.25,23.5,22.0,22.38,125000,19.69
1997-01-07,22.0,22.88,22.0,22.88,233200,20.13
1997-01-08,22.88,22.88,22.25,22.38,478900,19.69
1997-01-09,22.62,22.62,22.38,22.38,220600,19.69
1997-01-10,22.25,22.38,22.25,22.38,243400,19.69
1997-01-13,22.5,22.5,22.25,22.5,153900,19.8
1997-01-14,22.5,23.0,22.38,23.0,64000,20.24
1997-01-15,23.25,23.5,22.62,23.0,61600,20.24
1997-01-16,22.75,22.75,22.5,22.75,217800,20.02
1997-01-17,22.75,23.12,22.75,23.12,11900,20.35
1997-01-20,23.12,23.25,23.0,23.12,21800,20.35
1997-01-21,23.25,23.62,23.0,23.5,78300,20.68
1997-01-22,23.5,23.5,22.88,23.0,13000,20.24
1997-01-23,23.12,23.25,22.75,23.0,30200,20.24
1997-01-24,23.0,23.25,22.88,23.0,63800,20.24
1997-01-27,22.88,23.0,22.75,22.75,47900,20.02
1997-01-28,22.88,23.25,22.75,22.75,58000,20.02
1997-01-29,22.88,23.38,22.75,23.38,28000,20.57
1997-01-30,23.38,23.62,23.25,23.62,3300,20.79
1997-01-31,23.75,24.75,23.62,24.62,16300,21.67
1997-02-03,24.75,25.0,24.5,25.0,18800,22.0
1997-02-04,25.0,25.0,24.5,25.0,31900,22.0
1997-02-05,24.75,24.75,23.88,24.0,92100,21.12
1997-02-06,24.0,24.12,23.88,24.0,61800,21.12
1997-02-07,24.25,24.25,23.62,23.62,24300,20.79
1997-02-10,23.62,23.75,23.5,23.75,14400,20.9
1997-02-11,23.88,24.0,23.5,23.75,53700,20.9
1997-02-12,23.62,23.88,23.0,23.0,19900,20.24
1997-02-13,22.75,25.25,22.75,25.25,69400,22.22
1997-02-14,25.25,25.5,24.62,24.62,17300,21.67
1997-02-18,24.88,24.88,24.5,24.5,56000,21.56
1997-02-19,24.5,25.0,24.5,24.88,33200,21.89
1997-02-20,24.88,25.12,24.5,24.5,10700,21.56
1997-02-21,24.5,24.5,24.25,24.38,18100,21.45
1997-02-24,24.62,25.12,24.62,25.0,41800,22.0
1997-02-25,25.12,25.5,25.0,25.38,40800,22.33
1997-02-26,25.38,25.38,25.12,25.12,23100,22.11
1997-02-27,25.0,25.0,24.75,24.75,19100,21.78
1997-02-28,24.88,24.88,24.38,24.75,67800,21.78
1997-03-03,24.75,25.0,24.62,24.75,21900,21.78
1997-03-04,24.88,25.5,24.88,25.5,598300,22.44
1997-03-05,25.75,28.25,25.75,28.0,51000,24.64
1997-03-06,28.25,28.5,27.75,27.88,43500,24.53
1997-03-07,27.88,27.88,27.38,27.38,7400,24.09
1997-03-10,27.38,28.0,27.38,27.75,64100,24.42
1997-03-11,27.88,28.38,27.88,28.0,109200,24.64
1997-03-12,28.12,28.25,27.75,28.25,48700,24.86
