Date,Open,High,Low,Close,Volume,Adj Close
1990-03-26,8.25,8.25,8.25,8.25,20800,1.46
1990-03-27,8.25,8.25,8.25,8.25,200,1.46
1990-03-28,8.0,8.25,8.0,8.0,29400,1.42
1990-03-29,8.0,8.0,8.0,8.0,800,1.42
1990-03-30,8.12,8.25,8.0,8.25,12400,1.46
1990-04-02,8.0,8.25,8.0,8.25,18800,1.46
1990-04-03,8.25,8.25,8.25,8.25,0,1.46
1990-04-04,8.25,8.25,8.25,8.25,10200,1.46
1990-04-05,7.75,7.75,7.75,7.75,1300,1.37
1990-04-06,7.75,7.75,7.75,7.75,200,1.37
1990-04-09,7.75,7.75,7.75,7.75,0,1.37
1990-04-10,7.75,8.25,7.75,8.25,800,1.46
1990-04-11,8.25,8.25,8.25,8.25,0,1.46
1990-04-12,8.25,8.25,8.25,8.25,0,1.46
1990-04-16,8.25,8.25,8.25,8.25,0,1.46
1990-04-17,7.75,7.75,7.75,7.75,1300,1.37
1990-04-18,7.75,7.87,7.75,7.75,56800,1.37
1990-04-19,7.75,7.75,7.75,7.75,0,1.37
1990-04-20,7.75,7.75,7.75,7.75,2900,1.37
1990-04-23,7.75,7.75,7.75,7.75,0,1.37
1990-04-24,7.75,7.75,7.75,7.75,0,1.37
1990-04-25,7.75,8.0,7.75,8.0,6000,1.42
1990-04-26,8.0,8.0,8.0,8.0,0,1.42
1990-04-27,8.0,8.0,8.0,8.0,0,1.42
1990-04-30,7.25,7.5,7.25,7.5,10200,1.33
1990-05-01,7.5,7.75,7.5,7.75,22000,1.37
1990-05-02,7.25,7.25,7.25,7.25,100,1.28
1990-05-03,7.25,7.25,7.25,7.25,0,1.28
1990-05-04,7.25,7.25,7.25,7.25,0,1.28
1990-05-07,7.25,7.25,7.25,7.25,0,1.28
1990-05-08,7.25,7.25,7.25,7.25,0,1.28
1990-05-09,7.25,7.25,7.25,7.25,0,1.28
1990-05-10,7.25,7.25,7.25,7.25,0,1.28
1990-05-11,7.25,7.25,7.25,7.25,0,1.28
1990-05-14,7.25,7.25,7.25,7.25,0,1.28
1990-05-15,7.25,7.25,7.25,7.25,0,1.28
1990-05-16,7.25,7.25,7.25,7.25,0,1.28
1990-05-17,7.25,7.25,7.25,7.25,0,1.28
1990-05-18,7.25,7.25,7.25,7.25,0,1.28
1990-05-21,7.25,7.25,7.25,7.25,0,1.28
1990-05-22,7.5,10.0,7.5,9.75,111200,1.73
1990-05-23,9.75,9.75,9.0,9.0,60800,1.59
1990-05-24,9.0,9.0,9.0,9.0,100,1.59
1990-05-25,9.0,9.0,9.0,9.0,0,1.59
1990-05-29,9.0,9.0,9.0,9.0,0,1.59
1990-05-30,8.5,8.5,8.5,8.5,2100,1.5
1990-05-31,8.5,8.5,8.5,8.5,0,1.5
1990-06-01,8.5,8.5,8.5,8.5,0,1.5
1990-06-04,8.5,8.5,8.5,8.5,47200,1.5
1990-06-05,8.5,8.5,8.5,8.5,0,1.5
1990-06-06,8.37,8.5,8.37,8.5,9300,1.5
1990-06-07,8.25,8.25,8.25,8.25,1300,1.46
1990-06-08,8.25,8.25,8.25,8.25,0,1.46
1990-06-11,8.25,8.25,8.25,8.25,0,1.46
1990-06-12,8.25,8.25,8.25,8.25,0,1.46
1990-06-13,8.25,8.25,8.25,8.25,0,1.46
1990-06-14,8.25,8.25,8.25,8.25,0,1.46
1990-06-15,8.25,8.25,8.25,8.25,0,1.46
1990-06-18,8.25,8.25,8.25,8.25,0,1.46
1990-06-19,8.25,8.25,8.25,8.25,0,1.46
1990-06-20,8.25,8.25,8.25,8.25,4500,1.46
1990-06-21,8.25,8.25,8.25,8.25,0,1.46
1990-06-22,8.25,8.25,8.25,8.25,0,1.46
1990-06-25,8.25,8.25,8.25,8.25,0,1.46
1990-06-26,8.25,8.25,8.25,8.25,0,1.46
1990-06-27,8.25,8.25,8.25,8.25,0,1.46
1990-06-28,8.25,8.25,8.25,8.25,0,1.46
1990-06-29,8.25,8.62,8.25,8.62,19200,1.53
1990-07-02,8.62,8.62,8.62,8.62,0,1.53
1990-07-03,8.62,8.62,8.62,8.62,0,1.53
1990-07-05,8.75,8.75,8.75,8.75,6000,1.55
1990-07-06,8.75,8.75,8.75,8.75,0,1.55
1990-07-09,8.75,8.75,8.75,8.75,0,1.55
1990-07-10,8.25,8.25,8.25,8.25,800,1.46
1990-07-11,8.25,8.25,8.25,8.25,0,1.46
1990-07-12,8.25,8.25,8.25,8.25,0,1.46
1990-07-13,8.25,8.25,8.25,8.25,0,1.46
1990-07-16,8.25,8.25,8.25,8.25,0,1.46
1990-07-17,8.25,8.25,8.25,8.25,0,1.46
1990-07-18,8.25,8.25,8.25,8.25,200,1.46
1990-07-19,8.25,8.25,8.25,8.25,0,1.46
1990-07-20,8.25,8.25,8.25,8.25,2900,1.46
1990-07-23,8.25,8.25,8.25,8.25,0,1.46
1990-07-24,8.25,8.25,8.25,8.25,100,1.46
1990-07-25,8.25,8.25,8.25,8.25,0,1.46
1990-07-26,8.25,8.25,8.25,8.25,0,1.46
1990-07-27,8.25,8.25,8.25,8.25,200,1.46
1990-07-30,8.25,8.25,8.25,8.25,2900,1.46
1990-07-31,8.25,8.25,8.25,8.25,0,1.46
1990-08-01,8.25,8.25,8.25,8.25,0,1.46
1990-08-02,8.25,8.25,8.25,8.25,0,1.46
1990-08-03,8.0,8.0,8.0,8.0,2100,1.42
1990-08-06,8.0,8.0,8.0,8.0,800,1.42
1990-08-07,8.0,8.0,8.0,8.0,1300,1.42
1990-08-08,8.0,8.0,8.0,8.0,0,1.42
1990-08-09,8.0,8.0,8.0,8.0,200,1.42
1990-08-10,8.0,8.0,8.0,8.0,1300,1.42
1990-08-13,8.0,8.0,8.0,8.0,0,1.42
1990-08-14,8.0,8.0,8.0,8.0,0,1.42
1990-08-15,8.0,8.0,8.0,8.0,0,1.42
1990-08-16,8.0,8.0,8.0,8.0,0,1.42
1990-08-17,8.0,8.0,8.0,8.0,0,1.42
1990-08-20,8.0,8.0,8.0,8.0,100,1.42
1990-08-21,8.0,8.0,8.0,8.0,100,1.42
1990-08-22,8.0,8.0,8.0,8.0,2900,1.42
1990-08-23,7.5,7.5,7.5,7.5,1700,1.33
1990-08-24,7.75,7.75,7.75,7.75,6000,1.37
1990-08-27,7.75,7.75,7.75,7.75,0,1.37
1990-08-28,7.5,7.75,7.5,7.75,4200,1.37
1990-08-29,7.5,7.5,7.5,7.5,1300,1.33
1990-08-30,7.0,7.25,7.0,7.25,12400,1.28
1990-08-31,7.25,7.25,7.25,7.25,0,1.28
1990-09-04,6.75,6.75,6.75,6.75,100,1.19
1990-09-05,6.75,6.75,6.75,6.75,2900,1.19
1990-09-06,6.75,6.75,6.75,6.75,0,1.19
1990-09-07,6.75,6.75,6.75,6.75,200,1.19
1990-09-10,7.75,7.75,7.75,7.75,1700,1.37
1990-09-11,7.75,7.75,7.75,7.75,0,1.37
1990-09-12,7.75,7.75,7.75,7.75,0,1.37
1990-09-13,7.75,7.75,7.75,7.75,0,1.37
1990-09-14,7.75,7.75,7.75,7.75,0,1.37
1990-09-17,7.75,7.75,7.75,7.75,0,1.37
1990-09-18,7.75,7.75,7.75,7.75,0,1.37
1990-09-19,7.75,7.75,7.75,7.75,0,1.37
1990-09-20,7.75,7.75,7.75,7.75,0,1.37
1990-09-21,7.75,7.75,7.75,7.75,0,1.37
1990-09-24,7.75,7.75,7.75,7.75,0,1.37
1990-09-25,7.75,7.75,7.75,7.75,0,1.37
1990-09-26,7.75,7.75,7.75,7.75,0,1.37
1990-09-27,7.0,7.25,7.0,7.25,63600,1.28
1990-09-28,7.25,7.25,7.25,7.25,0,1.28
1990-10-01,7.0,7.0,7.0,7.0,6000,1.24
1990-10-02,7.0,7.0,7.0,7.0,0,1.24
1990-10-03,7.0,7.0,7.0,7.0,0,1.24
1990-10-04,7.0,7.0,7.0,7.0,0,1.24
1990-10-05,7.0,7.0,7.0,7.0,0,1.24
1990-10-08,6.5,6.5,6.5,6.5,100,1.15
1990-10-09,6.5,6.87,6.5,6.87,13600,1.22
1990-10-10,6.75,6.75,6.75,6.75,1700,1.19
1990-10-11,6.5,6.5,6.5,6.5,200,1.15
1990-10-12,6.5,6.5,6.5,6.5,0,1.15
1990-10-15,6.5,6.5,6.5,6.5,0,1.15
1990-10-16,6.5,6.5,6.5,6.5,0,1.15
1990-10-17,6.5,6.5,6.5,6.5,0,1.15
1990-10-18,6.5,6.5,6.5,6.5,0,1.15
