Date,Open,High,Low,Close,Volume,Adj Close
2006-06-16,50.2,50.29,49.65,50.03,15300,37.9
2006-06-19,49.8,49.96,49.29,49.67,1800,37.63
2006-06-20,49.85,50.3,49.82,50.15,2400,37.99
2006-06-21,50.25,50.97,50.25,50.85,1900,38.52
2006-06-22,50.37,50.37,50.07,50.16,2900,38.0
2006-06-23,50.0,50.48,50.0,50.48,2400,38.24
2006-06-26,50.31,50.56,50.14,50.56,2300,38.3
2006-06-27,50.07,50.07,49.46,49.46,900,37.47
2006-06-28,50.1,50.18,49.93,50.18,500,38.01
2006-06-29,50.11,50.7,50.1,50.7,600,38.41
2006-06-30,52.3,52.55,52.17,52.53,1900,39.79
2006-07-03,52.6,52.93,52.56,52.93,1900,40.1
2006-07-05,52.2,52.2,51.83,52.17,2000,39.52
2006-07-06,52.74,52.74,52.74,52.74,200,39.95
2006-07-07,52.72,52.72,52.56,52.56,1000,39.82
2006-07-10,52.6,52.75,52.55,52.56,4600,39.82
2006-07-11,52.23,52.76,52.23,52.76,500,39.97
2006-07-12,52.79,52.79,52.27,52.29,1700,39.61
2006-07-13,51.43,51.43,51.25,51.25,1000,38.82
2006-07-14,50.96,50.96,50.55,50.62,700,38.35
2006-07-17,49.9,49.97,49.8,49.88,800,37.79
2006-07-18,49.83,49.83,49.56,49.56,1900,37.54
2006-07-19,50.32,51.7,50.21,51.65,3100,39.13
2006-07-20,52.15,52.15,51.34,51.34,1600,38.89
2006-07-21,51.09,51.09,51.09,51.09,600,38.7
2006-07-24,52.05,52.52,52.03,52.52,2700,39.79
2006-07-25,52.1,52.1,51.82,52.06,1000,39.44
2006-07-26,51.97,52.22,51.9,52.22,2600,39.56
2006-07-27,53.1,53.11,52.72,52.72,700,39.94
2006-07-28,53.12,53.56,53.09,53.55,4100,40.57
2006-07-31,53.0,53.3,52.94,53.13,2700,40.25
2006-08-01,52.77,53.12,52.77,53.1,2100,40.22
2006-08-02,53.47,53.72,53.47,53.69,2000,40.67
2006-08-03,53.28,53.46,53.28,53.46,800,40.5
2006-08-04,54.07,54.07,53.68,53.68,800,40.66
2006-08-07,53.45,53.45,53.35,53.37,2900,40.43
2006-08-08,53.31,53.56,53.25,53.36,3500,40.42
2006-08-09,53.92,53.92,53.57,53.57,200,40.58
2006-08-10,53.25,53.39,53.0,53.37,7100,40.43
2006-08-11,53.1,53.27,53.04,53.11,4900,40.23
2006-08-14,53.34,53.51,53.21,53.22,2600,40.32
2006-08-15,53.79,54.0,53.79,53.98,5000,40.89
2006-08-16,54.6,54.63,54.58,54.61,5700,41.37
2006-08-17,54.56,54.74,54.46,54.55,4200,41.32
2006-08-18,54.61,54.65,54.45,54.63,2400,41.38
2006-08-21,54.75,55.27,54.75,55.14,9200,41.77
2006-08-22,54.25,54.49,54.15,54.38,3500,41.19
2006-08-23,55.99,56.1,54.05,54.68,5500,41.42
2006-08-24,54.97,55.16,54.88,54.91,7500,41.6
2006-08-25,54.6,54.75,54.6,54.72,1600,41.45
2006-08-28,54.97,55.72,54.97,55.34,6600,41.92
2006-08-29,55.1,55.93,55.1,55.93,4200,42.37
2006-08-30,55.79,56.5,55.79,56.02,12300,42.44
2006-08-31,56.14,56.22,55.28,55.28,6300,41.88
2006-09-01,55.75,55.99,55.69,55.92,3200,42.36
2006-09-05,56.3,56.31,55.27,55.53,29200,42.07
2006-09-06,55.77,55.77,54.49,54.49,13200,41.28
2006-09-07,54.0,54.18,53.75,54.04,10900,40.94
2006-09-08,54.02,54.07,54.0,54.07,2100,40.96
2006-09-11,53.9,53.9,53.62,53.86,2000,40.8
2006-09-12,54.08,54.46,54.08,54.46,10300,41.25
2006-09-13,54.5,54.64,54.35,54.59,33400,41.35
2006-09-14,54.53,54.56,54.43,54.45,4600,41.25
2006-09-15,54.53,54.53,54.32,54.39,6000,41.2
