Date,Open,High,Low,Close,Volume,Adj Close
1990-03-26,5.75,6.0,5.75,6.0,5400,26.1
1990-03-27,6.0,6.0,5.75,5.87,1800,25.56
1990-03-28,5.87,5.87,5.75,5.87,3600,25.56
1990-03-29,5.87,5.87,5.87,5.87,900,25.56
1990-03-30,5.87,5.87,5.87,5.87,0,25.56
1990-04-02,5.75,5.87,5.75,5.87,900,25.56
1990-04-03,5.87,5.87,5.75,5.87,4500,25.56
1990-04-04,5.75,5.87,5.75,5.75,3600,25.02
1990-04-05,5.87,5.87,5.75,5.87,1800,25.56
1990-04-06,5.75,5.87,5.75,5.87,1800,25.56
1990-04-09,5.87,5.87,5.75,5.75,0,25.02
1990-04-10,5.87,5.87,5.75,5.87,4500,25.56
1990-04-11,5.75,5.87,5.75,5.87,7200,25.56
1990-04-12,5.87,5.87,5.87,5.87,0,25.56
1990-04-16,5.87,5.87,5.87,5.87,0,25.56
1990-04-17,5.87,5.87,5.87,5.87,0,25.56
1990-04-18,5.87,5.87,5.75,5.87,5400,25.56
1990-04-19,5.87,5.87,5.62,5.87,3600,25.56
1990-04-20,5.87,5.87,5.87,5.87,900,25.56
1990-04-23,5.5,5.87,5.5,5.87,19800,25.56
1990-04-24,5.87,5.87,5.87,5.87,900,25.56
1990-04-25,5.87,5.87,5.87,5.87,0,25.56
1990-04-26,5.87,5.87,5.75,5.87,1800,25.56
1990-04-27,5.87,5.87,5.87,5.87,0,25.56
1990-04-30,5.75,5.75,5.5,5.75,1800,25.02
1990-05-01,5.75,5.75,5.5,5.75,1800,25.02
1990-05-02,5.5,5.75,5.5,5.75,3600,25.02
1990-05-03,5.5,5.75,5.5,5.75,8100,25.02
1990-05-04,5.75,5.75,5.75,5.75,0,25.02
1990-05-07,5.75,5.75,5.5,5.75,2700,25.02
1990-05-08,5.5,5.75,5.5,5.75,9900,25.02
1990-05-09,5.5,5.75,5.5,5.75,1800,25.02
1990-05-10,5.5,5.75,5.5,5.75,0,25.02
1990-05-11,5.87,5.87,5.75,5.75,900,25.02
1990-05-14,5.75,5.87,5.5,5.75,900,25.02
1990-05-15,6.0,6.0,6.0,6.0,0,26.1
1990-05-16,5.75,6.0,5.75,6.0,2700,26.1
1990-05-17,5.75,6.0,5.75,6.0,0,26.1
1990-05-18,6.0,6.0,6.0,6.0,0,26.1
1990-05-21,6.0,6.0,6.0,6.0,0,26.1
1990-05-22,5.87,6.25,5.87,6.25,900,27.19
1990-05-23,6.25,6.25,6.0,6.25,4500,27.19
1990-05-24,6.25,7.0,6.25,6.5,9000,28.28
1990-05-25,6.5,6.75,6.25,6.5,2700,28.28
1990-05-29,6.75,7.0,6.75,7.0,4500,30.46
1990-05-30,7.0,8.25,6.75,7.75,6300,33.72
1990-05-31,8.25,8.25,7.75,8.0,9000,34.81
1990-06-01,8.25,8.25,7.75,8.0,2700,34.81
1990-06-04,8.25,8.25,8.25,8.25,0,35.89
1990-06-05,8.0,8.0,8.0,8.0,900,34.81
1990-06-06,8.0,8.25,7.75,7.75,3600,33.72
1990-06-07,8.12,8.12,8.12,8.12,0,35.35
1990-06-08,7.75,7.75,7.5,7.75,0,33.72
1990-06-11,7.5,8.12,7.5,7.5,0,32.63
1990-06-12,8.12,8.12,7.5,7.5,0,32.63
1990-06-13,7.75,7.75,7.5,7.5,1800,32.63
1990-06-14,7.5,7.5,7.5,7.5,0,32.63
1990-06-15,7.37,7.37,7.37,7.37,0,32.09
1990-06-18,7.37,7.5,7.0,7.5,2700,32.63
1990-06-19,6.5,7.25,6.5,7.25,0,31.54
1990-06-20,7.25,7.25,7.25,7.25,0,31.54
1990-06-21,7.25,7.25,7.25,7.25,0,31.54
1990-06-22,6.5,6.5,6.5,6.5,0,28.28
1990-06-25,6.5,6.5,6.5,6.5,0,28.28
1990-06-26,6.5,6.5,6.5,6.5,0,28.28
1990-06-27,6.5,6.5,6.5,6.5,0,28.28
1990-06-28,6.75,6.75,6.75,6.75,0,29.37
1990-06-29,6.75,6.75,6.25,6.62,900,28.82
1990-07-02,6.25,6.25,6.25,6.25,0,27.19
1990-07-03,6.25,6.75,6.25,6.75,900,29.37
1990-07-05,6.75,6.75,6.25,6.75,1800,29.37
1990-07-06,6.5,6.5,6.25,6.25,900,27.19
1990-07-09,6.25,6.25,6.25,6.25,0,27.19
1990-07-10,6.25,6.25,6.25,6.25,0,27.19
1990-07-11,6.25,6.25,6.25,6.25,0,27.19
1990-07-12,6.25,6.25,6.25,6.25,0,27.19
1990-07-13,6.75,6.75,6.75,6.75,2700,29.37
1990-07-16,6.75,6.75,6.75,6.75,0,29.37
1990-07-17,6.5,6.5,6.5,6.5,0,28.28
1990-07-18,6.25,6.5,6.25,6.5,0,28.28
1990-07-19,6.5,6.5,6.5,6.5,0,28.28
1990-07-20,6.25,6.5,6.25,6.5,0,28.28
1990-07-23,6.5,6.5,6.25,6.25,0,27.19
1990-07-24,6.25,6.5,6.0,6.25,9000,27.19
1990-07-25,6.0,6.5,6.0,6.5,8100,28.28
1990-07-26,6.5,6.5,6.5,6.5,0,28.28
1990-07-27,6.0,6.5,6.0,6.5,6300,28.28
1990-07-30,6.12,6.25,6.0,6.25,3600,27.19
1990-07-31,6.0,6.25,6.0,6.25,1800,27.19
1990-08-01,6.25,6.25,6.0,6.0,1800,26.1
1990-08-02,6.0,6.0,5.75,5.87,9000,25.56
1990-08-03,5.87,6.0,5.75,5.87,3600,25.56
1990-08-06,5.87,6.0,5.37,5.75,2700,25.02
1990-08-07,5.75,5.75,5.5,5.75,1800,25.02
1990-08-08,5.62,5.75,5.5,5.75,2700,25.02
1990-08-09,5.5,5.75,5.5,5.75,900,25.02
1990-08-10,5.75,5.75,5.75,5.75,0,25.02
1990-08-13,5.75,5.75,5.5,5.75,4500,25.02
1990-08-14,5.75,5.75,5.75,5.75,0,25.02
1990-08-15,5.75,5.75,5.75,5.75,900,25.02
1990-08-16,5.5,5.75,5.5,5.75,0,25.02
1990-08-17,5.75,5.75,5.5,5.75,4500,25.02
1990-08-20,5.75,5.75,5.5,5.75,5400,25.02
1990-08-21,5.75,5.75,5.75,5.75,0,25.02
1990-08-22,5.5,5.75,5.5,5.75,7200,25.02
1990-08-23,5.75,5.75,5.5,5.5,2700,23.93
1990-08-24,5.75,5.75,5.62,5.75,900,25.02
1990-08-27,5.5,5.75,5.5,5.75,1800,25.02
1990-08-28,5.75,5.75,5.5,5.75,900,25.02
1990-08-29,5.75,6.0,5.5,5.75,5400,25.02
1990-08-30,6.0,6.0,5.75,6.0,900,26.1
1990-08-31,6.0,6.0,5.75,5.75,900,25.02
1990-09-04,5.75,6.0,5.75,6.0,900,26.1
1990-09-05,5.75,6.0,5.75,6.0,9000,26.1
1990-09-06,6.0,6.0,6.0,6.0,0,26.1
1990-09-07,5.75,6.0,5.75,5.87,1800,25.56
1990-09-10,5.87,5.87,5.87,5.87,0,25.56
1990-09-11,5.75,5.75,5.75,5.75,0,25.02
1990-09-12,5.75,5.75,5.75,5.75,900,25.02
1990-09-13,5.87,6.0,5.75,6.0,900,26.1
1990-09-14,5.75,6.0,5.75,5.75,6300,25.02
1990-09-17,5.75,5.75,5.75,5.75,0,25.02
1990-09-18,5.75,5.75,5.75,5.75,0,25.02
1990-09-19,5.75,5.75,5.75,5.75,0,25.02
1990-09-20,5.75,5.75,5.75,5.75,0,25.02
1990-09-21,5.75,6.0,5.75,6.0,0,26.1
1990-09-24,5.75,6.0,5.75,6.0,2700,26.1
1990-09-25,5.75,6.0,5.75,6.0,0,26.1
1990-09-26,5.87,5.87,5.75,5.75,900,25.02
1990-09-27,5.75,6.0,5.75,6.0,2700,26.1
1990-09-28,6.0,6.0,5.75,6.0,0,26.1
1990-10-01,5.75,5.75,5.75,5.75,0,25.02
1990-10-02,5.75,5.75,5.75,5.75,0,25.02
1990-10-03,5.75,5.87,5.75,5.87,4500,25.56
1990-10-04,5.75,6.0,5.75,6.0,1800,26.1
1990-10-05,5.75,6.0,5.75,6.0,0,26.1
1990-10-08,5.75,6.0,5.75,6.0,0,26.1
1990-10-09,5.75,6.0,5.75,5.75,0,25.02
1990-10-10,5.75,6.0,5.75,6.0,900,26.1
1990-10-11,6.0,6.0,6.0,6.0,0,26.1
1990-10-12,6.0,6.0,6.0,6.0,0,26.1
1990-10-15,6.0,6.0,5.75,6.0,900,26.1
1990-10-16,5.75,6.0,5.75,6.0,1800,26.1
1990-10-17,5.75,5.75,5.75,5.75,0,25.02
1990-10-18,5.75,5.75,5.75,5.75,0,25.02
1990-10-19,5.75,5.75,5.75,5.75,0,25.02
1990-10-22,5.75,5.75,5.75,5.75,0,25.02
1990-10-23,5.75,5.75,5.75,5.75,0,25.02
1990-10-24,5.75,5.75,5.75,5.75,0,25.02
1990-10-25,5.75,6.0,5.75,6.0,1800,26.1
1990-10-26,6.0,6.0,6.0,6.0,0,26.1
1990-10-29,5.75,6.0,5.75,6.0,900,26.1
1990-10-30,6.0,6.0,6.0,6.0,0,26.1
1990-10-31,5.75,6.0,5.75,6.0,0,26.1
1990-11-01,5.87,5.87,5.87,5.87,0,25.56
1990-11-02,5.75,5.75,5.75,5.75,0,25.02
1990-11-05,6.0,6.0,5.75,5.75,0,25.02
1990-11-06,5.75,5.75,5.75,5.75,0,25.02
1990-11-07,5.75,5.87,5.75,5.75,2700,25.02
1990-11-08,5.75,6.0,5.75,5.87,4500,25.56
1990-11-09,5.75,6.0,5.75,6.0,1800,26.1
1990-11-12,5.75,6.0,5.75,6.0,900,26.1
1990-11-13,6.0,6.0,5.5,6.0,18900,26.1
1990-11-14,5.75,6.0,5.75,6.0,2700,26.1
1990-11-15,5.75,5.75,5.75,5.75,0,25.02
1990-11-16,5.75,5.75,5.75,5.75,0,25.02
1990-11-19,5.75,5.75,5.75,5.75,0,25.02
1990-11-20,5.75,5.75,5.75,5.75,0,25.02
1990-11-21,5.75,5.75,5.75,5.75,0,25.02
1990-11-23,5.75,5.75,5.75,5.75,0,25.02
1990-11-26,5.75,5.75,5.75,5.75,0,25.02
1990-11-27,5.75,5.75,5.75,5.75,0,25.02
1990-11-28,5.75,5.75,5.75,5.75,0,25.02
1990-11-29,5.75,6.0,5.75,6.0,1800,26.1
1990-11-30,6.0,6.0,6.0,6.0,0,26.1
1990-12-03,5.75,5.75,5.75,5.75,0,25.02
1990-12-04,5.75,5.75,5.75,5.75,0,25.02
1990-12-05,6.0,6.0,6.0,6.0,0,26.1
1990-12-06,6.0,6.0,6.0,6.0,0,26.1
1990-12-07,6.0,6.0,5.75,6.0,900,26.1
1990-12-10,5.75,6.0,5.75,6.0,0,26.1
1990-12-11,6.0,6.0,6.0,6.0,0,26.1
1990-12-12,6.0,6.0,5.75,6.0,900,26.1
1990-12-13,5.75,6.0,5.75,6.0,1800,26.1
1990-12-14,6.0,6.0,5.75,6.0,0,26.1
1990-12-17,6.0,6.0,6.0,6.0,0,26.1
1990-12-18,5.75,5.75,5.75,5.75,0,25.02
1990-12-19,5.75,5.75,5.75,5.75,0,25.02
1990-12-20,6.0,6.0,6.0,6.0,0,26.1
1990-12-21,6.0,6.0,6.0,6.0,0,26.1
1990-12-24,5.87,6.0,5.87,6.0,900,26.1
1990-12-26,6.0,6.0,6.0,6.0,0,26.1
1990-12-27,5.75,5.75,5.75,5.75,0,25.02
1990-12-28,5.75,6.0,5.75,6.0,0,26.1
1990-12-31,5.75,6.0,5.75,6.0,11700,26.1
1991-01-02,6.0,6.0,6.0,6.0,0,26.1
1991-01-03,6.0,6.0,6.0,6.0,0,26.1
1991-01-04,6.0,6.0,6.0,6.0,0,26.1
1991-01-07,6.0,6.0,6.0,6.0,0,26.1
1991-01-08,6.0,6.0,6.0,6.0,0,26.1
1991-01-09,6.0,6.0,6.0,6.0,0,26.1
1991-01-10,5.75,6.0,5.75,6.0,6300,26.1
1991-01-11,6.0,6.0,6.0,6.0,0,26.1
1991-01-14,6.0,6.0,6.0,6.0,0,26.1
1991-01-15,6.0,6.0,6.0,6.0,0,26.1
1991-01-16,6.0,6.0,6.0,6.0,0,26.1
1991-01-17,6.0,6.0,6.0,6.0,0,26.1
1991-01-18,6.0,6.0,6.0,6.0,0,26.1
1991-01-21,5.75,6.0,5.75,6.0,2700,26.1
1991-01-22,6.0,6.0,6.0,6.0,0,26.1
1991-01-23,5.75,6.0,5.75,6.0,2700,26.1
1991-01-24,5.75,5.75,5.75,5.75,900,25.02
1991-01-25,6.0,6.0,5.75,5.75,0,25.02
1991-01-28,6.0,6.0,5.87,5.87,900,25.56
1991-01-29,5.87,5.87,5.87,5.87,0,25.56
