Date,Open,High,Low,Close,Volume,Adj Close
2004-02-05,12.15,14.99,12.02,14.5,4245600,7.64
2004-02-06,14.6,17.57,14.52,16.2,810400,8.54
2004-02-09,16.57,16.8,16.0,16.55,186600,8.72
2004-02-10,16.65,16.65,16.23,16.25,111700,8.57
2004-02-11,16.17,16.28,15.54,15.94,133700,8.4
2004-02-12,16.12,16.5,15.29,16.13,281900,8.5
2004-02-13,16.1,16.42,15.87,16.23,584300,8.55
2004-02-17,16.21,16.52,15.5,15.58,133100,8.21
2004-02-18,15.56,15.94,15.56,15.83,88000,8.34
2004-02-19,15.94,15.94,15.0,15.0,208400,7.91
2004-02-20,15.12,15.12,14.99,14.99,126700,7.9
2004-02-23,14.95,15.0,14.64,14.74,400100,7.77
2004-02-24,15.0,15.0,14.51,14.52,103200,7.65
2004-02-25,14.5,15.51,14.5,14.93,164100,7.87
2004-02-26,15.19,15.41,15.06,15.4,67100,8.12
2004-02-27,15.42,16.2,15.4,15.52,91800,8.18
2004-03-01,15.62,15.7,15.0,15.4,71300,8.12
2004-03-02,15.7,15.75,15.01,15.19,47900,8.01
2004-03-03,15.38,16.18,15.3,16.0,133300,8.43
2004-03-04,16.15,16.15,15.9,16.0,61800,8.43
2004-03-05,15.65,15.65,15.11,15.47,105100,8.15
2004-03-08,15.2,15.3,14.5,14.96,120000,7.89
2004-03-09,14.85,15.02,14.6,14.9,107300,7.85
2004-03-10,14.59,14.61,13.94,14.13,130700,7.45
2004-03-11,13.93,14.0,13.83,13.83,70100,7.29
2004-03-12,14.1,14.1,13.58,13.9,53300,7.33
2004-03-15,13.8,13.8,12.91,13.08,103000,6.89
2004-03-16,12.7,12.9,11.18,11.55,741700,6.09
2004-03-17,11.75,12.05,11.6,11.74,295200,6.19
2004-03-18,11.75,11.9,11.75,11.75,205000,6.19
2004-03-19,11.8,12.2,11.41,11.75,353600,6.19
2004-03-22,11.75,11.75,11.21,11.36,98000,5.99
2004-03-23,11.5,11.5,11.01,11.05,125400,5.82
2004-03-24,11.2,11.2,10.66,10.97,186300,5.78
2004-03-25,10.95,11.05,10.86,10.99,198800,5.79
2004-03-26,11.0,11.0,10.55,10.6,147900,5.59
2004-03-29,10.94,10.94,10.38,10.38,152100,5.47
2004-03-30,10.84,10.84,9.95,10.12,310300,5.33
2004-03-31,10.11,10.7,10.11,10.15,164400,5.35
2004-04-01,10.19,11.24,10.19,10.8,394200,5.69
2004-04-02,11.05,11.3,10.9,11.15,249000,5.88
2004-04-05,11.2,12.11,11.15,11.48,98400,6.05
2004-04-06,11.69,12.13,11.53,11.91,115700,6.28
2004-04-07,12.05,12.1,11.86,12.0,75100,6.33
2004-04-08,12.0,12.5,12.0,12.38,79400,6.53
2004-04-12,12.35,12.4,12.1,12.25,41300,6.46
2004-04-13,12.21,12.21,11.97,11.99,57800,6.32
2004-04-14,11.8,12.14,11.74,12.0,30500,6.33
2004-04-15,12.0,12.19,11.87,11.94,9800,6.29
2004-04-16,12.24,12.24,11.61,11.98,62000,6.31
2004-04-19,12.52,12.52,11.6,11.89,15700,6.27
2004-04-20,11.79,12.05,11.79,12.0,74500,6.33
2004-04-21,11.62,12.39,11.6,11.96,37700,6.3
2004-04-22,11.76,12.51,11.76,12.0,53800,6.33
2004-04-23,11.94,11.97,11.66,11.81,12700,6.23
2004-04-26,12.0,13.0,11.97,13.0,62000,6.85
2004-04-27,12.98,13.76,10.63,11.5,594000,6.06
2004-04-28,11.5,12.25,11.5,11.56,116100,6.09
2004-04-29,11.41,11.41,10.57,10.82,174500,5.7
2004-04-30,10.92,10.97,10.42,10.82,73900,5.7
2004-05-03,10.8,10.93,10.36,10.62,59700,5.6
2004-05-04,10.76,10.76,10.3,10.49,58000,5.53
2004-05-05,10.62,10.72,10.28,10.28,99200,5.42
2004-05-06,10.36,10.75,10.22,10.45,69200,5.51
2004-05-07,10.3,10.75,10.3,10.51,18500,5.54
2004-05-10,10.51,10.63,10.48,10.58,397000,5.58
2004-05-11,10.5,11.07,10.5,10.5,42800,5.53
2004-05-12,10.52,10.62,10.45,10.55,40900,5.56
2004-05-13,10.76,10.76,10.45,10.45,11900,5.51
2004-05-14,10.45,10.66,10.3,10.35,167100,5.46
2004-05-17,10.4,10.72,10.3,10.71,29400,5.65
2004-05-18,10.8,10.8,10.38,10.54,26300,5.56
2004-05-19,10.69,11.0,10.42,11.0,15500,5.8
2004-05-20,10.95,11.05,10.3,10.34,75800,5.45
2004-05-21,10.36,10.99,9.0,9.4,264000,4.95
2004-05-24,9.5,9.84,8.73,9.3,230800,4.9
2004-05-25,9.3,9.36,8.7,8.76,268000,4.62
2004-05-26,9.2,9.49,8.8,9.37,238800,4.94
2004-05-27,9.54,10.49,9.32,10.26,151300,5.41
2004-05-28,10.4,10.54,9.88,10.23,41900,5.39
2004-06-01,10.26,10.31,9.3,9.31,71500,4.91
2004-06-02,9.48,9.75,9.12,9.46,33500,4.99
2004-06-03,9.5,9.51,9.29,9.32,38700,4.91
2004-06-04,9.55,9.55,8.78,9.12,90300,4.81
2004-06-07,9.07,9.21,8.6,9.16,56500,4.83
2004-06-08,9.2,9.66,9.2,9.66,32200,5.09
2004-06-09,9.66,9.82,9.45,9.54,78500,5.03
2004-06-10,9.52,9.59,9.37,9.48,76600,5.0
2004-06-14,9.62,10.88,9.5,10.26,191600,5.41
2004-06-15,10.42,10.88,9.96,10.65,74500,5.61
2004-06-16,10.74,11.33,10.58,11.33,63700,5.97
2004-06-17,11.33,11.79,11.01,11.37,116800,5.99
2004-06-18,11.16,11.79,11.16,11.7,33000,6.17
2004-06-21,11.75,11.85,11.39,11.59,50400,6.11
2004-06-22,11.7,11.7,10.67,11.24,24600,5.92
2004-06-23,10.93,11.63,10.45,10.8,64500,5.69
2004-06-24,10.52,11.37,10.36,10.75,36600,5.67
2004-06-25,10.99,11.41,9.94,10.13,765800,5.34
2004-06-28,10.24,10.24,9.15,9.56,135400,5.04
2004-06-29,9.7,9.77,9.2,9.59,104900,5.05
2004-06-30,9.7,9.7,8.6,9.16,238800,4.83
2004-07-01,9.23,9.28,8.79,8.97,154800,4.73
2004-07-02,9.07,9.35,8.8,9.31,76200,4.91
2004-07-06,9.2,9.73,8.85,9.29,51400,4.9
2004-07-07,9.2,9.2,8.78,9.1,38300,4.8
2004-07-08,9.1,9.14,8.16,8.35,121000,4.4
2004-07-09,9.4,9.4,8.13,9.0,91200,4.74
2004-07-12,9.0,9.61,9.0,9.36,72400,4.93
2004-07-13,9.4,9.84,9.4,9.57,30900,5.04
2004-07-14,9.74,9.74,9.37,9.41,58200,4.96
2004-07-15,9.42,9.54,9.4,9.43,36200,4.97
2004-07-16,9.38,9.52,8.55,8.6,154200,4.53
2004-07-19,8.61,8.62,8.11,8.25,62200,4.35
2004-07-20,8.51,8.51,7.45,7.82,98400,4.12
2004-07-21,7.96,8.3,7.84,8.05,516400,4.24
2004-07-22,8.09,8.14,7.85,8.05,180600,4.24
2004-07-23,8.57,8.64,8.29,8.34,218900,4.4
2004-07-26,8.34,8.35,7.77,7.81,118700,4.12
2004-07-27,7.9,8.26,7.84,8.15,116100,4.3
2004-07-28,8.25,8.25,7.57,7.84,141500,4.13
2004-07-29,7.77,7.93,7.7,7.79,348100,4.11
2004-07-30,7.85,7.85,7.65,7.71,353800,4.06
2004-08-02,7.71,8.38,7.66,7.81,242600,4.12
2004-08-03,8.19,8.19,7.6,7.85,588600,4.14
2004-08-04,7.7,8.0,7.36,7.71,258700,4.06
2004-08-05,8.05,8.05,7.36,7.63,214100,4.02
2004-08-06,7.55,7.65,7.16,7.54,129700,3.97
2004-08-09,7.43,7.99,6.6,7.38,238600,3.89
2004-08-10,7.39,7.39,7.11,7.21,262500,3.8
2004-08-11,7.35,7.35,7.0,7.19,160100,3.79
2004-08-12,7.2,7.2,6.9,6.97,270100,3.67
2004-08-13,7.04,7.17,6.8,7.08,99700,3.73
2004-08-16,7.06,7.29,6.94,7.29,41700,3.84
2004-08-17,7.25,7.4,7.19,7.21,44000,3.8
2004-08-18,7.31,7.33,6.93,7.25,168400,3.82
2004-08-19,7.18,7.25,7.07,7.2,62700,3.8
2004-08-20,7.25,7.8,7.25,7.77,107900,4.1
2004-08-23,7.58,7.58,7.31,7.31,16100,3.85
2004-08-24,7.32,7.39,7.3,7.39,15900,3.9
2004-08-25,7.3,7.66,7.27,7.36,62700,3.88
2004-08-26,7.32,7.6,7.3,7.6,21000,4.01
2004-08-27,7.6,7.9,7.6,7.9,41300,4.16
2004-08-30,7.77,7.9,7.65,7.65,12100,4.03
2004-08-31,7.93,8.22,7.65,8.12,70900,4.28
