Date,Open,High,Low,Close,Volume,Adj Close
1996-04-01,13.88,13.88,13.88,13.88,0,6.54
1996-04-02,13.88,13.88,13.88,13.88,0,6.54
1996-04-03,13.88,13.88,13.88,13.88,0,6.54
1996-04-04,13.88,13.88,13.88,13.88,0,6.54
1996-04-08,13.31,13.31,13.31,13.31,2000,6.28
1996-04-09,13.31,13.31,13.31,13.31,0,6.28
1996-04-10,13.5,13.5,13.5,13.5,400,6.37
1996-04-11,13.62,13.62,13.5,13.5,5300,6.37
1996-04-12,13.5,13.5,13.5,13.5,0,6.37
1996-04-15,13.62,13.62,13.62,13.62,200,6.43
1996-04-16,13.5,13.5,13.5,13.5,1200,6.37
1996-04-17,13.38,13.38,13.38,13.38,200,6.31
1996-04-18,13.5,13.56,13.5,13.56,1600,6.4
1996-04-19,13.88,13.88,13.88,13.88,1700,6.54
1996-04-22,14.0,14.0,14.0,14.0,1600,6.6
1996-04-23,14.0,14.0,14.0,14.0,61900,6.6
1996-04-24,13.94,13.94,13.94,13.94,200,6.57
1996-04-25,13.81,13.94,13.81,13.88,22400,6.54
1996-04-26,13.88,13.88,13.88,13.88,0,6.54
1996-04-29,13.94,13.94,13.94,13.94,200,6.57
1996-04-30,13.94,13.94,13.94,13.94,0,6.57
1996-05-01,13.94,13.94,13.94,13.94,0,6.57
1996-05-02,13.88,13.94,13.88,13.88,4200,6.54
1996-05-03,13.88,13.94,13.88,13.94,3900,6.57
1996-05-06,14.06,14.06,14.06,14.06,1500,6.63
1996-05-07,14.0,14.0,14.0,14.0,10900,6.6
1996-05-08,14.0,14.0,14.0,14.0,2400,6.6
1996-05-09,13.88,13.88,13.88,13.88,800,6.54
1996-05-10,13.88,13.88,13.88,13.88,0,6.54
1996-05-13,13.88,13.88,13.81,13.81,20000,6.51
1996-05-14,14.0,14.19,14.0,14.19,13500,6.69
1996-05-15,14.0,14.0,14.0,14.0,5000,6.6
1996-05-16,14.12,14.12,14.12,14.12,300,6.66
1996-05-17,14.25,14.25,14.25,14.25,2500,6.72
1996-05-20,14.25,14.25,14.25,14.25,0,6.72
1996-05-21,14.31,14.31,14.31,14.31,600,6.75
1996-05-22,14.31,14.31,14.31,14.31,15700,6.75
1996-05-23,14.31,14.31,14.25,14.25,3900,6.72
1996-05-24,14.25,14.25,14.25,14.25,2100,6.72
1996-05-28,14.31,14.31,14.31,14.31,2500,6.75
1996-05-29,14.19,14.19,14.19,14.19,1300,6.69
1996-05-30,14.5,14.5,14.38,14.44,1700,6.81
1996-05-31,14.44,14.44,14.44,14.44,0,6.81
1996-06-03,14.44,14.44,14.44,14.44,0,6.81
1996-06-04,14.75,14.75,14.75,14.75,300,6.96
1996-06-05,14.88,14.88,14.88,14.88,6000,7.02
1996-06-06,14.88,14.88,14.88,14.88,0,7.02
1996-06-07,14.69,14.69,14.69,14.69,2000,6.93
1996-06-10,14.5,14.5,14.5,14.5,100,6.84
1996-06-11,15.0,15.0,15.0,15.0,100,7.07
1996-06-12,15.0,15.0,15.0,15.0,0,7.07
1996-06-13,15.0,15.0,15.0,15.0,0,7.07
1996-06-14,15.0,15.0,15.0,15.0,0,7.07
1996-06-17,14.75,14.88,14.75,14.81,8800,6.99
1996-06-18,14.81,14.81,14.81,14.81,0,6.99
1996-06-19,14.88,14.88,14.88,14.88,100,7.02
1996-06-20,14.94,14.94,14.94,14.94,100,7.05
1996-06-21,15.0,15.0,15.0,15.0,200,7.07
1996-06-24,15.12,15.12,14.88,14.88,1500,7.02
1996-06-25,14.88,14.88,14.88,14.88,0,7.02
1996-06-26,14.88,14.88,14.88,14.88,200,7.02
1996-06-27,14.69,14.69,14.69,14.69,3400,6.93
1996-06-28,14.69,14.69,14.69,14.69,0,6.93
1996-07-01,14.69,14.69,14.69,14.69,0,6.93
1996-07-02,14.69,14.69,14.69,14.69,0,6.93
1996-07-03,14.69,14.69,14.69,14.69,0,6.93
1996-07-05,14.75,14.75,14.75,14.75,100,6.96
1996-07-08,14.75,14.75,14.75,14.75,0,6.96
1996-07-09,14.5,14.5,14.5,14.5,16600,6.84
1996-07-10,14.44,14.62,14.38,14.62,34600,6.9
1996-07-11,14.62,14.62,14.62,14.62,0,6.9
1996-07-12,14.62,14.62,14.62,14.62,0,6.9
