Date,Open,High,Low,Close,Volume,Adj Close
1990-03-26,8.25,8.25,8.25,8.25,2000,1.83
1990-03-27,8.5,8.5,8.5,8.5,800,1.89
1990-03-28,8.5,8.5,8.5,8.5,0,1.89
1990-03-29,8.5,8.5,8.5,8.5,0,1.89
1990-03-30,7.75,7.88,7.75,7.88,7400,1.75
1990-04-02,7.75,7.75,7.75,7.75,5600,1.72
1990-04-03,7.75,7.75,7.75,7.75,0,1.72
1990-04-04,7.75,7.75,7.25,7.25,30800,1.61
1990-04-05,7.25,7.25,7.25,7.25,3000,1.61
1990-04-06,7.25,7.25,7.25,7.25,4400,1.61
1990-04-09,7.25,7.25,7.25,7.25,0,1.61
1990-04-10,7.25,7.25,7.25,7.25,0,1.61
1990-04-11,7.25,7.25,7.25,7.25,0,1.61
1990-04-12,7.25,7.25,7.25,7.25,0,1.61
1990-04-16,7.25,7.25,7.25,7.25,0,1.61
1990-04-17,7.38,7.38,7.25,7.38,220800,1.64
1990-04-18,7.25,7.25,7.25,7.25,112400,1.61
1990-04-19,7.25,7.25,7.25,7.25,200,1.61
1990-04-20,7.38,7.5,7.38,7.5,111000,1.67
1990-04-23,7.5,7.5,7.5,7.5,0,1.67
1990-04-24,7.38,7.5,7.25,7.25,247400,1.61
1990-04-25,7.25,7.25,7.25,7.25,0,1.61
1990-04-26,7.38,7.5,7.38,7.5,184400,1.67
1990-04-27,7.5,7.5,7.5,7.5,0,1.67
1990-04-30,7.5,7.5,7.5,7.5,0,1.67
1990-05-01,7.5,7.5,7.5,7.5,31800,1.67
1990-05-02,7.5,7.5,7.5,7.5,0,1.67
1990-05-03,7.5,7.5,7.5,7.5,0,1.67
1990-05-04,7.5,7.5,7.5,7.5,0,1.67
1990-05-07,8.0,8.0,8.0,8.0,200,1.78
1990-05-08,8.0,8.0,8.0,8.0,0,1.78
1990-05-09,7.5,8.0,7.5,8.0,1200,1.78
1990-05-10,7.5,7.5,7.5,7.5,4800,1.67
1990-05-11,7.5,7.5,7.5,7.5,0,1.67
1990-05-14,8.0,8.0,8.0,8.0,7400,1.78
1990-05-15,8.0,8.25,7.75,7.75,34200,1.72
1990-05-16,8.25,8.25,8.25,8.25,3800,1.83
1990-05-17,8.25,8.25,8.0,8.0,8000,1.78
1990-05-18,8.25,8.25,8.25,8.25,2000,1.83
1990-05-21,8.13,8.25,7.75,8.25,61200,1.83
1990-05-22,8.25,8.25,8.0,8.0,35400,1.78
1990-05-23,8.0,8.0,8.0,8.0,0,1.78
1990-05-24,7.75,7.75,7.75,7.75,4400,1.72
1990-05-25,7.75,7.75,7.75,7.75,5400,1.72
1990-05-29,7.88,7.88,7.88,7.88,75000,1.75
1990-05-30,7.88,7.88,7.88,7.88,0,1.75
1990-05-31,7.88,7.88,7.88,7.88,0,1.75
1990-06-01,7.88,7.88,7.88,7.88,0,1.75
1990-06-04,7.75,8.0,7.75,8.0,55200,1.78
1990-06-05,7.75,7.75,7.5,7.5,13800,1.67
1990-06-06,7.75,7.88,7.75,7.75,45000,1.72
1990-06-07,8.0,8.0,7.75,7.75,59400,1.72
1990-06-08,8.0,8.0,7.75,7.88,19800,1.75
1990-06-11,8.0,9.0,8.0,8.75,534600,1.94
1990-06-12,9.25,10.0,9.0,10.0,425600,2.22
1990-06-13,9.5,9.75,9.0,9.0,69600,2.0
1990-06-14,9.25,10.38,9.25,10.0,176600,2.22
1990-06-15,9.5,10.25,9.5,10.0,101600,2.22
1990-06-18,10.25,10.25,9.75,9.75,122400,2.17
1990-06-19,9.75,10.75,9.75,10.75,168200,2.39
1990-06-20,10.75,10.75,10.25,10.75,108000,2.39
1990-06-21,10.25,10.5,9.75,10.25,61200,2.28
1990-06-22,10.0,10.25,9.75,10.0,248400,2.22
1990-06-25,10.25,10.25,9.75,9.75,38600,2.17
1990-06-26,10.25,10.5,9.75,10.25,159600,2.28
1990-06-27,10.0,10.5,10.0,10.25,91800,2.28
1990-06-28,10.25,10.5,10.0,10.0,112800,2.22
1990-06-29,10.5,10.5,10.0,10.25,276600,2.28
1990-07-02,9.87,10.5,9.87,10.5,448400,2.33
1990-07-03,10.75,10.75,10.25,10.5,25400,2.33
1990-07-05,10.25,10.25,9.75,10.0,54800,2.22
