Date,Open,High,Low,Close,Volume,Adj Close
2000-06-23,32.69,32.69,29.62,29.62,79500,29.62
2000-06-26,30.0,30.0,29.38,29.56,57600,29.56
2000-06-27,29.38,30.0,29.25,29.88,41200,29.88
2000-06-28,29.88,34.5,29.62,33.94,193000,33.94
2000-06-29,35.0,36.5,34.0,35.25,198200,35.25
2000-06-30,35.62,39.81,32.75,33.38,484300,33.38
2000-07-03,33.81,34.0,31.75,33.0,52300,33.0
2000-07-05,33.5,38.38,32.12,34.0,159200,34.0
2000-07-06,35.38,39.0,34.02,37.44,76400,37.44
2000-07-07,38.12,40.56,36.12,37.94,189900,37.94
2000-07-10,39.25,41.0,37.38,39.0,175800,39.0
2000-07-11,38.06,42.62,38.03,41.12,219300,41.12
2000-07-12,42.98,46.75,42.0,44.5,325800,44.5
2000-07-13,46.31,50.5,43.5,44.19,199600,44.19
2000-07-14,45.12,45.12,37.62,40.5,141700,40.5
2000-07-17,41.28,42.0,38.5,41.5,88300,41.5
2000-07-18,41.5,43.31,39.12,41.62,77600,41.62
2000-07-19,40.06,42.12,40.0,41.19,24900,41.19
2000-07-20,40.56,42.75,40.5,42.0,34700,42.0
2000-07-21,42.38,42.38,41.06,41.5,29900,41.5
2000-07-24,42.94,48.25,42.88,47.0,120400,47.0
2000-07-25,46.94,48.5,45.62,47.62,89600,47.62
2000-07-26,48.5,50.0,47.5,49.25,145000,49.25
2000-07-27,49.34,49.38,45.0,46.38,101200,46.38
2000-07-28,47.0,47.48,41.0,42.12,115400,42.12
2000-07-31,42.0,42.0,34.38,38.94,95200,38.94
2000-08-01,39.22,40.5,38.38,40.0,110500,40.0
2000-08-02,39.38,42.5,39.38,42.25,87400,42.25
2000-08-03,42.0,42.75,40.5,42.69,44900,42.69
2000-08-04,43.0,47.5,42.5,45.94,129400,45.94
2000-08-07,47.03,47.06,44.0,44.94,92800,44.94
2000-08-08,45.0,46.0,44.12,44.12,44900,44.12
2000-08-09,42.0,42.69,37.75,41.75,56400,41.75
2000-08-10,42.0,42.0,37.88,38.25,125900,38.25
2000-08-11,38.5,41.0,38.25,40.62,67600,40.62
2000-08-14,40.06,40.06,37.62,39.5,27600,39.5
2000-08-15,39.81,39.94,39.0,39.0,34700,39.0
2000-08-16,39.56,39.56,38.69,39.5,53000,39.5
2000-08-17,39.5,42.5,39.25,42.38,37600,42.38
2000-08-18,42.0,44.0,42.0,43.06,22800,43.06
2000-08-21,44.34,45.5,42.69,45.0,42200,45.0
2000-08-22,44.38,45.94,44.38,45.75,25400,45.75
2000-08-23,45.88,45.94,41.25,41.38,298800,41.38
2000-08-24,42.12,43.12,41.38,41.5,65100,41.5
2000-08-25,41.34,43.0,41.31,42.06,157100,42.06
2000-08-28,42.5,45.12,42.5,44.0,31300,44.0
2000-08-29,45.0,45.5,44.0,45.12,82200,45.12
2000-08-30,45.16,45.38,44.94,45.0,56600,45.0
2000-08-31,45.0,45.12,44.88,45.0,134200,45.0
2000-09-01,45.0,45.94,44.88,45.88,214700,45.88
2000-09-05,45.84,47.75,45.75,46.0,147100,46.0
2000-09-06,45.88,45.94,43.0,44.25,271300,44.25
2000-09-07,43.91,46.0,43.58,45.81,48400,45.81
2000-09-08,45.0,45.0,43.5,44.0,114700,44.0
2000-09-11,44.0,44.0,42.0,42.25,236300,42.25
2000-09-12,42.12,42.12,38.27,39.06,64700,39.06
2000-09-13,39.0,39.0,33.75,34.88,217900,34.88
2000-09-14,35.5,35.62,34.0,35.0,128300,35.0
2000-09-15,35.62,38.0,34.88,35.75,191600,35.75
2000-09-18,39.91,39.94,32.56,33.5,192000,33.5
2000-09-19,34.22,34.5,33.0,33.62,113300,33.62
2000-09-20,33.22,33.62,32.75,33.31,107100,33.31
2000-09-21,33.5,33.75,31.5,31.5,93100,31.5
2000-09-22,31.44,33.25,30.88,31.94,120600,31.94
2000-09-25,33.94,35.88,33.25,34.94,202700,34.94
