Date,Open,High,Low,Close,Volume,Adj Close
2010-04-26,16.75,16.75,16.75,16.75,0,14.31
2010-04-27,17.05,17.05,17.05,17.05,200,14.57
2010-04-28,17.05,17.05,17.05,17.05,0,14.57
2010-04-29,17.05,17.05,17.05,17.05,0,14.57
2010-04-30,17.05,17.05,17.05,17.05,0,14.57
2010-05-03,17.05,17.05,17.05,17.05,0,14.57
2010-05-04,17.05,17.05,17.05,17.05,0,14.57
2010-05-05,17.05,17.05,17.05,17.05,0,14.57
2010-05-06,17.05,17.05,17.05,17.05,0,14.57
2010-05-07,15.0,15.04,15.0,15.04,2700,12.85
2010-05-10,15.04,15.04,15.04,15.04,0,12.85
2010-05-11,15.04,15.04,15.04,15.04,0,12.85
2010-05-12,15.3,15.3,15.3,15.3,200,13.07
2010-05-13,15.75,15.75,15.75,15.75,700,13.46
2010-05-14,15.2,15.2,15.2,15.2,2400,12.99
2010-05-17,15.03,15.03,15.03,15.03,900,12.84
2010-05-18,15.03,15.03,15.03,15.03,0,12.84
2010-05-19,15.03,15.03,15.03,15.03,0,12.84
2010-05-20,15.03,15.03,15.03,15.03,0,12.84
2010-05-21,15.03,15.03,15.03,15.03,0,12.84
2010-05-24,15.03,15.03,15.03,15.03,0,12.84
2010-05-25,15.03,15.03,15.03,15.03,0,12.84
2010-05-26,15.03,15.03,15.03,15.03,0,12.84
2010-05-27,14.32,14.32,14.32,14.32,2600,12.23
2010-05-28,14.36,14.37,14.32,14.32,2600,12.23
2010-06-01,14.32,14.32,14.32,14.32,0,12.23
2010-06-02,14.32,14.32,14.32,14.32,0,12.23
2010-06-03,14.32,14.32,14.32,14.32,0,12.23
2010-06-04,14.02,14.03,14.02,14.03,400,11.99
2010-06-07,14.03,14.03,14.03,14.03,0,11.99
2010-06-08,14.03,14.03,14.03,14.03,0,11.99
2010-06-09,14.03,14.03,14.03,14.03,0,11.99
2010-06-10,13.61,13.61,13.6,13.6,1400,11.62
2010-06-11,13.6,13.6,13.6,13.6,0,11.62
2010-06-14,13.6,13.6,13.6,13.6,0,11.62
2010-06-15,13.6,13.6,13.6,13.6,0,11.62
2010-06-16,13.6,13.6,13.6,13.6,0,11.62
2010-06-17,13.87,13.87,13.87,13.87,1000,11.85
2010-06-18,13.87,13.87,13.87,13.87,0,11.85
2010-06-21,13.87,13.87,13.87,13.87,0,11.85
2010-06-22,13.87,13.87,13.87,13.87,0,11.85
2010-06-23,13.87,13.87,13.87,13.87,0,11.85
2010-06-24,13.87,13.87,13.87,13.87,0,11.85
2010-06-25,13.87,13.87,13.87,13.87,0,11.85
2010-06-28,13.87,13.87,13.87,13.87,0,11.85
2010-06-29,13.18,13.18,13.18,13.18,200,11.26
2010-06-30,13.18,13.18,13.18,13.18,0,11.26
2010-07-01,13.18,13.18,13.18,13.18,0,11.26
2010-07-02,13.18,13.18,13.18,13.18,0,11.26
2010-07-06,13.18,13.18,13.18,13.18,0,11.26
2010-07-07,13.18,13.18,13.18,13.18,0,11.26
2010-07-08,13.18,13.18,13.18,13.18,0,11.26
2010-07-09,13.18,13.18,13.18,13.18,0,11.26
2010-07-12,13.18,13.18,13.18,13.18,0,11.26
2010-07-13,13.18,13.18,13.18,13.18,0,11.26
2010-07-14,13.18,13.18,13.18,13.18,0,11.26
2010-07-15,13.18,13.18,13.18,13.18,0,11.26
2010-07-16,13.6,13.6,13.6,13.6,1000,11.62
2010-07-19,13.6,13.6,13.6,13.6,0,11.62
2010-07-20,13.6,13.6,13.6,13.6,0,11.62
2010-07-21,13.6,13.6,13.6,13.6,0,11.62
2010-07-22,14.19,14.19,14.19,14.19,1000,12.12
2010-07-23,14.19,14.19,14.19,14.19,0,12.12
2010-07-26,14.19,14.19,14.19,14.19,0,12.12
