Date,Open,High,Low,Close,Volume,Adj Close
2013-08-08,18.0,19.47,17.72,18.61,6364100,18.61
2013-08-09,18.61,19.0,18.06,18.5,321300,18.5
2013-08-12,18.43,18.61,17.82,18.08,248600,18.08
2013-08-13,17.92,18.17,17.18,17.53,300400,17.53
2013-08-14,17.5,17.59,17.08,17.31,385300,17.31
2013-08-15,17.13,17.22,16.36,16.6,362300,16.6
2013-08-16,16.53,17.27,16.53,16.89,497100,16.89
2013-08-19,16.86,17.2,16.86,17.06,352800,17.06
2013-08-20,17.36,17.55,16.92,17.34,126000,17.34
2013-08-21,17.73,17.88,16.99,17.05,41500,17.05
2013-08-22,17.29,17.38,16.92,17.2,90100,17.2
2013-08-23,17.23,17.43,17.02,17.43,66300,17.43
2013-08-26,17.5,18.33,17.5,17.93,74000,17.93
2013-08-27,17.67,17.8,17.41,17.68,109700,17.68
2013-08-28,17.68,18.29,17.51,18.17,46800,18.17
2013-08-29,18.2,18.5,18.06,18.39,57400,18.39
2013-08-30,18.4,18.48,17.85,18.16,34000,18.16
2013-09-03,18.14,18.14,17.52,17.64,176700,17.64
2013-09-04,17.56,18.01,17.5,17.76,172700,17.76
2013-09-05,17.7,18.0,17.65,17.68,28500,17.68
2013-09-06,17.8,17.95,17.5,17.75,75500,17.75
2013-09-09,17.75,17.95,17.5,17.62,154800,17.62
2013-09-10,17.75,18.06,17.46,17.7,153900,17.7
2013-09-11,17.7,18.4,17.52,18.27,200600,18.27
2013-09-12,18.37,18.9,17.61,18.68,113600,18.68
2013-09-13,18.74,19.0,18.62,18.7,112100,18.7
2013-09-16,18.93,18.96,17.87,18.25,98700,18.25
2013-09-17,18.43,18.47,17.41,17.61,104300,17.61
2013-09-18,17.65,18.57,17.65,18.57,84500,18.57
2013-09-19,18.6,19.64,17.85,18.38,289100,18.38
2013-09-20,18.06,19.0,17.62,18.19,545500,18.19
2013-09-23,18.05,19.12,17.51,19.03,235000,19.03
2013-09-24,18.89,19.17,18.18,19.05,141100,19.05
2013-09-25,19.13,19.4,18.25,19.1,163500,19.1
2013-09-26,19.14,20.54,18.91,19.85,187300,19.85
2013-09-27,19.95,20.75,19.68,19.89,137800,19.89
2013-09-30,19.76,19.8,19.01,19.27,1084700,19.27
2013-10-01,19.17,20.08,19.15,19.64,127200,19.64
2013-10-02,19.49,20.16,19.49,19.68,229700,19.68
2013-10-03,19.71,19.96,18.9,18.98,90500,18.98
2013-10-04,18.96,20.17,18.96,19.53,155600,19.53
2013-10-07,19.34,19.5,18.47,18.58,64300,18.58
2013-10-08,18.65,18.88,17.81,17.85,150900,17.85
2013-10-09,17.85,17.91,17.22,17.39,123300,17.39
2013-10-10,17.6,17.63,17.21,17.31,221600,17.31
2013-10-11,17.27,17.43,17.0,17.25,213200,17.25
2013-10-14,17.18,17.48,16.6,16.96,341800,16.96
2013-10-15,16.95,17.15,16.87,17.02,191800,17.02
2013-10-16,17.11,17.25,16.94,17.12,242400,17.12
