Date,Open,High,Low,Close,Volume,Adj Close
1992-02-25,34.5,35.25,34.5,35.25,17200,4.51
1992-02-26,35.5,35.5,35.5,35.5,600,4.54
1992-02-27,35.5,35.5,35.0,35.0,5200,4.48
1992-02-28,35.75,35.75,35.75,35.75,2500,4.58
1992-03-02,35.25,35.62,35.25,35.5,3100,4.58
1992-03-03,34.5,36.0,34.5,35.5,15600,4.58
1992-03-04,36.5,38.75,36.0,37.5,74000,4.84
1992-03-05,37.5,37.5,37.5,37.5,0,4.84
1992-03-06,36.5,37.0,36.5,36.5,36400,4.71
1992-03-09,36.5,38.5,36.5,38.5,1300,4.97
1992-03-10,38.5,38.5,38.5,38.5,0,4.97
1992-03-11,38.5,38.5,36.0,36.5,13400,4.71
1992-03-12,36.0,36.0,36.0,36.0,1300,4.65
1992-03-13,37.0,37.0,35.0,35.0,24300,4.52
1992-03-16,35.0,35.0,34.5,34.5,3900,4.46
1992-03-17,36.0,36.0,34.5,35.25,57100,4.55
1992-03-18,36.5,37.5,35.0,37.0,1900,4.78
1992-03-19,37.5,37.5,35.5,37.25,12300,4.81
1992-03-20,37.25,37.25,37.25,37.25,0,4.81
1992-03-23,37.25,37.25,37.25,37.25,3900,4.81
1992-03-24,37.25,38.5,37.0,38.5,8600,4.97
1992-03-25,36.0,36.0,36.0,36.0,1300,4.65
1992-03-26,38.0,38.5,37.0,38.5,5500,4.97
1992-03-27,36.0,36.0,36.0,36.0,3600,4.65
1992-03-30,38.5,38.5,37.0,37.0,10900,4.78
1992-03-31,38.5,38.5,37.5,38.5,2500,4.97
1992-04-01,38.0,38.0,36.25,37.0,3900,4.78
1992-04-02,37.0,37.0,37.0,37.0,2500,4.78
1992-04-03,37.12,37.12,36.5,36.5,3000,4.71
1992-04-06,37.0,37.0,35.5,35.5,15500,4.58
1992-04-07,35.62,35.62,35.5,35.5,600,4.58
1992-04-08,37.0,37.0,37.0,37.0,100,4.78
1992-04-09,35.5,35.5,35.5,35.5,600,4.58
1992-04-10,35.5,35.5,35.5,35.5,0,4.58
