Date,Open,High,Low,Close,Volume,Adj Close
1993-11-04,16.75,17.13,16.62,16.62,12665700,2.74
1993-11-05,16.75,16.75,16.38,16.38,1902900,2.7
1993-11-08,16.38,16.5,16.25,16.38,576300,2.7
1993-11-09,16.62,16.75,16.38,16.38,857100,2.7
1993-11-10,16.38,16.62,16.25,16.62,702300,2.74
1993-11-11,16.62,16.62,16.38,16.38,466200,2.7
1993-11-12,16.38,16.5,16.25,16.38,555600,2.7
1993-11-15,16.38,16.5,16.38,16.38,223500,2.7
1993-11-16,16.25,16.25,16.12,16.12,437400,2.66
1993-11-17,16.25,16.25,16.0,16.0,844500,2.64
1993-11-18,16.0,16.0,15.88,15.88,656100,2.61
1993-11-19,15.88,15.88,15.5,15.5,565200,2.55
1993-11-22,15.62,15.62,15.38,15.5,189300,2.55
1993-11-23,15.5,15.62,15.25,15.25,149700,2.51
1993-11-24,15.25,15.25,15.12,15.12,100800,2.49
1993-11-26,15.12,15.38,15.12,15.25,21600,2.51
1993-11-29,16.25,16.5,16.12,16.38,927000,2.7
1993-11-30,16.5,16.62,16.38,16.5,316200,2.72
1993-12-01,16.5,17.25,16.5,17.25,706800,2.84
1993-12-02,17.5,17.5,17.13,17.25,462600,2.84
1993-12-03,17.13,18.13,17.0,18.0,486000,2.96
1993-12-06,18.25,19.0,18.0,18.13,415800,2.99
1993-12-07,18.0,18.0,17.75,17.75,90900,2.92
1993-12-08,17.63,17.87,17.63,17.87,108000,2.94
1993-12-09,18.0,18.13,17.87,18.0,358500,2.96
1993-12-10,17.87,18.0,17.63,17.87,446400,2.94
1993-12-13,17.87,18.0,17.87,17.87,197100,2.94
1993-12-14,18.0,18.0,17.63,17.63,132300,2.9
1993-12-15,17.63,17.75,17.63,17.63,120600,2.9
1993-12-16,17.63,18.0,17.63,17.87,105600,2.94
1993-12-17,17.63,18.13,17.63,18.13,322200,2.99
1993-12-20,18.0,18.5,18.0,18.37,167400,3.03
1993-12-21,18.13,18.25,18.0,18.0,165600,2.96
1993-12-22,18.0,18.0,17.87,17.87,32700,2.94
1993-12-23,18.0,18.5,17.87,18.5,90300,3.05
1993-12-27,18.75,18.87,18.5,18.75,198900,3.09
1993-12-28,18.75,18.87,18.63,18.87,39600,3.11
1993-12-29,18.87,19.0,18.75,18.87,25200,3.11
1993-12-30,18.75,19.38,18.75,19.38,150600,3.19
1993-12-31,19.25,19.5,19.25,19.5,60300,3.21
1994-01-03,19.38,19.5,19.25,19.25,79500,3.17
1994-01-04,19.0,19.12,18.87,19.0,100800,3.13
1994-01-05,18.87,19.12,18.87,18.87,415200,3.11
1994-01-06,19.0,19.12,19.0,19.12,84900,3.15
