Date,Open,High,Low,Close,Volume,Adj Close
2000-06-01,4.0,4.25,3.56,4.13,3200,165.0
2000-06-02,4.13,4.5,3.81,4.0,4000,160.0
2000-06-05,3.88,4.31,3.81,4.25,2100,170.0
2000-06-06,4.06,4.06,3.81,4.0,2600,160.0
2000-06-07,3.94,4.0,3.25,3.38,3000,135.0
2000-06-08,3.44,3.69,3.13,3.25,1900,130.0
2000-06-09,3.38,3.69,3.19,3.38,1700,135.0
2000-06-12,3.56,3.69,3.0,3.25,2600,130.0
2000-06-13,3.41,3.44,3.0,3.0,1200,120.0
2000-06-14,3.19,3.44,2.75,3.06,4100,122.5
2000-06-15,3.06,3.19,2.88,3.13,1600,125.0
2000-06-16,3.03,3.38,2.81,2.81,900,112.5
2000-06-19,3.0,3.44,3.0,3.25,2900,130.0
2000-06-20,3.48,3.69,3.25,3.41,2300,136.25
2000-06-21,3.44,4.0,3.38,4.0,3500,160.0
2000-06-22,3.98,4.0,3.44,3.75,2600,150.0
2000-06-23,3.55,3.88,3.53,3.53,1700,141.25
2000-06-26,3.69,4.0,3.5,3.5,2400,140.0
2000-06-27,3.58,3.69,3.5,3.5,1600,140.0
2000-06-28,3.5,3.72,3.38,3.53,1400,141.25
2000-06-29,3.59,3.69,3.06,3.63,2000,145.0
2000-06-30,3.73,3.75,3.19,3.25,1500,130.0
2000-07-03,3.25,3.5,3.25,3.38,600,135.0
2000-07-05,3.36,3.44,3.0,3.13,2300,125.0
2000-07-06,3.25,3.31,2.75,2.94,3500,117.5
2000-07-07,2.97,3.19,2.94,3.0,5200,120.0
2000-07-10,3.0,3.0,2.75,2.75,10900,110.0
2000-07-11,2.98,3.25,2.88,3.13,7800,125.0
2000-07-12,3.16,3.5,3.13,3.25,4000,130.0
2000-07-13,3.25,3.38,3.03,3.19,3200,127.5
2000-07-14,3.19,3.47,3.0,3.13,15100,125.0
2000-07-17,3.34,3.5,3.06,3.19,7900,127.5
2000-07-18,3.0,3.28,2.88,3.06,8300,122.5
2000-07-19,3.13,3.19,2.81,2.88,6800,115.0
2000-07-20,2.95,3.06,2.78,2.88,9300,115.0
2000-07-21,3.13,3.63,3.0,3.38,22800,135.0
2000-07-24,3.5,4.19,3.38,3.5,11900,140.0
2000-07-25,3.88,4.13,3.56,3.75,57200,150.0
2000-07-26,3.92,4.13,3.75,4.0,15900,160.0
2000-07-27,4.0,4.0,3.5,4.0,3500,160.0
2000-07-28,3.59,3.88,3.44,3.69,3300,147.5
2000-07-31,16.0,16.0,12.25,13.75,1300,137.5
2000-08-01,14.25,19.0,14.19,16.94,19600,169.38
2000-08-02,16.97,17.13,15.56,17.0,7300,170.0
2000-08-03,16.25,18.06,15.75,17.88,7500,178.75
2000-08-04,17.03,17.88,16.5,16.88,13000,168.75
2000-08-07,17.41,17.41,15.75,16.38,9700,163.75
2000-08-08,16.38,16.38,15.38,15.38,13400,153.75
2000-08-09,15.63,15.81,13.75,14.63,8100,146.25
2000-08-10,14.88,14.88,13.69,14.0,2700,140.0
2000-08-11,13.75,14.63,13.63,14.25,7700,142.5
2000-08-14,14.38,14.5,13.0,13.06,4700,130.63
2000-08-15,13.25,13.88,13.0,13.25,3500,132.5
2000-08-16,12.75,13.63,12.75,12.81,6600,128.13
2000-08-17,13.44,13.5,12.56,12.75,13500,127.5
2000-08-18,12.75,13.13,12.63,12.75,2700,127.5
2000-08-21,13.13,13.88,12.88,13.0,22300,130.0
2000-08-22,13.0,14.0,12.94,13.5,3400,135.0
2000-08-23,13.56,15.38,13.5,15.38,4900,153.75
2000-08-24,15.41,15.63,14.94,15.06,9500,150.63
2000-08-25,15.69,17.44,15.5,17.25,16500,172.5
2000-08-28,16.88,18.44,16.81,18.31,24900,183.13
2000-08-29,18.34,19.94,18.13,19.38,23300,193.75
2000-08-30,19.63,19.94,17.88,19.5,40800,195.0
2000-08-31,19.5,19.5,18.5,19.44,17400,194.38
2000-09-01,19.0,19.5,17.88,18.63,10700,186.25
2000-09-05,18.69,19.0,17.5,17.75,8100,177.5
2000-09-06,17.59,17.69,15.69,16.13,19000,161.25
2000-09-07,15.75,17.13,15.75,16.94,9200,169.38
2000-09-08,17.0,17.0,16.0,16.13,7700,161.25
