Date,Open,High,Low,Close,Volume,Adj Close
1994-12-20,27.5,27.62,27.37,27.5,333500,13.69
1994-12-21,27.5,27.5,27.25,27.37,106100,13.63
1994-12-22,27.12,27.25,25.25,26.87,65400,13.38
1994-12-23,27.0,27.5,27.0,27.5,34900,13.69
1994-12-27,27.25,27.25,26.75,27.0,3300,13.44
1994-12-28,27.0,27.0,26.0,26.0,22400,12.94
1994-12-29,25.87,27.0,25.87,26.75,57300,13.32
1994-12-30,26.5,26.5,26.5,26.5,4500,13.19
1995-01-03,27.25,27.25,27.0,27.0,5100,13.44
1995-01-04,26.5,26.5,26.0,26.5,41200,13.19
1995-01-05,27.0,27.25,27.0,27.0,2400,13.44
1995-01-06,26.75,26.75,26.0,26.0,23300,12.94
1995-01-09,25.87,25.87,25.12,25.12,19400,12.51
1995-01-10,25.0,25.0,22.0,22.25,33200,11.08
1995-01-11,21.5,21.75,20.75,21.75,35300,10.83
1995-01-12,23.0,24.0,22.75,24.0,24800,11.95
1995-01-13,24.5,24.5,23.0,23.75,14700,11.82
1995-01-16,23.5,23.5,23.5,23.5,200,11.7
1995-01-17,23.75,24.25,23.75,24.25,3500,12.07
1995-01-18,24.0,24.0,23.37,23.37,20700,11.64
1995-01-19,23.0,23.0,22.5,22.5,4400,11.2
1995-01-20,20.75,21.5,20.5,21.12,68200,10.52
1995-01-23,21.5,21.5,21.5,21.5,200,10.7
1995-01-24,21.75,21.75,21.75,21.75,500,10.83
1995-01-25,21.5,21.5,21.0,21.37,1900,10.64
1995-01-26,21.62,21.62,21.0,21.37,3200,10.64
1995-01-27,21.5,21.75,21.5,21.75,900,10.83
1995-01-30,21.0,21.0,20.75,21.0,900,10.46
1995-01-31,21.5,22.0,21.5,22.0,1300,10.95
1995-02-01,22.0,22.0,22.0,22.0,1100,10.95
1995-02-02,21.5,21.5,21.5,21.5,1200,10.7
1995-02-03,21.5,21.5,21.5,21.5,2700,10.7
1995-02-06,21.75,21.75,21.75,21.75,200,10.83
1995-02-07,21.25,21.25,21.12,21.12,26500,10.52
1995-02-08,21.12,21.12,21.0,21.0,5800,10.46
1995-02-09,21.0,21.0,20.5,20.62,4800,10.27
1995-02-10,20.87,20.87,20.75,20.75,1500,10.33
1995-02-13,20.87,20.87,20.25,20.5,2300,10.21
1995-02-14,20.12,20.12,19.87,19.87,31700,9.9
1995-02-15,19.87,19.87,18.25,18.25,16100,9.09
1995-02-16,18.5,18.5,17.12,18.12,6900,9.02
1995-02-17,18.62,19.87,18.62,19.87,30100,9.9
1995-02-21,19.87,19.87,19.87,19.87,0,9.9
1995-02-22,19.62,19.62,18.5,19.0,7800,9.46
1995-02-23,19.0,19.0,18.87,19.0,36500,9.46
1995-02-24,18.75,19.12,18.75,19.12,2200,9.52
1995-02-27,19.25,19.37,19.12,19.12,212200,9.52
1995-02-28,19.25,19.25,19.25,19.25,1900,9.58
1995-03-01,19.0,19.0,19.0,19.0,5700,9.46
1995-03-02,18.75,18.75,17.5,17.5,50200,8.71
1995-03-03,17.25,17.25,16.0,16.5,241700,8.21
1995-03-06,17.25,17.25,16.87,17.0,67400,8.46
1995-03-07,16.75,16.75,16.25,16.25,41000,8.09
1995-03-08,16.25,16.25,15.0,15.0,71900,7.47
1995-03-09,15.0,15.5,14.87,15.37,26900,7.65
1995-03-10,15.62,16.5,15.5,16.0,139100,7.97
1995-03-13,16.25,16.37,16.0,16.37,34100,8.15
1995-03-14,17.0,19.12,17.0,19.12,210300,9.52
1995-03-15,19.12,19.12,18.37,18.75,19200,9.34
1995-03-16,18.87,18.87,18.75,18.75,26100,9.34
1995-03-17,18.62,18.75,18.5,18.62,18700,9.27
1995-03-20,18.87,18.87,18.62,18.62,107200,9.27
1995-03-21,18.62,18.62,18.62,18.62,500,9.27
1995-03-22,18.75,18.75,18.75,18.75,200,9.34
1995-03-23,18.5,18.5,18.37,18.37,1100,9.15
1995-03-24,18.25,18.5,18.25,18.5,5900,9.21
1995-03-27,18.5,19.25,18.5,19.25,37700,9.58
1995-03-28,19.37,19.5,19.25,19.25,35900,9.58
1995-03-29,19.25,19.25,19.25,19.25,0,9.58
1995-03-30,19.5,19.5,19.25,19.5,23700,9.71
1995-03-31,19.5,19.5,19.0,19.0,10900,9.46
1995-04-03,19.0,19.0,19.0,19.0,0,9.46
1995-04-04,19.0,19.0,19.0,19.0,0,9.46
1995-04-05,18.75,18.87,18.75,18.75,13100,9.34
1995-04-06,18.75,18.75,18.5,18.5,800,9.21
1995-04-07,18.5,18.5,18.5,18.5,0,9.21
1995-04-10,18.62,18.62,18.25,18.25,1900,9.09
1995-04-11,18.25,18.25,17.75,17.75,1200,8.84
1995-04-12,17.75,17.75,17.75,17.75,0,8.84
1995-04-13,17.87,17.87,17.87,17.87,4400,8.9
1995-04-17,17.87,17.87,17.87,17.87,0,8.9
1995-04-18,17.75,17.75,17.75,17.75,700,8.84
1995-04-19,17.62,17.62,17.5,17.5,9600,8.71
1995-04-20,17.75,18.0,17.5,17.5,26500,8.71
1995-04-21,17.62,19.0,17.62,19.0,6900,9.46
1995-04-24,19.12,19.37,19.12,19.37,6900,9.65
1995-04-25,19.37,20.75,19.37,20.5,77900,10.21
1995-04-26,21.37,23.75,21.37,23.75,52900,11.82
1995-04-27,24.0,24.0,23.5,23.62,35000,11.76
1995-04-28,23.62,23.62,23.5,23.5,8000,11.7
1995-05-01,23.62,23.62,23.37,23.37,12300,11.64
1995-05-02,23.12,23.12,22.75,22.75,18700,11.33
1995-05-03,22.87,23.0,22.87,22.87,15300,11.39
1995-05-04,22.75,22.75,22.75,22.75,2500,11.33
1995-05-05,22.87,22.87,22.75,22.75,3800,11.33
1995-05-08,22.75,22.75,22.75,22.75,0,11.33
1995-05-09,22.87,22.87,22.87,22.87,1100,11.39
1995-05-10,23.0,23.0,23.0,23.0,6300,11.45
1995-05-11,23.0,23.25,23.0,23.25,20500,11.58
1995-05-12,23.25,23.37,23.25,23.37,37000,11.64
1995-05-15,24.25,24.62,24.25,24.25,28500,12.07
1995-05-16,24.25,24.25,23.62,23.73,50400,11.82
1995-05-17,23.62,24.12,23.62,23.75,10700,11.82
1995-05-18,24.0,24.75,24.0,24.37,44600,12.14
1995-05-19,24.37,24.5,24.37,24.5,11900,12.2
1995-05-22,24.62,24.62,24.37,24.5,21300,12.2
1995-05-23,24.25,24.25,24.12,24.12,13500,12.01
1995-05-24,24.37,24.87,24.37,24.62,12300,12.26
1995-05-25,24.62,24.62,24.5,24.62,1400,12.26
