Date,Open,High,Low,Close,Volume,Adj Close
1994-05-04,14.25,16.37,13.75,16.25,5510800,6.08
1994-05-05,16.37,16.37,15.75,15.88,545500,5.94
1994-05-06,15.63,15.88,15.0,15.0,872100,5.61
1994-05-09,14.88,15.13,13.37,13.37,739500,5.0
1994-05-10,13.37,13.75,13.37,13.37,334200,5.0
1994-05-11,13.37,13.88,13.37,13.5,111700,5.05
1994-05-12,13.5,13.63,13.5,13.5,295200,5.05
1994-05-13,13.5,13.75,13.0,13.25,371500,4.96
1994-05-16,13.25,13.5,13.0,13.0,175800,4.86
1994-05-17,13.0,13.5,13.0,13.5,100600,5.05
1994-05-18,13.25,13.5,13.12,13.37,107500,5.0
1994-05-19,13.5,13.5,13.0,13.5,54300,5.05
1994-05-20,13.25,13.69,13.25,13.5,152400,5.05
1994-05-23,13.88,14.13,13.63,14.13,86800,5.29
1994-05-24,14.38,14.38,14.0,14.13,43600,5.29
1994-05-25,14.0,14.38,14.0,14.25,59500,5.33
1994-05-26,14.25,14.75,14.25,14.75,152100,5.52
1994-05-27,14.63,15.0,14.5,15.0,99400,5.61
1994-05-31,15.0,15.5,14.63,15.25,66100,5.71
1994-06-01,15.75,16.5,15.63,15.88,267400,5.94
1994-06-02,15.88,15.88,15.13,15.13,88600,5.66
1994-06-03,15.5,15.5,15.25,15.5,40300,5.8
1994-06-06,15.25,15.5,15.25,15.25,93400,5.71
1994-06-07,15.25,15.63,15.25,15.25,169800,5.71
1994-06-08,15.25,15.5,15.25,15.5,33600,5.8
1994-06-09,15.38,15.38,14.81,14.81,75600,5.54
1994-06-10,15.0,15.0,14.0,14.25,121900,5.33
1994-06-13,14.25,14.25,14.0,14.0,40800,5.24
1994-06-14,14.13,14.38,14.13,14.38,56100,5.38
1994-06-15,14.25,14.38,13.88,14.38,33000,5.38
1994-06-16,14.38,14.81,14.38,14.5,59200,5.43
1994-06-17,14.5,14.75,14.5,14.75,9400,5.52
1994-06-20,14.5,14.63,14.13,14.13,74500,5.29
1994-06-21,14.25,14.25,14.25,14.25,8200,5.33
1994-06-22,14.38,14.38,14.38,14.38,2200,5.38
1994-06-23,14.5,14.5,14.0,14.0,25800,5.24
1994-06-24,14.0,14.0,13.5,13.75,150000,5.14
1994-06-27,13.5,13.5,13.5,13.5,25500,5.05
1994-06-28,13.25,13.25,13.25,13.25,2200,4.96
1994-06-29,13.25,13.25,13.0,13.12,48000,4.91
1994-06-30,12.87,13.0,12.5,12.5,38200,4.68
1994-07-01,12.5,12.5,12.12,12.12,13800,4.54
1994-07-05,12.12,12.12,12.12,12.12,0,4.54
1994-07-06,12.5,12.5,11.12,11.12,125800,4.16
1994-07-07,10.75,11.0,10.0,10.38,170100,3.88
1994-07-08,10.0,10.5,10.0,10.38,174600,3.88
1994-07-11,10.25,10.38,10.13,10.25,39100,3.84
1994-07-12,10.13,10.13,10.13,10.13,11800,3.79
1994-07-13,10.5,10.63,10.31,10.63,44200,3.98
1994-07-14,10.25,11.62,10.25,11.25,125400,4.21
1994-07-15,11.87,12.5,11.62,11.62,82200,4.35
1994-07-18,11.87,11.87,11.87,11.87,2200,4.44
1994-07-19,10.88,11.12,10.75,11.12,39400,4.16
1994-07-20,10.5,10.84,10.5,10.5,143700,3.93
1994-07-21,10.63,10.63,10.5,10.63,68500,3.98
1994-07-22,11.12,11.12,10.5,10.56,73900,3.95
1994-07-25,10.75,10.75,10.5,10.63,236100,3.98
1994-07-26,10.63,10.75,10.63,10.75,159300,4.02
1994-07-27,10.75,10.75,10.75,10.75,4200,4.02
1994-07-28,10.88,10.88,10.88,10.88,29100,4.07
1994-07-29,10.75,10.88,10.63,10.63,69300,3.98
1994-08-01,10.88,10.88,10.5,10.63,15900,3.98
1994-08-02,10.63,10.63,10.0,10.5,87400,3.93
1994-08-03,10.25,10.25,10.25,10.25,100,3.84
1994-08-04,10.5,10.5,9.88,9.88,25800,3.69
1994-08-05,10.0,10.25,9.88,9.88,63100,3.69
1994-08-08,10.0,10.0,9.75,9.75,15400,3.65
1994-08-09,9.88,10.0,9.75,9.75,54900,3.65
1994-08-10,10.0,10.13,9.75,10.0,170200,3.74
1994-08-11,9.75,9.75,9.75,9.75,1000,3.65
1994-08-12,9.75,9.75,9.75,9.75,400,3.65
1994-08-15,9.75,10.0,9.75,10.0,498400,3.74
1994-08-16,10.0,10.0,10.0,10.0,0,3.74
1994-08-17,9.75,9.75,9.75,9.75,100,3.65
1994-08-18,9.75,9.75,9.75,9.75,0,3.65
1994-08-19,9.75,9.75,9.75,9.75,400,3.65
1994-08-22,9.75,9.75,9.25,9.38,618100,3.51
1994-08-23,9.5,9.5,9.25,9.25,4500,3.46
1994-08-24,9.25,10.0,9.25,9.75,73900,3.65
1994-08-25,10.0,11.0,10.0,10.75,181800,4.02
1994-08-26,11.25,12.0,11.25,11.5,202800,4.3
1994-08-29,11.37,11.5,10.75,10.75,137500,4.02
1994-08-30,12.0,13.0,11.62,13.0,313900,4.86
1994-08-31,12.87,13.25,12.75,13.12,279000,4.91
1994-09-01,12.75,13.25,12.75,12.87,82000,4.82
1994-09-02,12.5,13.25,12.5,12.75,63600,4.77
1994-09-06,13.25,13.25,12.5,13.25,87000,4.96
1994-09-07,12.5,12.5,12.37,12.37,71500,4.63
1994-09-08,11.75,11.75,10.5,11.5,95200,4.3
1994-09-09,11.75,11.75,10.88,11.0,273700,4.12
1994-09-12,11.0,11.0,11.0,11.0,0,4.12
1994-09-13,11.5,11.5,11.5,11.5,1000,4.3
1994-09-14,11.25,12.25,11.0,12.06,1004800,4.51
1994-09-15,11.81,12.75,11.81,12.37,127600,4.63
1994-09-16,12.75,12.75,12.0,12.75,88500,4.77
1994-09-19,12.75,12.75,12.37,12.75,33900,4.77
1994-09-20,12.5,12.75,12.25,12.25,19500,4.58
1994-09-21,12.25,12.62,12.25,12.25,121500,4.58
1994-09-22,12.25,13.12,12.25,12.5,96600,4.68
1994-09-23,13.25,13.25,13.25,13.25,1300,4.96
1994-09-26,13.25,13.25,12.87,13.12,199900,4.91
1994-09-27,13.25,13.5,12.75,13.5,118200,5.05
1994-09-28,13.5,13.75,13.25,13.25,565900,4.96
1994-09-29,13.44,13.5,13.25,13.25,314100,4.96
1994-09-30,13.25,13.75,13.25,13.25,86800,4.96
1994-10-03,13.25,13.25,13.25,13.25,2200,4.96
1994-10-04,13.25,13.5,13.0,13.25,162000,4.96
1994-10-05,13.25,13.25,12.75,12.75,27700,4.77
1994-10-06,13.5,13.5,12.75,12.75,32700,4.77
1994-10-07,12.5,13.25,12.0,12.25,76000,4.58
1994-10-10,11.75,12.25,11.75,11.87,15000,4.44
1994-10-11,11.87,12.25,11.75,12.0,33400,4.49
1994-10-12,12.0,12.0,10.5,10.5,140700,3.93
1994-10-13,10.5,11.0,10.5,11.0,101800,4.12
1994-10-14,11.0,11.0,10.0,10.63,39000,3.98
1994-10-17,10.75,10.75,10.75,10.75,4600,4.02
1994-10-18,10.75,11.0,10.5,10.75,176800,4.02
1994-10-19,11.25,11.25,11.0,11.0,32200,4.12
1994-10-20,11.25,11.25,10.75,10.75,32200,4.02
1994-10-21,10.88,10.88,10.25,10.25,39900,3.84
1994-10-24,10.25,10.63,10.0,10.38,464700,3.88
1994-10-25,10.5,10.5,10.5,10.5,2200,3.93
1994-10-26,10.5,10.5,10.5,10.5,0,3.93
1994-10-27,10.0,10.75,10.0,10.0,14100,3.74
1994-10-28,10.75,10.75,10.0,10.75,112200,4.02
1994-10-31,10.25,10.75,10.25,10.25,58000,3.84
1994-11-01,10.25,10.38,10.25,10.25,776500,3.84
1994-11-02,9.63,9.63,9.63,9.63,231600,3.6
1994-11-03,10.25,10.75,9.63,10.25,313600,3.84
1994-11-04,10.0,10.25,10.0,10.0,5700,3.74
1994-11-07,10.0,10.0,8.25,8.25,68800,3.09
1994-11-08,8.0,9.25,8.0,9.25,46000,3.46
1994-11-09,9.25,9.25,9.0,9.0,10200,3.37
1994-11-10,9.25,9.25,8.88,8.94,63300,3.34
1994-11-11,9.0,9.25,8.94,8.94,10000,3.34
1994-11-14,8.75,9.0,8.69,8.69,1186200,3.25
1994-11-15,8.88,9.0,8.75,8.88,72100,3.32
1994-11-16,8.75,8.75,8.5,8.5,9300,3.18
1994-11-17,8.5,9.0,8.5,8.75,179400,3.27
1994-11-18,8.75,8.75,8.75,8.75,5800,3.27
1994-11-21,8.75,8.75,8.75,8.75,0,3.27
1994-11-22,8.5,8.75,8.5,8.75,48000,3.27
1994-11-23,8.69,8.69,8.5,8.63,63300,3.23
1994-11-25,8.63,8.63,8.63,8.63,0,3.23
1994-11-28,8.75,9.0,8.5,8.5,15400,3.18
1994-11-29,8.81,9.25,8.81,9.0,12300,3.37
1994-11-30,9.0,9.25,8.75,9.25,58300,3.46
1994-12-01,8.75,8.75,8.75,8.75,9000,3.27
