Date,Open,High,Low,Close,Volume,Adj Close
1992-03-17,10.5,10.5,10.38,10.5,61200,4.73
1992-03-18,10.5,10.5,10.25,10.38,24800,4.67
1992-03-19,10.38,10.38,10.12,10.12,20000,4.56
1992-03-20,10.25,10.25,10.0,10.0,48800,4.51
1992-03-23,10.0,10.25,10.0,10.12,67000,4.56
1992-03-24,10.12,10.12,10.12,10.12,20400,4.56
1992-03-25,10.0,10.5,9.75,10.5,87800,4.73
1992-03-26,10.62,10.62,10.25,10.25,14000,4.62
1992-03-27,10.12,10.12,9.88,9.88,64200,4.45
1992-03-30,10.0,10.0,9.88,9.88,1200,4.45
1992-03-31,10.0,10.25,10.0,10.25,10000,4.62
1992-04-01,10.12,10.12,10.12,10.12,1000,4.56
1992-04-02,10.0,10.38,10.0,10.38,11000,4.67
1992-04-03,10.62,10.75,10.25,10.25,44600,4.62
1992-04-06,10.5,10.5,10.38,10.38,12600,4.67
1992-04-07,10.25,10.25,10.0,10.0,19800,4.51
1992-04-08,10.12,10.12,9.88,9.88,30000,4.45
1992-04-09,10.0,10.0,9.75,10.0,25600,4.51
1992-04-10,10.0,10.0,9.88,10.0,7600,4.51
1992-04-13,9.75,9.75,9.5,9.5,141600,4.28
1992-04-14,9.5,9.88,9.5,9.88,50000,4.45
1992-04-15,9.88,9.88,9.75,9.88,60800,4.45
1992-04-16,10.0,10.0,9.88,9.88,1400,4.45
1992-04-20,9.88,9.88,9.75,9.75,2800,4.39
1992-04-21,9.75,9.75,9.75,9.75,39600,4.39
1992-04-22,9.88,10.0,9.62,10.0,27400,4.51
1992-04-23,9.75,9.75,9.75,9.75,4000,4.39
1992-04-24,9.88,9.88,9.75,9.75,5800,4.39
1992-04-27,10.0,10.0,10.0,10.0,2400,4.51
1992-04-28,10.0,10.12,10.0,10.0,6200,4.51
1992-04-29,10.0,10.12,10.0,10.12,1400,4.56
1992-04-30,10.25,10.38,10.12,10.38,3600,4.67
1992-05-01,10.25,10.5,10.25,10.5,12400,4.73
1992-05-04,10.25,10.25,10.12,10.12,10400,4.56
1992-05-05,10.12,10.25,10.12,10.25,3800,4.62
1992-05-06,10.38,10.38,10.25,10.25,2000,4.62
