Date,Open,High,Low,Close,Volume,Adj Close
2013-05-31,9.71,10.25,9.6,10.1,3179800,10.09
2013-06-03,10.34,10.54,10.19,10.54,502800,10.53
2013-06-04,10.55,10.55,10.11,10.21,184700,10.2
2013-06-05,10.12,10.12,9.7,9.92,278500,9.91
2013-06-06,10.03,10.03,9.75,9.82,160600,9.81
2013-06-07,9.84,10.1,9.84,10.1,115900,10.09
2013-06-10,10.07,10.35,10.07,10.35,33000,10.34
2013-06-11,10.25,10.49,10.11,10.29,66200,10.28
2013-06-12,10.27,10.54,10.19,10.54,35900,10.53
2013-06-13,10.54,10.54,10.54,10.54,4500,10.54
2013-06-14,10.77,10.99,10.65,10.8,71400,10.8
2013-06-17,11.06,11.1,10.91,10.98,73500,10.98
2013-06-18,10.89,11.14,10.65,10.91,26100,10.91
2013-06-19,10.8,10.95,10.65,10.67,25000,10.67
2013-06-20,10.7,10.7,10.33,10.46,62100,10.46
2013-06-21,10.44,10.77,10.44,10.77,7000,10.77
2013-06-24,10.59,10.63,10.33,10.5,52300,10.5
2013-06-25,10.83,10.97,10.7,10.71,99200,10.71
2013-06-26,10.93,10.99,10.72,10.82,69200,10.82
2013-06-27,11.4,11.4,11.02,11.05,63000,11.05
2013-06-28,11.0,11.41,11.0,11.16,26900,11.16
2013-07-01,11.6,12.0,11.56,11.83,76000,11.83
2013-07-02,11.75,11.98,11.62,11.84,28000,11.84
2013-07-03,11.62,11.85,11.55,11.7,56500,11.7
2013-07-05,12.01,12.27,11.9,12.19,75700,12.19
2013-07-08,12.3,12.99,12.3,12.59,36900,12.59
2013-07-09,12.61,12.91,12.4,12.53,15400,12.53
2013-07-10,12.79,12.79,12.22,12.34,32500,12.34
2013-07-11,12.45,12.97,12.12,12.12,24700,12.12
2013-07-12,12.13,12.44,12.08,12.23,31400,12.23
2013-07-15,12.3,12.62,12.28,12.29,29100,12.29
2013-07-16,12.3,12.75,12.3,12.61,8800,12.61
2013-07-17,12.54,13.57,12.31,13.1,345100,13.1
2013-07-18,13.07,13.08,12.71,12.9,132500,12.9
2013-07-19,13.07,13.49,12.95,13.05,30000,13.05
2013-07-22,12.8,12.95,12.63,12.84,77300,12.84
2013-07-23,12.86,13.0,12.76,12.9,119500,12.9
2013-07-24,12.74,12.98,12.37,12.55,75100,12.55
2013-07-25,12.56,12.66,12.32,12.59,18800,12.59
2013-07-26,12.54,12.9,12.52,12.68,18300,12.68
2013-07-29,12.72,12.99,12.53,12.65,17800,12.65
2013-07-30,12.51,12.63,12.41,12.41,22200,12.41
2013-07-31,12.39,12.75,12.39,12.63,72600,12.63
2013-08-01,12.86,12.88,12.66,12.84,17900,12.84
2013-08-02,12.9,12.99,12.8,12.96,17600,12.96
2013-08-05,13.29,13.91,13.26,13.5,49800,13.5
2013-08-06,13.47,13.68,13.23,13.61,33400,13.61
2013-08-07,13.62,13.67,13.21,13.53,26000,13.53
2013-08-08,13.25,13.38,12.97,13.3,23600,13.3
2013-08-09,13.36,13.46,13.09,13.23,48500,13.23
2013-08-12,13.05,13.05,12.8,12.9,22300,12.9
2013-08-13,13.09,13.35,13.09,13.26,15600,13.26
2013-08-14,13.2,13.46,13.18,13.46,28100,13.46
2013-08-15,13.31,13.31,12.94,13.05,26000,13.05
2013-08-16,13.05,13.06,12.86,12.94,18800,12.94
2013-08-19,13.36,13.65,13.05,13.27,166300,13.27
2013-08-20,13.37,13.67,13.2,13.37,82000,13.37
2013-08-21,13.5,13.5,13.1,13.3,75000,13.3
2013-08-22,13.3,13.59,13.16,13.59,49700,13.59
2013-08-23,13.58,13.69,13.29,13.29,13500,13.29
2013-08-26,13.25,13.67,13.05,13.47,49700,13.47
2013-08-27,12.9,12.9,12.25,12.48,119200,12.48
2013-08-28,12.29,12.75,12.29,12.61,46000,12.61
2013-08-29,12.91,13.24,12.88,13.0,5900,13.0
2013-08-30,12.95,12.95,12.68,12.75,8700,12.75
2013-09-03,12.85,13.08,12.56,12.56,27200,12.56
2013-09-04,12.52,13.0,12.42,12.59,22400,12.59
2013-09-05,12.64,12.68,12.59,12.59,19500,12.59
2013-09-06,12.55,12.76,12.55,12.72,15500,12.72
2013-09-09,12.78,12.91,12.51,12.65,47800,12.65
2013-09-10,12.92,13.04,12.82,12.9,38700,12.9
2013-09-11,13.56,13.88,13.31,13.66,140200,13.66
2013-09-12,13.88,13.94,13.4,13.45,15100,13.45
2013-09-13,13.5,13.65,13.39,13.63,28600,13.63
2013-09-16,14.03,14.34,13.86,14.21,81400,14.21
2013-09-17,14.43,14.55,14.01,14.32,70200,14.32
2013-09-18,14.42,14.43,14.01,14.23,28600,14.23
2013-09-19,14.39,14.75,14.39,14.49,18700,14.49
2013-09-20,14.36,14.66,14.27,14.49,31500,14.49
2013-09-23,14.79,14.79,14.31,14.38,15400,14.38
2013-09-24,14.62,15.39,14.56,15.25,19800,15.25
2013-09-25,15.21,15.46,15.05,15.23,12700,15.23
2013-09-26,15.05,15.24,15.05,15.23,15000,15.23
2013-09-27,15.44,15.48,15.11,15.3,92500,15.3
