Date,Open,High,Low,Close,Volume,Adj Close
2012-10-16,23.66,25.2,21.65,22.5,100200,22.5
2012-10-17,22.9,24.79,22.6,23.41,54100,23.41
2012-10-18,24.02,24.02,23.0,23.87,34700,23.87
2012-10-19,23.74,24.0,23.02,23.3,77600,23.3
2012-10-22,23.04,23.98,21.23,22.95,76000,22.95
2012-10-23,22.0,24.37,22.0,23.37,34800,23.37
2012-10-24,24.41,24.41,23.14,23.93,5000,23.93
2012-10-25,24.47,24.47,22.74,24.0,15600,24.0
2012-10-26,23.89,25.3,23.0,24.05,42800,24.05
2012-10-31,24.89,24.89,21.98,21.98,19800,21.98
2012-11-01,21.98,23.1,21.5,22.21,34100,22.21
2012-11-02,21.97,22.88,21.81,22.11,48100,22.11
2012-11-05,23.09,23.94,21.98,23.94,27600,23.94
2012-11-06,24.0,24.0,22.39,23.1,29200,23.1
2012-11-07,23.25,23.79,22.52,22.71,10200,22.71
2012-11-08,22.41,22.85,20.67,21.15,36900,21.15
2012-11-09,21.74,21.97,21.48,21.97,3600,21.97
2012-11-12,21.29,23.82,21.0,23.4,40100,23.4
2012-11-13,23.2,25.24,22.43,24.77,18700,24.77
2012-11-14,24.75,25.49,23.45,25.14,61100,25.14
2012-11-15,25.1,26.0,24.82,25.88,79900,25.88
2012-11-16,26.7,28.34,24.95,25.64,144000,25.64
2012-11-19,25.67,27.82,24.26,24.49,18800,24.49
2012-11-20,24.11,25.25,23.51,24.09,22200,24.09
2012-11-21,25.9,25.9,23.57,24.77,800,24.77
2012-11-23,24.06,24.98,24.0,24.01,23200,24.01
2012-11-26,24.71,25.45,23.78,23.78,8400,23.78
2012-11-27,23.95,25.27,23.75,24.14,4700,24.14
2012-11-28,24.13,24.43,23.57,23.73,19800,23.73
2012-11-29,23.92,24.07,23.56,23.7,5600,23.7
2012-11-30,23.55,24.47,23.55,24.47,25000,24.47
2012-12-03,24.76,25.46,23.81,24.37,42000,24.37
2012-12-04,24.53,26.8,24.04,25.85,23400,25.85
2012-12-05,25.89,26.41,25.13,26.41,11200,26.41
2012-12-06,26.3,26.6,25.31,25.5,11500,25.5
2012-12-07,25.5,26.5,24.94,25.5,6500,25.5
2012-12-10,25.6,25.6,25.5,25.5,2800,25.5
2012-12-11,25.5,25.88,25.0,25.88,4900,25.88
