Date,Open,High,Low,Close,Volume,Adj Close
1990-03-26,12.75,12.75,12.75,12.75,100,3.46
1990-03-27,12.25,12.75,12.25,12.75,3600,3.46
1990-03-28,12.75,12.75,12.25,12.75,1300,3.46
1990-03-29,12.75,12.87,12.25,12.5,31900,3.39
1990-03-30,12.5,13.0,12.5,12.5,14100,3.39
1990-04-02,12.5,12.5,12.5,12.5,100,3.39
1990-04-03,12.5,12.87,12.5,12.5,18400,3.39
1990-04-04,13.0,13.0,12.5,12.5,12700,3.39
1990-04-05,12.5,12.5,12.5,12.5,3300,3.39
1990-04-06,12.5,12.87,12.5,12.75,17500,3.46
1990-04-09,13.0,13.0,12.5,12.5,1300,3.39
1990-04-10,13.0,13.0,12.5,13.0,1500,3.53
1990-04-11,12.5,12.5,12.5,12.5,3600,3.39
1990-04-12,13.0,13.0,12.5,13.0,77500,3.53
1990-04-16,13.25,13.25,12.5,12.5,1500,3.39
1990-04-17,12.5,12.5,12.5,12.5,1500,3.39
1990-04-18,12.5,12.5,12.5,12.5,4000,3.39
1990-04-19,12.5,12.5,12.5,12.5,10300,3.39
1990-04-20,12.75,12.75,12.5,12.5,3300,3.39
1990-04-23,12.5,13.0,12.5,13.0,5500,3.53
1990-04-24,13.25,13.25,12.5,12.5,9400,3.39
1990-04-25,12.5,12.5,12.5,12.5,900,3.39
1990-04-26,12.62,13.25,12.5,12.5,55900,3.39
1990-04-27,13.0,13.0,12.5,12.5,1900,3.39
1990-04-30,12.62,12.62,12.5,12.5,21700,3.39
1990-05-01,13.0,13.0,12.25,12.75,25800,3.46
1990-05-02,11.88,12.75,11.88,12.75,187800,3.46
1990-05-03,12.0,12.0,12.0,12.0,600,3.26
1990-05-04,12.0,12.0,12.0,12.0,0,3.26
1990-05-07,12.0,12.5,12.0,12.0,33700,3.26
1990-05-08,12.75,12.75,12.75,12.75,1500,3.46
1990-05-09,12.75,12.75,12.0,12.0,8700,3.26
1990-05-10,11.75,11.75,11.75,11.75,100,3.19
1990-05-11,11.75,12.5,11.75,12.5,18900,3.39
1990-05-14,12.5,12.5,11.75,11.75,1900,3.19
1990-05-15,11.75,11.75,11.75,11.75,0,3.19
1990-05-16,12.5,12.5,11.75,12.5,12100,3.39
1990-05-17,12.5,12.5,12.12,12.12,3600,3.29
1990-05-18,11.75,11.75,11.75,11.75,2200,3.19
1990-05-21,11.75,12.12,11.75,11.88,77500,3.22
1990-05-22,11.75,11.88,11.75,11.75,6300,3.19
1990-05-23,11.75,12.0,11.75,12.0,10300,3.26
1990-05-24,12.0,12.0,11.75,11.75,4600,3.19
1990-05-25,11.75,11.75,11.75,11.75,4600,3.19
1990-05-29,11.88,12.0,11.5,11.5,36400,3.12
1990-05-30,11.5,11.5,11.5,11.5,0,3.12
1990-05-31,11.37,11.88,11.25,11.25,9000,3.05
1990-06-01,11.25,11.25,11.25,11.25,0,3.05
1990-06-04,11.25,11.25,11.25,11.25,0,3.05
1990-06-05,12.0,12.0,11.5,11.5,13600,3.12
1990-06-06,12.0,12.0,11.5,11.5,1500,3.12
1990-06-07,11.5,12.0,11.5,12.0,2800,3.26
1990-06-08,12.0,12.0,12.0,12.0,0,3.26
1990-06-11,11.5,11.75,11.5,11.5,63000,3.12
1990-06-12,11.5,11.75,11.5,11.75,25800,3.19
1990-06-13,11.5,12.0,11.5,11.5,25600,3.12
1990-06-14,11.5,11.5,11.5,11.5,900,3.12
1990-06-15,11.5,11.5,11.5,11.5,0,3.12
1990-06-18,11.62,11.62,11.62,11.62,2800,3.15
