Date,Open,High,Low,Close,Volume,Adj Close
2008-01-30,6.2,6.2,6.2,6.2,0,5.84
2008-01-31,6.0,6.0,6.0,6.0,0,5.65
2008-02-01,6.0,6.0,6.0,6.0,0,5.65
2008-02-04,6.0,6.0,6.0,6.0,0,5.65
2008-02-05,6.0,6.0,6.0,6.0,0,5.65
2008-02-06,6.0,6.0,6.0,6.0,0,5.65
2008-02-07,6.0,6.0,6.0,6.0,0,5.65
2008-02-08,6.0,6.0,6.0,6.0,0,5.65
2008-02-11,6.0,6.0,6.0,6.0,0,5.65
2008-02-12,6.0,6.0,6.0,6.0,0,5.65
2008-02-13,6.0,6.0,6.0,6.0,0,5.65
2008-02-14,6.15,6.15,6.15,6.15,500,5.79
2008-02-15,6.15,6.15,6.15,6.15,0,5.79
2008-02-19,5.95,5.95,5.95,5.95,20600,5.6
2008-02-20,5.25,5.3,5.25,5.25,10000,4.94
2008-02-21,5.05,5.2,5.05,5.05,10200,4.76
2008-02-22,5.05,5.05,5.05,5.05,0,4.76
2008-02-25,7.0,7.0,7.0,7.0,100,6.59
2008-02-26,7.1,7.1,7.1,7.1,1100,6.69
2008-02-27,7.1,7.1,7.1,7.1,0,6.69
2008-02-28,7.1,7.1,7.1,7.1,0,6.69
2008-02-29,7.3,7.35,7.3,7.3,1400,6.87
2008-03-03,7.3,7.3,7.3,7.3,0,6.87
2008-03-04,7.0,7.0,7.0,7.0,1000,6.59
2008-03-05,7.3,7.3,7.15,7.3,1000,6.87
2008-03-06,7.3,7.5,7.3,7.3,1000,6.87
2008-03-07,7.3,7.3,7.3,7.3,0,6.87
2008-03-10,7.2,7.25,7.2,7.2,1200,6.78
2008-03-11,7.15,7.15,7.15,7.15,700,6.73
2008-03-12,7.2,7.25,7.2,7.2,1500,6.78
2008-03-13,7.45,7.45,7.45,7.45,500,7.02
2008-03-14,7.2,7.3,7.15,7.2,3000,6.78
2008-03-17,7.25,7.25,7.25,7.25,1000,6.83
2008-03-18,7.25,7.25,7.25,7.25,0,6.83
2008-03-19,7.75,8.0,7.75,7.75,2500,7.3
2008-03-20,7.95,7.95,7.85,7.95,20800,7.49
2008-03-24,8.25,8.25,8.25,8.25,2000,7.77
2008-03-25,9.1,9.1,8.5,9.1,7400,8.57
2008-03-26,9.6,9.6,9.2,9.6,5700,9.04
2008-03-27,9.05,9.29,9.05,9.05,1000,8.52
2008-03-28,9.2,9.2,9.2,9.2,500,8.66
2008-03-31,9.2,9.2,9.2,9.2,0,8.66
2008-04-01,10.5,10.5,10.5,10.5,500,9.89
2008-04-02,11.2,11.2,11.0,11.2,1100,10.55
2008-04-03,10.5,10.75,10.5,10.5,3300,9.89
2008-04-04,10.45,10.45,10.2,10.45,2200,9.84
2008-04-07,10.45,10.45,10.45,10.45,0,9.84
2008-04-08,9.75,9.75,9.75,9.75,500,9.18
2008-04-09,9.75,9.75,9.75,9.75,0,9.18
2008-04-10,9.78,9.8,9.78,9.78,5200,9.21
2008-04-11,10.25,10.25,9.8,10.25,1000,9.65
2008-04-14,11.3,11.3,11.2,11.3,2500,10.64
2008-04-15,11.25,11.25,11.25,11.25,200,10.59
2008-04-16,10.9,10.9,10.8,10.9,2900,10.26
2008-04-17,10.9,10.9,10.9,10.9,0,10.26
2008-04-18,11.0,11.0,11.0,11.0,200,10.36
2008-04-21,11.45,11.45,11.2,11.45,2700,10.78
2008-04-22,11.4,11.4,11.4,11.4,100,10.74
2008-04-23,12.25,12.25,11.5,12.25,600,11.54
2008-04-24,14.41,14.41,14.15,14.41,3300,13.57
2008-04-25,14.41,14.41,14.41,14.41,0,13.57
2008-04-28,16.0,16.0,15.5,16.0,2100,15.07
2008-04-29,16.1,16.1,16.1,16.1,400,15.16
2008-04-30,14.5,14.5,14.5,14.5,400,13.66
2008-05-01,15.75,15.75,15.5,15.75,2700,14.83
2008-05-02,16.75,16.75,16.4,16.75,2500,15.77
2008-05-05,16.75,16.75,16.75,16.75,0,15.77
2008-05-06,19.7,19.7,19.45,19.7,1800,18.55
2008-05-07,18.0,18.15,18.0,18.0,1400,16.95
2008-05-08,18.15,18.15,18.1,18.15,1200,17.09
2008-05-09,20.25,20.25,20.25,20.25,600,19.07
2008-05-12,23.65,23.65,23.15,23.65,2400,22.27
2008-05-13,29.05,30.2,28.0,29.05,8900,27.36
2008-05-14,27.75,27.75,27.2,27.75,5400,26.13
2008-05-15,28.64,28.64,28.35,28.64,400,26.97
2008-05-16,29.25,29.5,29.2,29.25,1200,27.55
2008-05-19,29.55,29.55,28.9,29.55,800,27.83
2008-05-20,27.85,27.85,27.85,27.85,400,26.23
2008-05-21,26.85,26.85,25.95,26.85,900,25.29
2008-05-22,27.45,27.45,26.85,27.45,1200,25.85
2008-05-23,28.6,28.65,28.6,28.6,1200,26.93
