Date,Open,High,Low,Close,Volume,Adj Close
2004-10-28,22.0,22.0,13.96,14.4,5752000,14.4
2004-10-29,14.6,14.9,13.51,13.6,890400,13.6
2004-11-01,13.9,17.47,13.63,16.78,3416100,16.78
2004-11-02,18.33,19.0,16.8,17.01,3438300,17.01
2004-11-03,18.22,18.46,17.07,17.32,1421500,17.32
2004-11-04,17.24,20.4,17.06,19.69,2057400,19.69
2004-11-05,20.3,21.63,19.45,21.1,1765100,21.1
2004-11-08,22.5,25.29,21.5,24.0,3169700,24.0
2004-11-09,25.67,25.99,22.38,23.1,3388500,23.1
2004-11-10,23.57,24.38,22.88,23.16,1207200,23.16
2004-11-11,23.25,23.25,21.25,22.01,1527900,22.01
2004-11-12,22.47,23.99,22.0,23.6,1063400,23.6
2004-11-15,24.49,25.2,23.0,23.64,1267200,23.64
2004-11-16,24.21,24.75,23.71,24.3,726700,24.3
2004-11-17,24.6,24.98,22.47,22.74,892300,22.74
2004-11-18,23.61,23.61,21.5,22.45,939800,22.45
2004-11-19,20.12,21.49,19.6,20.7,1259500,20.7
2004-11-22,20.99,20.99,19.3,19.43,544200,19.43
2004-11-23,19.5,19.91,18.2,19.34,1023800,19.34
2004-11-24,19.74,21.75,19.55,21.7,1377400,21.7
2004-11-26,22.0,22.9,21.78,22.48,402900,22.48
2004-11-29,23.39,23.5,20.5,20.75,752500,20.75
2004-11-30,21.34,21.7,20.39,20.86,416300,20.86
2004-12-01,20.6,22.3,20.55,21.31,867400,21.31
2004-12-02,22.2,22.5,21.18,22.18,521600,22.18
2004-12-03,22.4,22.4,20.8,21.3,439700,21.3
2004-12-06,21.3,21.59,20.61,20.7,164200,20.7
2004-12-07,21.29,21.39,20.25,20.73,337100,20.73
2004-12-08,20.75,21.25,19.62,20.3,196800,20.3
2004-12-09,19.67,20.3,19.67,20.03,214700,20.03
2004-12-10,20.2,21.2,19.62,20.34,380800,20.34
2004-12-13,20.5,20.5,18.86,19.4,352300,19.4
2004-12-14,19.13,19.89,18.85,19.0,195500,19.0
2004-12-15,19.06,19.38,18.5,18.85,203900,18.85
2004-12-16,20.7,21.06,18.92,19.35,782800,19.35
2004-12-17,19.55,19.65,18.6,19.24,215700,19.24
2004-12-20,19.31,20.17,19.31,19.7,156800,19.7
2004-12-21,20.15,20.5,19.2,19.45,392700,19.45
2004-12-22,19.32,19.55,18.76,18.83,299600,18.83
2004-12-23,19.19,19.19,17.85,17.88,312500,17.88
2004-12-27,17.78,18.09,17.27,17.35,280700,17.35
2004-12-28,17.21,18.91,17.21,18.66,324900,18.66
2004-12-29,18.86,19.24,18.3,19.08,175800,19.08
2004-12-30,18.82,19.2,18.48,19.03,154000,19.03
2004-12-31,18.61,19.19,18.53,18.65,71200,18.65
2005-01-03,19.15,19.15,17.75,18.06,140400,18.06
2005-01-04,18.0,18.19,16.95,17.21,241200,17.21
2005-01-05,17.93,17.93,16.58,17.11,183800,17.11
2005-01-06,17.79,17.79,16.24,16.65,260400,16.65
2005-01-07,16.87,16.99,15.9,16.0,190600,16.0
2005-01-10,15.75,16.29,15.4,15.65,302900,15.65
2005-01-11,15.94,16.0,14.86,15.02,242700,15.02
2005-01-12,14.95,15.9,14.8,15.82,249600,15.82
2005-01-13,15.33,16.39,15.33,16.15,158700,16.15
2005-01-14,16.19,16.25,15.6,16.1,90000,16.1
2005-01-18,16.25,16.25,15.54,16.09,90400,16.09
2005-01-19,16.25,16.25,15.52,15.56,68000,15.56
2005-01-20,15.36,15.43,13.96,14.16,260100,14.16
2005-01-21,14.0,14.45,13.66,14.03,258300,14.03
2005-01-24,14.03,14.45,12.8,13.25,367900,13.25
2005-01-25,12.96,14.37,12.77,14.12,478300,14.12
2005-01-26,13.69,15.6,13.69,15.25,395500,15.25
2005-01-27,15.35,15.39,14.54,14.8,97600,14.8
2005-01-28,15.25,15.25,14.24,14.44,67900,14.44
2005-01-31,14.95,15.0,14.3,14.94,80500,14.94
2005-02-01,15.5,15.5,14.91,15.43,104400,15.43
2005-02-02,15.74,15.74,14.95,15.42,133200,15.42
2005-02-03,15.5,15.6,14.82,15.48,79800,15.48
2005-02-04,15.9,15.9,15.3,15.69,110200,15.69
2005-02-07,15.99,15.99,14.9,15.88,117700,15.88
2005-02-08,15.39,15.51,15.0,15.09,150900,15.09
2005-02-09,15.1,15.39,14.01,14.13,74400,14.13
2005-02-10,14.02,14.18,13.4,13.66,225000,13.66
2005-02-11,13.75,14.46,13.31,13.75,156300,13.75
2005-02-14,14.24,14.24,13.65,13.69,75800,13.69
2005-02-15,13.75,13.8,13.1,13.31,118500,13.31
2005-02-16,13.11,13.89,13.11,13.54,116500,13.54
2005-02-17,13.05,13.79,13.01,13.34,55300,13.34
2005-02-18,13.24,13.6,13.15,13.25,54300,13.25
2005-02-22,13.35,14.38,13.11,13.93,164800,13.93
2005-02-23,13.91,14.4,13.38,13.81,81100,13.81
2005-02-24,13.46,13.85,13.4,13.68,60600,13.68
2005-02-25,13.75,13.81,13.3,13.45,35800,13.45
2005-02-28,13.88,13.89,13.22,13.45,51000,13.45
2005-03-01,13.68,14.3,13.48,14.19,113200,14.19
2005-03-02,11.77,12.15,10.32,10.4,1297800,10.4
2005-03-03,10.71,10.96,10.38,10.58,468400,10.58
2005-03-04,10.6,10.92,10.5,10.64,275800,10.64
2005-03-07,10.91,10.95,10.5,10.6,262200,10.6
2005-03-08,10.9,10.9,10.5,10.56,46000,10.56
2005-03-09,10.5,10.66,9.8,10.6,264600,10.6
2005-03-10,10.6,10.7,9.99,10.01,145800,10.01
2005-03-11,10.5,10.5,9.5,9.55,224500,9.55
2005-03-14,9.57,9.62,9.03,9.04,165300,9.04
2005-03-15,9.38,9.38,8.8,8.9,112100,8.9
2005-03-16,8.89,8.9,8.4,8.69,233700,8.69
2005-03-17,8.52,8.72,8.31,8.42,199600,8.42
2005-03-18,8.3,8.88,8.3,8.88,258400,8.88
2005-03-21,8.86,9.36,8.75,9.27,313500,9.27
2005-03-22,9.26,9.48,9.0,9.0,78300,9.0
2005-03-23,9.0,9.07,8.9,8.91,105600,8.91
2005-03-24,8.84,9.2,8.8,8.84,103600,8.84
2005-03-28,8.9,9.2,8.9,9.0,81300,9.0
2005-03-29,9.0,9.28,8.87,8.9,102800,8.9
2005-03-30,8.84,9.11,8.81,8.9,117800,8.9
2005-03-31,8.94,9.11,8.9,9.0,35100,9.0
2005-04-01,9.06,9.11,8.69,8.76,80700,8.76
2005-04-04,8.7,8.73,8.45,8.73,37500,8.73
2005-04-05,8.84,8.84,8.52,8.63,71800,8.63
2005-04-06,8.64,8.75,8.51,8.6,26600,8.6
2005-04-07,8.58,8.72,8.5,8.6,64100,8.6
2005-04-08,8.52,8.77,8.52,8.55,37000,8.55
2005-04-11,8.5,8.7,8.44,8.6,92200,8.6
2005-04-12,8.6,8.68,8.55,8.62,67100,8.62
2005-04-13,8.62,8.84,8.62,8.75,57000,8.75
2005-04-14,8.7,8.83,8.6,8.65,38100,8.65
2005-04-15,8.61,8.63,8.45,8.5,123100,8.5
2005-04-18,8.46,8.62,8.01,8.05,96600,8.05
2005-04-19,8.1,8.14,8.0,8.01,54900,8.01
2005-04-20,8.0,8.06,7.5,7.61,271700,7.61
2005-04-21,7.78,8.58,7.75,7.94,297600,7.94
2005-04-22,8.14,8.14,7.67,7.9,57300,7.9
2005-04-25,8.2,8.2,7.8,8.04,99600,8.04
2005-04-26,8.18,8.37,7.84,8.2,87700,8.2
2005-04-27,8.09,8.64,8.07,8.5,75700,8.5
2005-04-28,8.44,8.84,8.19,8.51,76300,8.51
2005-04-29,8.56,8.91,8.41,8.69,107100,8.69
2005-05-02,8.75,8.77,8.54,8.6,12500,8.6
2005-05-03,8.5,8.73,8.28,8.56,29500,8.56
2005-05-04,8.73,9.04,8.6,8.91,67000,8.91
2005-05-05,8.94,9.1,8.7,8.8,34100,8.8
2005-05-06,8.78,8.86,8.69,8.8,110400,8.8
2005-05-09,8.86,8.86,8.53,8.74,117600,8.74
2005-05-10,8.67,8.74,8.55,8.7,31700,8.7
2005-05-11,8.53,8.91,8.0,8.88,148100,8.88
2005-05-12,8.65,9.34,8.65,9.2,78000,9.2
2005-05-13,9.02,9.14,8.65,8.92,347300,8.92
2005-05-16,8.86,8.95,8.74,8.94,47300,8.94
