Date,Open,High,Low,Close,Volume,Adj Close
2011-01-21,12.2,12.25,12.0,12.0,976200,8.97
2011-01-24,11.91,12.07,11.53,11.94,281200,8.93
2011-01-25,11.98,11.98,11.9,11.95,105900,8.94
2011-01-26,11.93,12.5,11.9,11.92,407600,8.91
2011-01-27,12.05,12.05,11.87,11.94,318000,8.93
2011-01-28,11.92,12.0,11.9,11.9,120600,8.9
2011-01-31,11.9,12.0,11.75,12.0,99000,8.97
2011-02-01,11.95,12.12,11.95,12.0,277500,8.97
2011-02-02,12.07,12.07,11.9,11.99,98200,8.97
2011-02-03,11.91,12.02,11.9,11.96,126200,8.94
2011-02-04,11.91,12.0,11.9,11.97,93900,8.95
2011-02-07,11.93,12.02,11.91,12.0,206500,8.97
2011-02-08,11.9,12.0,11.9,11.96,69900,8.94
2011-02-09,11.95,12.1,11.95,12.07,147900,9.03
2011-02-10,12.05,12.1,11.9,12.01,429600,8.98
2011-02-11,12.0,12.08,12.0,12.05,246000,9.01
2011-02-14,12.05,12.1,12.0,12.0,123300,8.97
2011-02-15,12.01,12.02,12.0,12.0,198100,8.97
2011-02-16,12.0,12.01,11.95,12.0,150500,8.97
2011-02-17,11.95,12.0,11.9,11.9,123000,8.9
2011-02-18,12.0,12.0,11.81,11.83,136700,8.85
2011-02-22,11.88,11.88,11.61,11.73,182500,8.77
2011-02-23,11.74,11.75,11.6,11.62,93900,8.69
2011-02-24,11.5,11.88,11.5,11.84,163300,8.85
2011-02-25,11.85,11.91,11.74,11.9,57600,8.9
2011-02-28,11.83,11.96,11.5,11.95,293000,8.94
2011-03-01,11.98,12.0,11.75,11.79,70300,8.82
2011-03-02,11.94,12.11,11.93,12.07,260500,9.03
2011-03-03,12.13,12.17,12.09,12.12,222200,9.06
2011-03-04,12.13,12.25,12.0,12.15,76800,9.09
2011-03-07,12.15,12.15,12.03,12.09,88800,9.04
2011-03-08,12.06,12.2,12.02,12.19,182900,9.12
2011-03-09,12.12,12.16,12.0,12.06,110500,9.02
2011-03-10,11.96,12.07,11.96,12.05,43700,9.01
2011-03-11,12.05,12.17,12.0,12.1,43900,9.05
2011-03-14,12.05,12.06,11.9,11.96,69100,8.94
2011-03-15,11.75,11.94,11.75,11.88,104400,8.88
2011-03-16,11.88,12.17,11.8,12.03,127700,9.0
2011-03-17,12.0,12.08,11.93,12.0,50000,8.97
2011-03-18,12.0,12.03,11.79,11.8,68500,8.82
2011-03-21,11.8,12.01,11.8,11.93,64100,8.92
2011-03-22,11.84,11.96,11.83,11.84,78000,8.85
2011-03-23,11.78,12.05,11.75,12.03,103400,9.0
2011-03-24,12.08,12.08,11.9,11.91,62200,8.91
2011-03-25,11.96,12.14,11.91,12.0,42700,8.97
2011-03-28,11.99,12.1,11.9,12.03,77500,9.0
2011-03-29,12.02,12.12,11.81,11.97,68300,8.95
2011-03-30,12.02,12.06,11.87,11.92,65100,8.91
2011-03-31,11.87,12.18,11.85,12.18,1086900,9.11
2011-04-01,12.18,12.21,11.93,12.0,112500,8.97
2011-04-04,11.96,12.11,11.94,12.0,62100,8.97
2011-04-05,11.94,12.05,11.85,12.04,87400,9.0
2011-04-06,12.08,12.2,12.0,12.19,59000,9.12
2011-04-07,12.1,12.1,11.99,12.05,30000,9.01
2011-04-08,12.06,12.15,11.79,11.91,36600,8.91
2011-04-11,11.89,11.99,11.77,11.8,34900,8.82
2011-04-12,11.78,11.79,11.65,11.69,63300,8.74
2011-04-13,11.71,11.75,11.43,11.58,123500,8.66
2011-04-14,11.6,11.6,11.4,11.45,112700,8.56
2011-04-15,11.43,11.52,11.42,11.45,42000,8.56
2011-04-18,11.45,11.45,11.31,11.39,34700,8.52
2011-04-19,11.44,11.44,11.3,11.36,14700,8.5
2011-04-20,11.37,11.47,11.21,11.4,55100,8.53
2011-04-21,11.45,11.46,11.3,11.4,59700,8.53
2011-04-25,11.6,11.62,11.31,11.41,29500,8.53
2011-04-26,11.37,11.43,11.3,11.42,68200,8.54
2011-04-27,11.4,11.49,11.37,11.47,47000,8.58
2011-04-28,11.42,11.46,11.3,11.43,62300,8.55
2011-04-29,11.46,11.73,11.32,11.7,45000,8.75
2011-05-02,11.71,11.75,11.69,11.72,47000,8.76
2011-05-03,11.74,11.78,11.62,11.65,59000,8.71
2011-05-04,11.67,11.8,11.35,11.36,117000,8.5
2011-05-05,11.34,11.42,11.3,11.33,63700,8.47
2011-05-06,11.4,11.7,11.35,11.6,40900,8.68
2011-05-09,11.56,11.73,11.53,11.69,15000,8.74
2011-05-10,11.76,12.0,11.69,11.96,33800,8.94
2011-05-11,11.96,11.99,11.62,11.75,26300,8.79
2011-05-12,11.75,11.95,11.75,11.95,31000,8.94
2011-05-13,12.24,12.24,11.75,11.79,55400,8.82
2011-05-16,11.75,11.94,11.5,11.54,87900,8.63
2011-05-17,11.54,11.85,11.54,11.79,23300,8.82
2011-05-18,11.76,12.07,11.76,11.92,68700,8.91
2011-05-19,11.99,11.99,11.8,11.87,102600,8.88
2011-05-20,11.85,11.98,11.85,11.88,26700,8.88
2011-05-23,11.85,11.95,11.8,11.8,54800,8.82
2011-05-24,11.8,11.89,11.72,11.76,38900,8.79
2011-05-25,11.77,11.81,11.66,11.77,32700,8.8
2011-05-26,11.7,11.85,11.51,11.85,32900,8.86
2011-05-27,11.81,12.03,11.53,11.75,56800,8.91
2011-05-31,11.75,11.87,11.59,11.74,64900,8.9
2011-06-01,11.74,11.77,11.4,11.42,43600,8.66
2011-06-02,11.47,11.61,11.43,11.49,23500,8.71
2011-06-03,11.4,11.51,11.27,11.27,39800,8.54
2011-06-06,11.22,11.84,11.22,11.46,52500,8.69
2011-06-07,11.54,11.54,11.3,11.41,42000,8.65
2011-06-08,11.4,11.47,11.33,11.33,38200,8.59
2011-06-09,11.3,11.44,11.25,11.31,36600,8.57
2011-06-10,11.29,11.35,11.24,11.27,29100,8.54
2011-06-13,11.32,11.35,11.11,11.22,33600,8.51
2011-06-14,11.29,11.32,11.24,11.3,27200,8.57
2011-06-15,11.24,11.31,11.11,11.12,42000,8.43
2011-06-16,11.16,11.25,11.0,11.23,25900,8.51
2011-06-17,11.29,11.42,11.14,11.16,96700,8.46
2011-06-20,11.16,11.69,11.16,11.6,46800,8.79
2011-06-21,11.55,11.58,11.29,11.29,215600,8.56
2011-06-22,11.28,11.44,11.19,11.19,34400,8.48
2011-06-23,11.1,11.34,11.08,11.32,38700,8.58
2011-06-24,11.35,11.65,11.15,11.53,347500,8.74
2011-06-27,11.45,11.65,11.33,11.55,53800,8.76
2011-06-28,11.45,11.74,11.45,11.59,40400,8.79
2011-06-29,11.6,11.6,11.3,11.6,44600,8.79
2011-06-30,11.59,11.83,11.52,11.74,50500,8.9
2011-07-01,11.72,11.72,11.6,11.63,31800,8.82
2011-07-05,11.63,11.73,11.53,11.59,16100,8.79
2011-07-06,11.54,11.64,11.36,11.47,54600,8.7
2011-07-07,11.51,11.67,11.02,11.28,145500,8.55
2011-07-08,11.28,11.48,11.28,11.38,22900,8.63
2011-07-11,11.39,11.44,11.11,11.2,28100,8.49
2011-07-12,11.2,11.26,11.05,11.14,85100,8.45
2011-07-13,11.2,11.32,11.14,11.32,18500,8.58
2011-07-14,11.27,11.35,11.16,11.22,29900,8.51
2011-07-15,11.28,11.28,11.09,11.11,62700,8.42
2011-07-18,11.05,11.12,11.03,11.04,32700,8.37
2011-07-19,11.12,11.17,11.0,11.16,29400,8.46
2011-07-20,11.2,11.2,11.0,11.07,65600,8.39
2011-07-21,11.11,11.25,11.01,11.18,49200,8.48
2011-07-22,11.2,11.2,11.04,11.08,19200,8.4
2011-07-25,11.01,11.09,10.98,10.98,46500,8.32
2011-07-26,10.93,11.09,10.93,10.96,28600,8.31
2011-07-27,10.87,10.87,10.5,10.58,123200,8.02
2011-07-28,10.56,10.82,10.28,10.39,74700,7.88
2011-07-29,10.28,10.33,9.95,10.3,96600,7.81
2011-08-01,10.39,10.83,10.39,10.67,35400,8.09
2011-08-02,10.61,10.62,10.45,10.45,22100,7.92
2011-08-03,10.4,10.45,10.2,10.36,27100,7.85
2011-08-04,10.45,10.74,9.94,10.12,119500,7.67
2011-08-05,10.19,11.15,10.13,10.53,65900,7.98
2011-08-08,10.53,10.99,10.12,10.14,183300,7.69
2011-08-09,10.35,10.83,10.08,10.78,150200,8.17
2011-08-10,10.55,10.57,10.22,10.28,134100,7.79
2011-08-11,10.31,10.89,10.31,10.75,59000,8.15
2011-08-12,10.84,10.98,10.53,10.61,53800,8.04
