Date,Open,High,Low,Close,Volume,Adj Close
2012-02-22,5.54,5.7,5.49,5.68,69900,5.68
2012-02-23,5.65,5.76,5.65,5.76,24600,5.76
2012-02-24,5.71,5.71,5.62,5.62,13700,5.62
2012-02-27,5.62,5.62,5.59,5.59,8300,5.59
2012-02-28,5.57,5.7,5.57,5.67,19000,5.67
2012-02-29,5.67,5.79,5.24,5.24,11000,5.24
2012-03-01,5.42,5.48,5.42,5.48,15300,5.48
2012-03-02,5.3,5.3,5.22,5.22,5900,5.22
2012-03-05,5.12,5.12,5.04,5.04,2600,5.04
2012-03-06,4.7,4.79,4.7,4.77,18500,4.77
2012-03-07,4.82,4.82,4.82,4.82,4300,4.82
2012-03-08,4.83,5.0,4.83,5.0,1700,5.0
2012-03-09,5.09,5.14,5.09,5.1,20100,5.1
2012-03-12,4.88,4.88,4.48,4.5,12300,4.5
2012-03-13,4.56,4.57,4.56,4.57,2700,4.57
2012-03-14,4.44,4.44,4.18,4.24,15000,4.24
2012-03-15,4.25,4.25,4.08,4.21,19900,4.21
2012-03-16,4.27,4.27,4.09,4.09,10700,4.09
2012-03-19,4.03,4.2,4.03,4.2,3300,4.2
2012-03-20,4.0,4.0,3.99,4.0,6800,4.0
2012-03-21,4.07,4.07,3.98,3.98,2400,3.98
2012-03-22,3.76,3.78,3.76,3.78,1600,3.78
2012-03-23,4.09,4.11,4.09,4.11,1800,4.11
2012-03-26,4.13,4.37,4.13,4.37,2900,4.37
2012-03-27,4.36,4.4,4.28,4.29,2300,4.29
2012-03-28,4.08,4.08,4.08,4.08,400,4.08
2012-03-29,4.05,4.05,4.05,4.05,17200,4.05
2012-03-30,4.16,4.43,4.16,4.43,1300,4.43
2012-04-02,4.41,4.56,4.41,4.54,2100,4.54
2012-04-03,4.39,4.39,4.39,4.39,2000,4.39
2012-04-04,3.99,4.03,3.97,3.97,13300,3.97
2012-04-05,4.1,4.1,3.93,3.94,25100,3.94
2012-04-09,4.04,4.04,4.01,4.01,6400,4.01
2012-04-10,3.98,3.98,3.98,3.98,13700,3.98
2012-04-11,3.99,3.99,3.94,3.94,2900,3.94
2012-04-12,4.01,4.01,4.01,4.01,2500,4.01
2012-04-13,4.01,4.01,4.01,4.01,0,4.01
2012-04-16,3.87,3.87,3.78,3.81,5400,3.81
2012-04-17,3.78,3.82,3.78,3.79,17100,3.79
2012-04-18,3.64,3.64,3.41,3.41,31500,3.41
2012-04-19,3.44,3.48,3.37,3.37,1700,3.37
2012-04-20,3.44,3.53,3.44,3.53,1900,3.53
2012-04-23,3.53,3.53,3.53,3.53,0,3.53
2012-04-24,3.37,3.39,3.32,3.32,23800,3.32
2012-04-25,3.34,3.44,3.34,3.44,10100,3.44
2012-04-26,3.44,3.53,3.44,3.51,9000,3.51
2012-04-27,3.52,3.53,3.52,3.53,2100,3.53
2012-04-30,3.48,3.58,3.48,3.58,1300,3.58
2012-05-01,3.8,3.97,3.8,3.97,1400,3.97
2012-05-02,3.89,3.89,3.6,3.6,10000,3.6
2012-05-03,3.34,3.39,3.34,3.39,2400,3.39
2012-05-04,3.3,3.3,3.3,3.3,800,3.3
2012-05-07,3.32,3.32,3.17,3.2,6800,3.2
2012-05-08,3.01,3.11,2.95,3.11,6500,3.11
2012-05-09,3.1,3.1,3.06,3.06,6400,3.06
2012-05-10,3.05,3.05,3.03,3.03,1600,3.03
2012-05-11,2.92,2.98,2.89,2.98,6200,2.98
2012-05-14,2.76,2.76,2.76,2.76,1100,2.76
2012-05-15,2.69,2.69,2.22,2.29,16800,2.29
2012-05-16,2.28,2.28,2.03,2.26,16900,2.26
2012-05-17,2.54,2.56,2.44,2.44,10000,2.44
2012-05-18,2.29,2.3,2.28,2.3,15000,2.3
2012-05-21,2.3,2.3,2.3,2.3,0,2.3
2012-05-22,2.24,2.27,2.22,2.23,21000,2.23
2012-05-23,2.02,2.23,1.97,2.23,6000,2.23
2012-05-24,2.39,2.39,2.28,2.28,5600,2.28
2012-05-25,2.39,2.39,2.39,2.39,2800,2.39
2012-05-29,2.69,2.69,2.66,2.66,4700,2.66
2012-05-30,2.32,2.43,2.32,2.43,2300,2.43
2012-05-31,2.32,2.38,2.26,2.26,1300,2.26
2012-06-01,2.45,2.46,2.43,2.43,8300,2.43
2012-06-04,2.51,2.51,2.51,2.51,24900,2.51
2012-06-05,2.67,2.67,2.67,2.67,5100,2.67
2012-06-06,2.75,2.75,2.59,2.59,9600,2.59
2012-06-07,2.67,2.67,2.54,2.56,25100,2.56
2012-06-08,2.51,2.51,2.45,2.45,1300,2.45
2012-06-11,2.49,2.49,2.49,2.49,11200,2.49
2012-06-12,2.52,2.62,2.52,2.6,50800,2.6
2012-06-13,2.77,2.79,2.77,2.77,6200,2.77
2012-06-14,2.79,2.79,2.77,2.78,1600,2.78
2012-06-15,2.78,2.78,2.78,2.78,0,2.78
2012-06-18,3.01,3.11,3.01,3.11,900,3.11
2012-06-19,3.15,3.28,3.15,3.26,4400,3.26
2012-06-20,3.16,3.32,3.16,3.22,7400,3.22
2012-06-21,2.91,2.91,2.84,2.84,19000,2.84
2012-06-22,2.89,2.92,2.89,2.92,5900,2.92
2012-06-25,2.91,2.91,2.91,2.91,6400,2.91
2012-06-26,2.91,2.91,2.91,2.91,0,2.91
2012-06-27,2.81,2.95,2.81,2.95,1400,2.95
