Date,Open,High,Low,Close,Volume,Adj Close
2008-02-12,1.81,1.81,1.45,1.5,44700,4.64
2008-02-13,1.48,1.48,1.25,1.25,37500,3.86
2008-02-14,1.2,1.48,1.2,1.46,28400,4.51
2008-02-15,1.53,1.75,1.53,1.75,29500,5.41
2008-02-19,1.74,1.75,1.7,1.72,16000,5.32
2008-02-20,1.72,1.76,1.72,1.75,7800,5.41
2008-02-21,1.77,1.78,1.74,1.76,30300,5.44
2008-02-22,1.7,1.78,1.7,1.78,33900,5.5
2008-02-25,1.77,1.79,1.77,1.79,7600,5.53
2008-02-26,1.8,1.81,1.78,1.8,25800,5.56
2008-02-27,1.8,1.81,1.75,1.81,15500,5.6
2008-02-28,1.81,1.81,1.8,1.8,6600,5.56
2008-02-29,1.81,1.81,1.81,1.81,2800,5.6
2008-03-03,1.82,1.82,1.8,1.8,2700,5.56
2008-03-04,1.8,1.8,1.8,1.8,100,5.56
2008-03-05,1.79,1.79,1.79,1.79,1100,5.53
2008-03-06,1.81,1.82,1.81,1.81,6000,5.6
2008-03-07,1.81,1.81,1.81,1.81,400,5.6
2008-03-10,1.81,1.81,1.81,1.81,1000,5.6
2008-03-11,1.8,1.81,1.8,1.81,1500,5.6
2008-03-12,1.82,1.82,1.81,1.82,4100,5.63
2008-03-13,1.83,1.83,1.82,1.82,400,5.63
2008-03-14,1.82,1.82,1.82,1.82,0,5.63
2008-03-17,1.82,1.82,1.77,1.77,5600,5.47
2008-03-18,1.72,1.76,1.72,1.76,2900,5.44
2008-03-19,1.76,1.76,1.76,1.76,500,5.44
2008-03-20,1.75,1.75,1.75,1.75,800,5.41
2008-03-24,1.78,1.83,1.77,1.78,5000,5.5
2008-03-25,1.78,1.78,1.78,1.78,100,5.5
2008-03-26,1.79,1.79,1.79,1.79,400,5.53
2008-03-27,1.79,1.85,1.79,1.85,10500,5.72
2008-03-28,1.85,1.93,1.84,1.9,9600,5.87
2008-03-31,1.9,2.11,1.9,2.1,28600,6.49
2008-04-01,2.1,2.1,1.85,1.85,1300,5.72
2008-04-02,4.95,6.35,4.95,6.35,23900,6.35
2008-04-03,6.4,6.4,6.35,6.35,2500,6.35
2008-04-04,6.1,6.1,6.0,6.01,2500,6.01
2008-04-07,6.1,6.1,6.1,6.1,3200,6.1
2008-04-08,6.0,6.0,5.75,5.95,7300,5.95
2008-04-09,5.95,6.0,5.85,5.85,3600,5.85
2008-04-10,5.85,5.85,5.85,5.85,0,5.85
2008-04-11,5.85,5.85,5.85,5.85,0,5.85
2008-04-14,5.65,5.8,5.65,5.8,1500,5.8
2008-04-15,5.8,6.0,5.8,5.9,14200,5.9
2008-04-16,5.9,6.01,5.9,6.0,5100,6.0
2008-04-17,6.0,6.0,6.0,6.0,0,6.0
2008-04-18,6.0,6.0,6.0,6.0,200,6.0
2008-04-21,6.0,6.0,6.0,6.0,0,6.0
2008-04-22,6.0,6.0,6.0,6.0,0,6.0
2008-04-23,6.0,6.0,6.0,6.0,0,6.0
2008-04-24,5.7,5.7,5.2,5.5,1900,5.5
2008-04-25,5.5,5.5,5.5,5.5,0,5.5
2008-04-28,5.35,5.4,5.35,5.4,2200,5.4
2008-04-29,5.4,5.4,5.4,5.4,0,5.4
2008-04-30,5.25,5.25,5.1,5.1,3100,5.1
2008-05-01,5.15,5.15,5.15,5.15,500,5.15
2008-05-02,5.25,5.25,5.25,5.25,100,5.25
2008-05-05,5.1,5.15,4.7,5.15,2500,5.15
2008-05-06,5.15,5.15,5.15,5.15,1400,5.15
2008-05-07,5.15,5.15,5.15,5.15,500,5.15
2008-05-08,5.15,5.15,5.15,5.15,0,5.15
2008-05-09,5.15,5.15,5.15,5.15,0,5.15
2008-05-12,5.15,5.15,5.15,5.15,0,5.15
2008-05-13,5.15,5.15,5.15,5.15,1500,5.15
2008-05-14,5.15,5.15,5.15,5.15,0,5.15
2008-05-15,5.15,5.15,5.15,5.15,0,5.15
2008-05-16,5.15,5.15,5.15,5.15,0,5.15
2008-05-19,5.15,5.15,5.0,5.0,2700,5.0
2008-05-20,5.0,5.0,5.0,5.0,0,5.0
2008-05-21,5.15,5.15,5.15,5.15,2400,5.15
2008-05-22,5.15,5.15,5.15,5.15,0,5.15
2008-05-23,5.15,5.15,5.15,5.15,0,5.15
2008-05-27,5.15,5.15,5.15,5.15,1200,5.15
2008-05-28,5.15,5.15,5.15,5.15,0,5.15
2008-05-29,5.06,5.06,5.05,5.05,1900,5.05
2008-05-30,4.81,5.1,4.81,5.1,3500,5.1
2008-06-02,5.0,5.0,5.0,5.0,200,5.0
2008-06-03,5.0,5.0,5.0,5.0,0,5.0
2008-06-04,5.0,5.1,5.0,5.1,1000,5.1
2008-06-05,5.1,5.1,5.1,5.1,0,5.1
2008-06-06,5.1,5.1,5.1,5.1,0,5.1
2008-06-09,5.1,5.1,5.1,5.1,0,5.1
2008-06-10,5.1,5.1,5.1,5.1,0,5.1
2008-06-11,5.1,5.1,5.1,5.1,0,5.1
2008-06-12,5.1,5.1,5.1,5.1,0,5.1
2008-06-13,5.1,5.1,5.05,5.05,1200,5.05
2008-06-16,5.05,5.05,5.05,5.05,0,5.05
2008-06-17,5.1,5.1,5.1,5.1,3300,5.1
2008-06-18,4.9,5.0,4.9,4.9,1900,4.9
2008-06-19,4.9,4.9,3.5,4.0,13900,4.0
2008-06-20,4.3,4.3,4.3,4.3,400,4.3
2008-06-23,4.2,4.3,4.0,4.05,1600,4.05
2008-06-24,4.5,4.5,4.25,4.25,700,4.25
2008-06-25,4.75,4.75,4.75,4.75,2000,4.75
2008-06-26,4.6,4.6,4.6,4.6,200,4.6
2008-06-27,4.6,4.6,4.6,4.6,0,4.6
2008-06-30,4.6,4.6,4.6,4.6,0,4.6
2008-07-01,5.0,5.1,5.0,5.1,3200,5.1
2008-07-02,5.0,5.0,5.0,5.0,1000,5.0
2008-07-03,5.0,5.0,5.0,5.0,0,5.0
2008-07-07,5.0,5.0,5.0,5.0,0,5.0
2008-07-08,5.0,5.0,5.0,5.0,1000,5.0
2008-07-09,5.0,5.0,5.0,5.0,1000,5.0
2008-07-10,5.0,5.0,5.0,5.0,0,5.0
2008-07-11,5.0,5.0,5.0,5.0,0,5.0
2008-07-14,5.1,5.1,5.0,5.1,1400,5.1
2008-07-15,4.75,5.0,4.75,5.0,1000,5.0
2008-07-16,5.0,5.1,5.0,5.1,1200,5.1
2008-07-17,5.1,5.1,5.1,5.1,0,5.1
2008-07-18,4.6,4.8,4.6,4.7,2400,4.7
2008-07-21,5.1,5.1,5.1,5.1,1000,5.1
2008-07-22,5.1,5.1,5.1,5.1,0,5.1
2008-07-23,5.1,5.1,5.1,5.1,0,5.1
2008-07-24,4.6,5.1,4.6,5.1,2200,5.1
2008-07-25,5.1,5.1,5.1,5.1,0,5.1
2008-07-28,5.1,5.1,5.1,5.1,0,5.1
2008-07-29,5.1,5.1,5.1,5.1,0,5.1
2008-07-30,5.1,5.1,5.1,5.1,0,5.1
2008-07-31,4.85,4.85,4.85,4.85,300,4.85
2008-08-01,4.85,4.85,4.85,4.85,0,4.85
2008-08-04,4.85,4.85,4.85,4.85,0,4.85
2008-08-05,4.85,4.85,4.85,4.85,0,4.85
2008-08-06,4.85,4.85,4.85,4.85,0,4.85
2008-08-07,4.85,4.85,4.85,4.85,0,4.85
2008-08-08,5.1,5.1,5.1,5.1,700,5.1
2008-08-11,5.1,5.1,5.1,5.1,0,5.1
2008-08-12,5.1,5.1,5.1,5.1,0,5.1
2008-08-13,4.85,4.85,4.85,4.85,1300,4.85
2008-08-14,4.85,4.85,4.85,4.85,0,4.85
2008-08-15,4.85,4.85,4.85,4.85,0,4.85
2008-08-18,4.6,4.6,4.6,4.6,300,4.6
2008-08-19,4.6,4.6,4.6,4.6,0,4.6
2008-08-20,4.6,4.6,4.6,4.6,0,4.6
2008-08-21,4.6,4.6,4.6,4.6,0,4.6
2008-08-22,4.6,4.6,4.5,4.5,1000,4.5
2008-08-25,5.1,5.1,5.1,5.1,5000,5.1
2008-08-26,4.76,4.76,4.76,4.76,700,4.76
2008-08-27,5.0,5.0,5.0,5.0,10700,5.0
2008-08-28,5.0,5.0,5.0,5.0,0,5.0
2008-08-29,4.85,4.85,4.3,4.85,3800,4.85
2008-09-02,4.51,4.7,4.51,4.7,1300,4.7
2008-09-03,4.7,4.85,4.7,4.85,1600,4.85
2008-09-04,4.85,5.0,4.85,5.0,5000,5.0
2008-09-05,5.0,5.0,5.0,5.0,1000,5.0
2008-09-08,5.0,5.0,5.0,5.0,1000,5.0
2008-09-09,5.0,5.0,5.0,5.0,1100,5.0
2008-09-10,5.0,5.0,4.51,4.85,1000,4.85
2008-09-11,4.85,5.0,4.7,5.0,4000,5.0
2008-09-12,5.0,5.0,4.69,4.7,3900,4.7
2008-09-15,4.8,4.8,4.8,4.8,2700,4.8
2008-09-16,4.8,4.8,4.8,4.8,100,4.8
2008-09-17,4.75,4.75,4.75,4.75,2000,4.75
2008-09-18,4.8,4.8,4.75,4.75,3400,4.75
2008-09-19,4.8,4.8,4.65,4.7,9000,4.7
2008-09-22,4.65,4.75,4.65,4.74,3000,4.74
2008-09-23,4.7,4.7,4.67,4.67,2000,4.67
2008-09-24,4.7,4.7,4.65,4.66,12400,4.66
2008-09-25,4.7,4.7,4.7,4.7,1000,4.7
2008-09-26,4.8,4.8,4.75,4.75,5000,4.75
2008-09-29,4.7,4.7,4.7,4.7,1300,4.7
2008-09-30,4.75,4.75,4.75,4.75,1000,4.75
2008-10-01,4.8,4.8,4.61,4.75,7400,4.75
2008-10-02,4.7,4.75,4.7,4.75,1100,4.75
2008-10-03,4.7,4.75,4.7,4.7,3100,4.7
2008-10-06,4.6,4.6,4.6,4.6,1500,4.6
2008-10-07,4.6,4.6,4.6,4.6,0,4.6
2008-10-08,4.6,4.6,4.6,4.6,0,4.6
2008-10-09,4.75,4.75,4.5,4.5,1300,4.5
2008-10-10,4.5,4.5,4.5,4.5,0,4.5
2008-10-13,4.5,4.5,4.5,4.5,0,4.5
2008-10-14,4.25,4.25,4.25,4.25,200,4.25
2008-10-15,4.5,4.5,4.5,4.5,100,4.5
2008-10-16,4.5,4.5,4.5,4.5,0,4.5
2008-10-17,4.5,4.5,4.5,4.5,0,4.5
2008-10-20,4.5,4.5,4.5,4.5,0,4.5
2008-10-21,4.5,4.5,4.5,4.5,0,4.5
2008-10-22,4.5,4.5,4.5,4.5,0,4.5
2008-10-23,4.5,4.5,4.5,4.5,0,4.5
2008-10-24,4.5,4.5,4.5,4.5,0,4.5
2008-10-27,4.25,4.25,4.25,4.25,100,4.25
2008-10-28,4.25,4.25,4.25,4.25,1000,4.25
2008-10-29,4.25,4.25,4.25,4.25,900,4.25
2008-10-30,4.25,4.25,4.25,4.25,0,4.25
2008-10-31,4.25,4.25,4.25,4.25,0,4.25
2008-11-03,4.25,4.25,4.25,4.25,0,4.25
2008-11-04,4.25,4.25,4.25,4.25,0,4.25
2008-11-05,4.25,4.25,4.25,4.25,0,4.25
2008-11-06,4.25,4.25,4.25,4.25,0,4.25
2008-11-07,4.25,4.25,4.25,4.25,0,4.25
2008-11-10,4.25,4.25,4.25,4.25,0,4.25
2008-11-11,4.25,4.25,4.25,4.25,0,4.25
2008-11-12,4.3,4.41,4.3,4.41,1700,4.41
2008-11-13,4.41,4.41,4.41,4.41,0,4.41
2008-11-14,4.41,4.41,4.41,4.41,0,4.41
2008-11-17,4.41,4.41,4.41,4.41,0,4.41
2008-11-18,4.5,4.5,4.5,4.5,300,4.5
2008-11-19,4.5,4.5,4.5,4.5,0,4.5
2008-11-20,4.25,4.25,2.85,4.25,2800,4.25
2008-11-21,4.25,4.25,4.25,4.25,0,4.25
2008-11-24,4.5,4.5,4.5,4.5,400,4.5
2008-11-25,4.5,4.5,4.5,4.5,0,4.5
2008-11-26,4.5,4.5,4.5,4.5,0,4.5
2008-11-28,3.25,3.25,2.6,2.6,700,2.6
2008-12-01,2.6,2.6,2.6,2.6,0,2.6
2008-12-02,4.5,4.5,4.5,4.5,600,4.5
2008-12-03,4.5,4.5,4.5,4.5,0,4.5
2008-12-04,4.5,4.5,4.5,4.5,0,4.5
2008-12-05,4.5,4.5,4.5,4.5,0,4.5
2008-12-08,4.5,4.5,4.5,4.5,0,4.5
2008-12-09,4.5,4.5,4.5,4.5,0,4.5
2008-12-10,4.5,4.5,4.5,4.5,0,4.5
2008-12-11,4.5,4.5,4.5,4.5,0,4.5
2008-12-12,4.5,4.5,4.5,4.5,0,4.5
2008-12-15,4.5,4.5,4.5,4.5,0,4.5
