Date,Open,High,Low,Close,Volume,Adj Close
1993-11-03,14.38,14.75,14.12,14.38,2423400,6.77
1993-11-04,14.38,14.5,14.0,14.0,379400,6.59
1993-11-05,14.0,14.12,13.75,13.75,633800,6.47
1993-11-08,13.75,13.88,13.75,13.88,86600,6.53
1993-11-09,13.88,14.0,13.75,13.75,179200,6.47
1993-11-10,13.75,14.5,13.62,14.12,151400,6.65
1993-11-11,14.25,14.75,14.0,14.62,287200,6.88
1993-11-12,14.75,14.88,14.25,14.62,155600,6.88
1993-11-15,14.5,14.75,14.5,14.62,139400,6.88
1993-11-16,14.5,14.62,14.12,14.25,89200,6.71
1993-11-17,14.0,14.38,14.0,14.0,33600,6.59
1993-11-18,14.12,14.12,13.75,14.0,50400,6.59
1993-11-19,13.88,14.0,13.62,13.62,37000,6.41
1993-11-22,13.75,13.75,13.0,13.12,137400,6.18
1993-11-23,13.25,13.75,13.12,13.75,75800,6.47
1993-11-24,13.88,14.0,13.75,14.0,131200,6.59
1993-11-26,14.12,14.12,14.12,14.12,11600,6.65
1993-11-29,14.12,14.5,14.0,14.12,51000,6.65
1993-11-30,14.25,15.25,14.25,15.12,197600,7.12
1993-12-01,15.25,15.25,14.62,14.75,116800,6.94
1993-12-02,14.88,15.12,14.75,14.88,120000,7.0
1993-12-03,14.88,15.0,14.88,15.0,28200,7.06
1993-12-06,14.88,15.38,14.75,15.38,101800,7.24
1993-12-07,15.62,15.88,15.25,15.75,96600,7.41
1993-12-08,15.75,16.25,15.75,16.25,189600,7.65
1993-12-09,16.12,16.25,16.12,16.12,74200,7.59
1993-12-10,16.12,16.12,15.5,15.5,61000,7.3
1993-12-13,15.5,15.62,15.25,15.5,158800,7.3
1993-12-14,15.62,16.5,15.5,16.12,184800,7.59
1993-12-15,16.12,16.88,16.12,16.75,138200,7.88
1993-12-16,17.0,17.25,17.0,17.25,92200,8.12
1993-12-17,17.25,18.25,17.12,18.0,202600,8.47
1993-12-20,18.25,18.5,17.5,17.62,270400,8.3
1993-12-21,17.75,17.75,17.5,17.5,27400,8.24
1993-12-22,17.5,17.75,17.38,17.75,27400,8.35
1993-12-23,17.75,18.0,17.62,17.75,113400,8.35
1993-12-27,17.75,18.0,17.75,18.0,11800,8.47
1993-12-28,17.88,17.88,17.88,17.88,1400,8.41
1993-12-29,17.75,18.0,17.75,17.88,43000,8.41
1993-12-30,18.0,18.12,17.88,18.0,28400,8.47
1993-12-31,18.12,18.25,18.12,18.25,10000,8.59
1994-01-03,18.0,18.25,17.88,18.12,48000,8.53
1994-01-04,18.0,18.12,17.5,17.5,40200,8.24
1994-01-05,17.38,17.38,16.88,17.12,19000,8.06
1994-01-06,17.0,17.5,17.0,17.5,6400,8.24
1994-01-07,17.25,17.5,17.25,17.38,18200,8.18
1994-01-10,17.5,17.5,17.38,17.5,18600,8.24
1994-01-11,17.25,17.25,17.0,17.12,8000,8.06
1994-01-12,17.0,17.5,17.0,17.38,20200,8.18
1994-01-13,17.38,17.38,17.0,17.25,19800,8.12
1994-01-14,16.88,17.0,16.88,17.0,38400,8.0
1994-01-17,17.0,17.12,16.88,17.0,54800,8.0
1994-01-18,17.12,17.5,17.0,17.38,46800,8.18
1994-01-19,17.5,17.5,17.0,17.0,47000,8.0
1994-01-20,17.25,17.62,17.25,17.62,120200,8.3
1994-01-21,17.62,17.62,17.25,17.25,90600,8.12
1994-01-24,17.38,17.38,17.0,17.0,16200,8.0
1994-01-25,17.0,17.12,17.0,17.0,15200,8.0
1994-01-26,16.88,16.88,16.75,16.88,11200,7.94
1994-01-27,16.88,17.0,16.88,17.0,25200,8.0
1994-01-28,16.88,17.12,16.62,17.12,58600,8.06
1994-01-31,17.12,17.12,17.0,17.12,31800,8.06
1994-02-01,16.88,17.0,16.75,17.0,16800,8.0
1994-02-02,16.75,17.12,16.75,17.0,43800,8.0
1994-02-03,16.75,16.75,16.5,16.62,25400,7.83
1994-02-04,16.38,16.62,16.12,16.25,38200,7.65
1994-02-07,16.0,16.0,15.5,15.5,41400,7.3
1994-02-08,15.5,16.12,15.5,16.12,76000,7.59
1994-02-09,16.0,16.38,16.0,16.38,62400,7.71
1994-02-10,16.38,16.38,16.25,16.25,30400,7.65
1994-02-11,16.12,16.38,16.12,16.12,22400,7.59
1994-02-14,16.12,16.25,16.0,16.25,6400,7.65
1994-02-15,16.25,16.25,16.0,16.12,39200,7.59
1994-02-16,16.12,16.25,16.12,16.12,50600,7.59
1994-02-17,16.25,16.25,16.12,16.12,19400,7.59
1994-02-18,16.12,16.25,16.12,16.12,26600,7.59
1994-02-22,16.0,16.12,16.0,16.0,15400,7.53
1994-02-23,16.0,16.0,16.0,16.0,112600,7.53
1994-02-24,15.88,15.88,15.62,15.75,40000,7.41
1994-02-25,15.62,15.75,15.5,15.62,18000,7.35
1994-02-28,15.5,15.62,15.5,15.62,33200,7.35
1994-03-01,15.75,16.62,15.62,16.0,279600,7.53
1994-03-02,16.12,16.12,15.75,16.12,184800,7.59
1994-03-03,16.25,16.5,16.12,16.12,223400,7.59
1994-03-04,16.0,16.38,16.0,16.25,35800,7.65
1994-03-07,16.38,16.38,16.0,16.0,4200,7.53
1994-03-08,16.0,16.0,15.88,15.88,14000,7.47
1994-03-09,15.75,16.0,15.75,15.75,22200,7.41
1994-03-10,15.62,15.75,15.38,15.38,10800,7.24
1994-03-11,15.38,15.5,15.25,15.5,45400,7.3
1994-03-14,15.38,15.5,15.25,15.25,18600,7.18
1994-03-15,15.25,15.5,15.25,15.5,7200,7.3
1994-03-16,15.25,15.5,15.25,15.5,50800,7.3
1994-03-17,15.75,16.62,15.75,16.25,145400,7.65
1994-03-18,16.0,16.25,16.0,16.0,17400,7.53
1994-03-21,16.12,16.12,15.75,15.75,4200,7.41
1994-03-22,15.62,15.62,15.62,15.62,1200,7.35
1994-03-23,15.88,16.25,15.88,16.0,36600,7.53
1994-03-24,16.0,16.12,15.88,16.12,23600,7.59
1994-03-25,16.0,16.25,15.88,16.0,133400,7.53
1994-03-28,15.75,15.75,15.62,15.75,20400,7.41
1994-03-29,15.62,15.62,15.38,15.38,6800,7.24
1994-03-30,15.12,15.12,14.75,14.88,160000,7.0
1994-03-31,15.0,15.0,14.75,14.75,43800,6.94
1994-04-04,14.5,14.62,14.12,14.25,76400,6.71
1994-04-05,14.62,15.0,14.38,14.75,55000,6.94
1994-04-06,14.75,15.25,14.5,14.88,83000,7.0
1994-04-07,15.0,15.12,15.0,15.12,24400,7.12
1994-04-08,15.0,15.0,15.0,15.0,16000,7.06
1994-04-11,15.12,15.12,15.0,15.0,3800,7.06
1994-04-12,15.12,15.12,14.75,14.75,142600,6.94
1994-04-13,14.75,14.75,14.62,14.62,35600,6.88
1994-04-14,14.38,14.62,14.38,14.62,25800,6.88
1994-04-15,14.62,14.62,14.38,14.38,110200,6.77
1994-04-18,14.25,14.25,14.12,14.12,1000,6.65
1994-04-19,14.0,14.0,13.75,13.75,27800,6.47
1994-04-20,13.75,13.75,13.5,13.5,25600,6.35
1994-04-21,13.38,13.38,13.12,13.25,8200,6.24
1994-04-22,13.0,13.25,13.0,13.12,21400,6.18
1994-04-25,13.12,13.12,12.88,12.88,11400,6.06
1994-04-26,12.5,13.12,12.5,12.88,332600,6.06
1994-04-28,13.0,13.25,13.0,13.12,47600,6.18
1994-04-29,13.25,13.62,13.25,13.62,53600,6.41
1994-05-02,13.5,13.62,12.75,13.62,45400,6.41
1994-05-03,13.62,13.88,13.5,13.75,50000,6.47
1994-05-04,13.5,13.75,13.5,13.62,7400,6.41
1994-05-05,13.62,13.62,13.38,13.5,8600,6.35
1994-05-06,13.38,13.38,13.0,13.0,20400,6.12
1994-05-09,13.0,13.0,12.5,12.5,85400,5.88
1994-05-10,12.5,12.5,12.25,12.5,328000,5.88
1994-05-11,12.75,12.88,12.75,12.88,91600,6.06
1994-05-12,12.75,12.88,12.75,12.88,2800,6.06
1994-05-13,12.88,12.88,12.38,12.75,9000,6.0
1994-05-16,12.62,12.75,12.25,12.75,24000,6.0
1994-05-17,12.62,12.62,12.0,12.25,49200,5.77
1994-05-18,12.25,12.5,12.25,12.5,48200,5.88
1994-05-19,12.5,12.5,12.25,12.25,78800,5.77
1994-05-20,12.38,12.38,12.25,12.25,8600,5.77
1994-05-23,12.38,12.38,12.25,12.38,7800,5.82
1994-05-24,12.38,12.62,12.0,12.25,19600,5.77
1994-05-25,12.38,12.38,12.0,12.0,75800,5.65
1994-05-26,12.12,12.25,11.88,12.0,109400,5.65
1994-05-27,12.12,12.12,11.88,12.0,144800,5.65
1994-05-31,12.12,12.12,11.88,11.88,54600,5.59
1994-06-01,11.88,12.0,11.75,12.0,24800,5.65
1994-06-02,12.0,12.0,11.75,12.0,22000,5.65
1994-06-03,12.0,12.38,12.0,12.38,35400,5.82
1994-06-06,12.38,12.5,12.0,12.38,17000,5.82
1994-06-07,12.38,12.38,12.38,12.38,1000,5.82
1994-06-08,12.25,12.44,12.25,12.38,205400,5.82
1994-06-09,12.44,12.44,12.25,12.25,1800,5.77
1994-06-10,12.25,12.25,12.12,12.25,20000,5.77
1994-06-13,12.25,12.38,12.25,12.38,20000,5.82
1994-06-14,12.25,12.5,12.25,12.5,10200,5.88
1994-06-15,12.5,12.5,12.38,12.38,14000,5.82
1994-06-16,12.5,12.5,12.12,12.25,112800,5.77
1994-06-17,12.5,12.5,12.5,12.5,11600,5.88
1994-06-20,12.38,12.62,12.25,12.25,11400,5.77
1994-06-21,12.12,12.12,11.75,11.75,54200,5.53
1994-06-22,11.88,11.88,11.88,11.88,1000,5.59
1994-06-23,11.62,11.62,11.38,11.5,15600,5.41
1994-06-24,11.25,11.25,10.88,11.0,25400,5.18
1994-06-27,11.0,11.38,11.0,11.38,17600,5.35
1994-06-28,11.25,11.38,11.12,11.38,15000,5.35
1994-06-29,11.25,11.75,11.25,11.75,6400,5.53
1994-06-30,11.62,13.25,11.5,13.25,63200,6.24
1994-07-01,12.75,12.75,12.5,12.5,29800,5.88
1994-07-05,12.5,12.5,12.25,12.25,61000,5.77
1994-07-06,12.25,12.25,12.0,12.0,12000,5.65
1994-07-07,12.0,12.0,12.0,12.0,4400,5.65
1994-07-08,12.0,12.0,11.88,12.0,61600,5.65
1994-07-11,11.88,12.0,11.75,11.75,14800,5.53
1994-07-12,11.75,12.0,11.75,12.0,33000,5.65
1994-07-13,11.75,11.75,11.75,11.75,4000,5.53
1994-07-14,11.62,11.75,11.5,11.62,34800,5.47
1994-07-15,11.5,11.88,11.5,11.75,12000,5.53
1994-07-18,11.75,11.88,11.75,11.75,20000,5.53
1994-07-19,11.88,11.88,11.75,11.75,10800,5.53
1994-07-20,11.75,11.75,11.62,11.62,4800,5.47
1994-07-21,11.75,11.75,11.5,11.5,14600,5.41
1994-07-22,11.25,11.38,11.25,11.25,3200,5.3
1994-07-25,11.5,11.62,11.38,11.5,21000,5.41
1994-07-26,11.38,11.38,11.25,11.25,3000,5.3
1994-07-27,11.25,11.25,11.12,11.12,14000,5.24
1994-07-28,11.0,11.0,10.62,10.62,20200,5.0
1994-07-29,10.5,10.62,10.38,10.62,23600,5.0
1994-08-01,10.62,11.12,10.62,11.0,38800,5.18
1994-08-02,11.0,11.25,10.88,11.12,22200,5.24
1994-08-03,10.75,11.12,10.75,10.88,80600,5.12
1994-08-04,11.12,11.12,11.0,11.0,5400,5.18
1994-08-05,10.88,10.88,10.88,10.88,200,5.12
1994-08-08,10.75,10.75,10.75,10.75,7400,5.06
1994-08-09,10.75,10.88,10.75,10.88,3000,5.12
1994-08-10,10.88,10.88,10.88,10.88,0,5.12
1994-08-11,10.88,10.88,10.88,10.88,0,5.12
1994-08-12,10.75,10.75,10.75,10.75,24400,5.06
1994-08-15,10.75,10.88,10.75,10.75,35600,5.06
1994-08-16,10.88,10.88,10.62,10.62,3400,5.0
1994-08-17,10.5,10.75,10.5,10.62,12400,5.0
1994-08-18,10.62,10.62,10.62,10.62,4000,5.0
1994-08-19,10.62,10.62,10.62,10.62,5200,5.0
1994-08-22,10.5,10.5,10.5,10.5,1600,4.94
1994-08-23,10.5,10.62,10.5,10.62,4000,5.0
1994-08-24,10.5,10.62,10.5,10.62,8800,5.0
1994-08-25,10.62,10.75,10.62,10.62,16800,5.0
1994-08-26,10.75,11.25,10.75,11.12,15800,5.24
1994-08-29,11.25,11.62,11.25,11.62,39000,5.47
1994-08-30,11.62,11.62,11.5,11.5,4400,5.41
1994-08-31,11.5,11.75,11.5,11.75,5800,5.53
1994-09-01,11.62,11.62,11.38,11.38,10600,5.35
1994-09-02,11.25,11.5,11.25,11.5,2200,5.41
1994-09-06,11.75,11.75,11.5,11.62,3000,5.47
1994-09-07,11.5,11.5,11.5,11.5,3600,5.41
1994-09-08,11.62,11.88,11.62,11.62,2400,5.47
1994-09-09,11.5,11.5,11.38,11.38,6800,5.35
1994-09-12,11.25,11.25,11.12,11.12,5000,5.24
1994-09-13,11.0,11.0,10.5,10.62,51000,5.0
1994-09-14,10.38,10.5,10.38,10.5,38600,4.94
1994-09-15,10.62,10.75,10.62,10.75,14600,5.06
1994-09-16,10.88,11.0,10.62,11.0,36400,5.18
1994-09-19,11.12,11.12,11.12,11.12,2200,5.24
1994-09-20,10.88,10.88,10.88,10.88,19600,5.12
1994-09-21,11.0,11.0,10.75,10.88,1800,5.12
1994-09-22,10.75,11.12,10.75,11.12,20400,5.24
1994-09-23,11.12,11.12,11.0,11.0,1000,5.18
1994-09-26,10.75,11.0,10.38,10.38,23200,4.88
1994-09-27,10.38,10.38,10.38,10.38,400,4.88
1994-09-28,10.38,10.38,10.0,10.25,41000,4.82
1994-09-29,10.25,10.25,10.12,10.12,2000,4.77
1994-09-30,10.0,10.25,10.0,10.25,15800,4.82
1994-10-03,10.25,10.25,9.75,9.88,21400,4.65
1994-10-04,10.0,10.0,9.75,9.88,8000,4.65
1994-10-05,9.62,9.62,9.25,9.5,29400,4.47
1994-10-06,9.5,9.75,9.5,9.75,2600,4.59
1994-10-07,9.62,9.62,9.25,9.25,34400,4.35
1994-10-10,9.38,9.38,9.25,9.25,4400,4.35
1994-10-11,9.25,9.25,9.0,9.0,13000,4.24
1994-10-12,9.0,9.12,9.0,9.0,14000,4.24
1994-10-13,9.12,9.12,8.38,8.75,46200,4.12
1994-10-14,8.75,8.75,8.5,8.5,19200,4.0
1994-10-17,8.62,8.62,8.62,8.62,2000,4.06
1994-10-18,8.62,8.62,8.5,8.62,10400,4.06
1994-10-19,8.38,8.5,8.12,8.25,14600,3.88
1994-10-20,8.38,8.5,8.38,8.38,10600,3.94
1994-10-21,8.38,8.5,8.38,8.5,7000,4.0
1994-10-24,8.62,8.75,8.62,8.62,13200,4.06
1994-10-25,8.62,8.62,8.62,8.62,0,4.06
1994-10-26,8.62,8.62,8.62,8.62,17600,4.06
1994-10-27,8.62,8.62,8.5,8.62,10000,4.06
1994-10-28,8.5,8.62,8.5,8.5,3200,4.0
1994-10-31,8.62,8.62,8.38,8.5,15600,4.0
1994-11-01,8.25,8.25,7.88,7.88,32800,3.71
1994-11-02,8.0,8.38,8.0,8.0,53600,3.77
1994-11-03,8.12,8.25,8.12,8.12,39600,3.82
1994-11-04,8.12,8.25,8.12,8.12,2400,3.82
1994-11-07,8.12,8.38,8.12,8.25,19600,3.88
1994-11-08,8.25,8.25,8.25,8.25,3400,3.88
1994-11-09,8.12,8.38,8.12,8.25,6800,3.88
1994-11-10,8.25,8.25,8.0,8.12,40600,3.82
1994-11-11,8.12,8.12,8.0,8.0,7400,3.77
1994-11-14,8.0,8.25,8.0,8.12,15600,3.82
1994-11-15,8.12,8.12,8.0,8.0,8800,3.77
1994-11-16,8.0,8.12,8.0,8.0,7800,3.77
1994-11-17,8.0,8.0,7.75,7.88,26200,3.71
1994-11-18,7.75,8.0,7.75,7.75,19600,3.65
1994-11-21,7.5,7.5,7.12,7.25,62200,3.41
1994-11-22,7.12,7.25,6.88,6.88,40600,3.24
1994-11-23,6.75,7.12,6.75,7.0,26400,3.29
1994-11-25,6.88,7.0,6.88,6.88,28200,3.24
1994-11-28,7.0,7.12,7.0,7.12,29800,3.35
1994-11-29,7.12,7.38,7.12,7.38,39200,3.47
1994-11-30,7.38,7.75,7.12,7.75,80800,3.65
1994-12-01,7.75,7.88,7.5,7.5,26600,3.53
1994-12-02,7.38,7.38,7.0,7.0,10200,3.29
1994-12-05,7.0,7.12,6.88,7.0,9400,3.29
1994-12-06,6.88,7.0,6.88,7.0,5600,3.29
1994-12-07,7.0,7.12,6.88,7.0,8600,3.29
1994-12-08,7.0,7.0,6.88,7.0,27600,3.29
1994-12-09,6.88,6.88,6.75,6.88,14400,3.24
1994-12-12,6.75,6.75,6.75,6.75,2400,3.18
1994-12-13,6.75,7.0,6.75,6.88,18000,3.24
1994-12-14,7.0,7.12,7.0,7.12,19400,3.35
1994-12-15,7.0,7.75,6.88,7.62,37800,3.59
1994-12-16,7.75,7.75,7.12,7.25,20400,3.41
1994-12-19,7.38,7.5,7.38,7.38,5600,3.47
1994-12-20,7.38,7.5,7.12,7.38,41800,3.47
1994-12-21,7.38,7.62,7.25,7.5,22400,3.53
1994-12-22,7.62,7.75,7.5,7.5,20000,3.53
1994-12-23,7.38,7.5,7.38,7.5,7600,3.53
1994-12-27,7.5,7.5,7.25,7.25,47600,3.41
1994-12-28,7.12,7.12,6.88,6.88,41200,3.24
