Date,Open,High,Low,Close,Volume,Adj Close
2013-10-31,13.4,14.74,13.09,13.42,2530100,13.42
2013-11-01,13.6,14.39,13.4,13.91,269100,13.91
2013-11-04,14.49,14.49,13.87,14.02,63100,14.02
2013-11-05,13.98,14.04,13.21,13.59,45100,13.59
2013-11-06,13.8,13.93,13.64,13.92,36800,13.92
2013-11-07,14.0,14.09,13.87,14.0,33600,14.0
2013-11-08,13.99,14.01,13.51,13.66,63000,13.66
2013-11-11,13.75,13.96,13.51,13.66,44600,13.66
2013-11-12,13.75,13.75,13.34,13.4,174600,13.4
2013-11-13,13.35,13.62,13.35,13.57,47500,13.57
2013-11-14,13.57,13.67,13.15,13.15,270800,13.15
2013-11-15,13.1,13.25,13.1,13.15,41400,13.15
2013-11-18,13.25,13.64,13.15,13.6,70200,13.6
2013-11-19,13.6,13.67,13.48,13.48,6900,13.48
2013-11-20,13.35,13.87,13.22,13.82,30000,13.82
2013-11-21,13.96,14.05,13.89,13.96,54200,13.96
2013-11-22,13.82,14.21,13.69,14.2,13500,14.2
2013-11-25,14.29,14.29,13.98,14.18,6800,14.18
2013-11-26,14.18,14.3,13.79,13.87,61300,13.87
2013-11-27,13.87,14.32,13.64,13.86,95900,13.86
2013-11-29,13.99,14.15,13.6,13.72,8900,13.72
2013-12-02,13.73,14.34,13.46,14.24,47400,14.24
2013-12-03,14.19,15.1,13.56,14.75,46900,14.75
2013-12-04,15.13,15.13,14.47,14.75,88600,14.75
2013-12-05,15.0,15.0,14.52,14.52,16800,14.52
2013-12-06,14.51,14.93,13.8,13.88,20100,13.88
2013-12-09,13.88,14.95,13.8,14.48,37800,14.48
2013-12-10,14.48,14.73,14.27,14.48,31800,14.48
2013-12-11,14.44,14.74,14.4,14.41,22700,14.41
2013-12-12,14.41,14.41,14.0,14.09,99200,14.09
2013-12-13,14.21,14.33,14.07,14.26,22800,14.26
2013-12-16,14.34,14.59,14.31,14.45,45900,14.45
2013-12-17,14.51,14.51,14.22,14.38,59600,14.38
2013-12-18,14.29,15.05,14.17,14.91,69800,14.91
2013-12-19,14.98,15.1,14.88,14.97,145900,14.97
2013-12-20,14.97,15.39,14.66,14.8,599000,14.8
2013-12-23,14.9,15.7,14.75,15.21,88700,15.21
2013-12-24,15.18,15.19,14.69,14.95,9100,14.95
2013-12-26,15.04,15.04,14.52,14.6,20700,14.6
2013-12-27,14.6,14.78,14.52,14.68,32100,14.68
2013-12-30,14.66,14.66,13.92,14.07,40100,14.07
2013-12-31,14.14,14.94,14.11,14.9,65300,14.9
2014-01-02,14.81,14.81,14.21,14.54,52400,14.54
2014-01-03,14.53,14.66,14.41,14.6,42100,14.6
2014-01-06,14.62,14.62,14.35,14.52,41900,14.52
2014-01-07,14.48,14.83,13.87,13.88,44800,13.88
2014-01-08,13.91,14.5,13.56,14.49,138900,14.49
2014-01-09,14.5,14.5,14.25,14.43,39100,14.43
2014-01-10,14.38,14.6,14.37,14.44,25500,14.44
2014-01-13,14.38,14.61,14.05,14.31,34200,14.31
2014-01-14,14.42,14.54,14.31,14.46,18900,14.46
2014-01-15,14.52,15.0,14.51,14.84,30100,14.84
2014-01-16,14.87,14.87,14.7,14.84,29100,14.84
2014-01-17,14.9,15.2,14.85,14.87,18700,14.87
2014-01-21,14.92,14.92,14.62,14.71,10900,14.71
2014-01-22,14.67,15.06,14.67,15.0,20300,15.0
2014-01-23,14.85,15.01,14.79,14.88,11800,14.88
