Date,Open,High,Low,Close,Volume,Adj Close
1992-07-17,12.0,12.0,11.62,11.88,180600,2.65
1992-07-20,11.88,12.0,11.88,11.88,96800,2.65
1992-07-21,12.0,12.0,11.88,12.0,73300,2.68
1992-07-22,12.0,12.0,11.88,11.88,84300,2.65
1992-07-23,11.88,12.0,11.88,12.0,43500,2.68
1992-07-24,12.0,12.0,11.88,12.0,73600,2.68
1992-07-27,12.0,12.0,11.88,11.88,37500,2.65
1992-07-28,11.88,12.0,11.88,12.0,84100,2.68
1992-07-29,12.0,12.25,11.88,12.25,119800,2.73
1992-07-30,12.12,12.25,12.12,12.25,85100,2.73
1992-07-31,12.12,12.25,12.12,12.25,103900,2.73
1992-08-03,12.25,12.38,12.12,12.25,37800,2.73
1992-08-04,12.25,12.38,12.25,12.38,65000,2.76
1992-08-05,12.38,12.38,12.25,12.38,49500,2.76
1992-08-06,12.38,12.38,12.25,12.38,77500,2.76
1992-08-07,12.38,12.5,12.38,12.5,36200,2.79
1992-08-10,12.38,12.5,12.38,12.38,59200,2.76
1992-08-11,12.5,12.5,12.38,12.38,60100,2.76
1992-08-12,12.38,12.5,12.38,12.5,79100,2.79
1992-08-13,12.5,12.5,12.38,12.38,33900,2.76
1992-08-14,12.5,12.5,12.38,12.38,104700,2.76
1992-08-17,12.25,12.38,12.25,12.25,39600,2.73
1992-08-18,12.38,12.38,12.25,12.25,56900,2.73
1992-08-19,12.38,12.38,12.25,12.25,47300,2.73
1992-08-20,12.25,12.38,12.25,12.38,27400,2.76
1992-08-21,12.38,12.38,12.25,12.38,55700,2.76
1992-08-24,12.38,12.38,12.25,12.25,15700,2.73
1992-08-25,12.38,12.38,12.25,12.38,102800,2.76
1992-08-26,12.38,12.38,12.25,12.38,55000,2.76
1992-08-27,12.38,12.38,12.25,12.38,41300,2.76
1992-08-28,12.38,12.38,12.25,12.25,65200,2.73
1992-08-31,12.38,12.38,12.25,12.38,17700,2.76
1992-09-01,12.25,12.25,12.12,12.25,16800,2.73
1992-09-02,12.25,12.25,12.12,12.12,23400,2.71
1992-09-03,12.12,12.25,12.12,12.25,32200,2.73
1992-09-04,12.25,12.25,12.12,12.25,16200,2.73
1992-09-08,12.12,12.25,12.12,12.12,18200,2.71
1992-09-09,12.25,12.25,12.12,12.25,16400,2.73
1992-09-10,12.25,12.25,12.12,12.12,16600,2.71
1992-09-11,12.25,12.25,12.12,12.25,20700,2.73
1992-09-14,12.25,12.25,12.12,12.25,24500,2.73
1992-09-15,12.25,12.25,12.12,12.25,25600,2.73
1992-09-16,12.25,12.25,12.12,12.12,28600,2.71
1992-09-17,12.12,12.25,12.0,12.12,56800,2.72
1992-09-18,12.12,12.12,12.0,12.12,40000,2.72
1992-09-21,12.0,12.12,11.88,12.12,37700,2.72
1992-09-22,12.0,12.12,11.88,11.88,19200,2.66
1992-09-23,11.88,11.88,11.88,11.88,23000,2.66
1992-09-24,11.88,12.0,11.75,12.0,22500,2.69
1992-09-25,11.88,12.0,11.75,11.88,17100,2.66
1992-09-28,12.0,12.0,11.88,12.0,31000,2.69
1992-09-29,12.0,12.0,11.88,12.0,19200,2.69
1992-09-30,12.0,12.0,12.0,12.0,23300,2.69
1992-10-01,11.88,12.12,11.88,12.0,71000,2.69
1992-10-02,12.0,12.12,12.0,12.0,120500,2.69
1992-10-05,12.12,12.25,12.0,12.12,75800,2.72
1992-10-06,12.12,12.25,12.0,12.0,36600,2.69
1992-10-07,12.12,12.12,12.0,12.0,24200,2.69
1992-10-08,12.12,12.12,12.0,12.12,49500,2.72
1992-10-09,12.12,12.12,12.0,12.12,32300,2.72
1992-10-12,12.12,12.12,12.0,12.12,37700,2.72
1992-10-13,12.12,12.12,12.0,12.0,13300,2.69
1992-10-14,12.12,12.12,11.38,12.12,24200,2.72
1992-10-15,12.12,12.12,11.88,12.12,29900,2.72
1992-10-16,12.12,12.12,12.0,12.12,27700,2.72
1992-10-19,12.0,12.12,11.88,12.0,57300,2.73
1992-10-20,12.0,12.0,11.88,12.0,58900,2.73
1992-10-21,11.88,12.0,11.88,11.88,32300,2.7
1992-10-22,11.88,11.88,11.62,11.75,34000,2.68
1992-10-23,11.75,11.88,11.62,11.62,23400,2.65
1992-10-26,11.75,11.75,11.5,11.62,36100,2.65
1992-10-27,11.62,11.75,11.62,11.62,15600,2.65
1992-10-28,11.5,11.5,11.38,11.38,40700,2.59
1992-10-29,11.25,11.25,11.0,11.25,62900,2.56
1992-10-30,11.25,11.5,11.25,11.5,71300,2.62
1992-11-02,11.5,12.0,11.38,11.88,111700,2.7
1992-11-03,11.88,12.0,11.88,11.88,185900,2.7
