Date,Open,High,Low,Close,Volume,Adj Close
1989-06-30,21.62,21.62,21.38,21.38,23800,10.62
1989-07-03,21.38,21.5,21.38,21.38,4200,10.62
1989-07-05,21.62,21.62,21.5,21.62,40700,10.74
1989-07-06,21.62,21.62,21.5,21.62,8500,10.74
1989-07-07,21.62,22.63,21.62,22.25,455500,11.05
1989-07-10,22.25,23.25,22.13,23.25,245700,11.55
1989-07-11,23.38,24.38,23.38,24.25,224200,12.05
1989-07-12,24.38,26.5,24.38,26.0,249700,12.92
1989-07-13,26.38,28.25,26.38,27.37,237600,13.6
1989-07-14,27.63,27.75,26.25,26.75,81600,13.29
1989-07-17,27.0,27.0,25.88,27.0,62000,13.41
1989-07-18,27.0,27.0,26.75,26.88,20300,13.35
1989-07-19,26.62,26.88,26.62,26.62,21600,13.23
1989-07-20,26.75,26.75,26.0,26.0,70200,12.92
1989-07-21,26.12,26.5,26.12,26.5,16100,13.17
1989-07-24,26.62,26.75,26.38,26.5,17700,13.17
1989-07-25,26.62,26.75,26.38,26.5,32800,13.17
1989-07-26,26.62,26.62,26.38,26.62,34200,13.23
1989-07-27,26.5,26.5,25.88,26.0,36600,12.92
1989-07-28,25.88,26.25,25.13,25.13,37500,12.48
1989-07-31,25.25,25.75,25.13,25.5,41100,12.67
1989-08-01,25.62,25.88,25.62,25.75,17000,12.79
1989-08-02,25.88,26.12,25.88,26.0,42300,12.92
1989-08-03,26.25,27.37,26.12,27.37,65600,13.6
1989-08-04,27.5,27.63,27.25,27.37,20000,13.6
1989-08-07,27.13,27.75,27.13,27.75,51300,13.79
1989-08-08,27.87,30.88,27.5,29.75,51200,14.78
1989-08-09,29.12,30.0,28.75,29.75,64300,14.78
1989-08-10,29.63,29.75,28.75,29.25,35100,14.53
1989-08-11,29.38,29.38,28.25,28.25,15000,14.03
1989-08-14,28.12,28.38,28.0,28.25,11000,14.03
1989-08-15,28.12,28.38,28.0,28.25,12300,14.03
1989-08-16,28.25,28.25,28.0,28.12,20800,13.97
1989-08-17,28.25,28.25,28.0,28.0,13200,13.91
1989-08-18,28.0,28.0,27.75,28.0,11100,13.91
1989-08-21,28.12,28.12,27.63,27.75,15200,13.79
1989-08-22,27.75,27.75,27.37,27.37,6700,13.6
1989-08-23,27.37,27.63,27.0,27.25,25100,13.54
1989-08-24,27.13,27.25,27.0,27.13,6100,13.48
1989-08-25,27.25,27.63,27.13,27.63,12100,13.72
1989-08-28,27.63,27.75,27.5,27.63,14200,13.72
1989-08-29,27.63,27.75,26.75,27.13,17500,13.48
1989-08-30,27.13,27.13,26.62,26.62,6000,13.24
1989-08-31,26.5,26.5,26.0,26.25,32000,13.06
1989-09-01,26.25,26.38,26.12,26.38,23800,13.12
1989-09-05,26.5,26.88,26.5,26.88,37800,13.37
1989-09-06,26.88,26.88,26.5,26.62,11100,13.24
1989-09-07,26.62,26.62,26.5,26.5,4800,13.18
1989-09-08,26.38,26.62,26.38,26.62,3100,13.24
1989-09-11,26.5,26.5,26.38,26.38,3100,13.12
1989-09-12,26.38,26.5,26.12,26.12,5000,12.99
1989-09-13,26.0,26.38,26.0,26.25,14200,13.06
1989-09-14,26.12,26.12,25.25,25.5,17800,12.68
1989-09-15,25.5,25.5,25.0,25.0,4100,12.43
1989-09-18,25.0,25.0,24.5,24.5,35300,12.19
1989-09-19,24.5,25.0,24.5,24.87,41100,12.37
1989-09-20,25.0,25.13,24.87,25.0,17600,12.43
1989-09-21,25.0,25.13,24.87,25.0,18300,12.43
1989-09-22,25.0,25.0,24.87,25.0,10800,12.43
1989-09-25,25.0,25.62,25.0,25.62,22000,12.74
1989-09-26,25.62,26.38,25.62,26.38,28500,13.12
1989-09-27,26.25,26.5,26.12,26.12,15000,12.99
