Date,Open,High,Low,Close,Volume,Adj Close
1996-12-13,14.25,14.25,13.88,14.0,5939400,7.0
1996-12-16,14.0,14.12,14.0,14.0,1176400,7.0
1996-12-17,13.75,14.12,13.75,13.75,480200,6.88
1996-12-18,13.75,14.12,13.75,14.12,311800,7.06
1996-12-19,13.75,14.12,13.75,13.75,44000,6.88
1996-12-20,13.75,14.12,13.75,13.75,37400,6.88
1996-12-23,14.12,14.12,13.75,13.75,92000,6.88
1996-12-24,13.75,14.12,13.75,13.75,26800,6.88
1996-12-26,13.88,14.12,13.88,13.88,11000,6.94
1996-12-27,14.0,14.0,13.5,13.5,255600,6.75
1996-12-30,13.5,13.62,13.5,13.5,139600,6.75
1996-12-31,13.5,13.62,12.5,12.75,186800,6.38
1997-01-02,12.88,12.88,12.88,12.88,50000,6.44
1997-01-03,13.0,13.0,12.88,12.94,71400,6.47
1997-01-06,13.0,13.0,12.88,12.88,48000,6.44
1997-01-07,13.0,13.62,12.88,13.12,77200,6.56
1997-01-08,13.62,13.62,13.0,13.0,61800,6.5
1997-01-09,13.0,13.62,13.0,13.0,25000,6.5
1997-01-10,13.0,13.75,13.0,13.38,29400,6.69
1997-01-13,13.38,13.75,13.38,13.75,39000,6.88
1997-01-14,13.38,13.75,13.0,13.0,35800,6.5
1997-01-15,13.12,13.38,13.12,13.12,43400,6.56
1997-01-16,13.12,13.38,13.12,13.12,17400,6.56
1997-01-17,13.38,13.62,13.12,13.12,21000,6.56
1997-01-20,13.25,13.62,13.25,13.5,28600,6.75
1997-01-21,13.88,13.88,13.25,13.88,380200,6.94
1997-01-22,14.0,14.0,13.62,13.88,99000,6.94
1997-01-23,13.75,13.88,13.38,13.38,35600,6.69
1997-01-24,13.38,13.88,13.38,13.88,50600,6.94
1997-01-27,13.38,13.88,13.12,13.12,7400,6.56
1997-01-28,13.12,13.75,13.12,13.75,126600,6.88
1997-01-29,13.75,13.75,13.12,13.12,74200,6.56
1997-01-30,13.12,13.62,13.12,13.62,25600,6.81
1997-01-31,13.12,13.62,13.12,13.12,61400,6.56
1997-02-03,13.12,14.25,13.12,14.12,186000,7.06
1997-02-04,14.25,14.5,13.81,14.5,146000,7.25
1997-02-05,14.38,14.5,14.0,14.0,26800,7.0
1997-02-06,14.0,14.62,14.0,14.38,722000,7.19
1997-02-07,14.12,14.25,14.0,14.0,70200,7.0
1997-02-10,14.0,14.5,14.0,14.0,16400,7.0
1997-02-11,14.5,14.5,14.0,14.0,28200,7.0
1997-02-12,14.0,14.38,14.0,14.0,25000,7.0
1997-02-13,14.0,19.5,14.0,19.5,247800,9.75
1997-02-14,16.75,18.5,15.25,18.0,261000,9.0
1997-02-18,17.75,18.75,17.25,17.25,95800,8.62
1997-02-19,17.25,19.5,17.25,19.0,147800,9.5
1997-02-20,18.5,19.0,17.75,18.75,149600,9.38
1997-02-21,17.75,18.75,17.75,18.75,38200,9.38
1997-02-24,18.75,18.75,17.75,18.5,15400,9.25
1997-02-25,18.19,18.19,17.75,17.75,13600,8.88
1997-02-26,17.75,17.88,17.75,17.88,6000,8.94
1997-02-27,17.75,18.25,17.75,18.25,55000,9.12
1997-02-28,17.75,19.12,17.75,19.12,70800,9.56
1997-03-03,19.25,19.25,18.5,18.75,13600,9.38
1997-03-04,19.0,19.0,18.5,19.0,8600,9.5
1997-03-05,19.0,19.0,18.5,19.0,22000,9.5
