Date,Open,High,Low,Close,Volume,Adj Close
1992-03-17,19.0,19.0,19.0,19.0,700,3.34
1992-03-18,19.0,19.12,19.0,19.12,2700,3.36
1992-03-19,19.0,19.0,19.0,19.0,20100,3.34
1992-03-20,19.25,19.25,19.0,19.12,9000,3.36
1992-03-23,19.0,19.0,19.0,19.0,200,3.34
1992-03-24,19.0,19.0,19.0,19.0,9400,3.34
1992-03-25,19.0,19.0,19.0,19.0,300,3.34
1992-03-26,19.12,19.12,19.0,19.0,1900,3.34
1992-03-27,19.0,19.12,19.0,19.12,28800,3.36
1992-03-30,19.12,19.25,19.12,19.25,4500,3.38
1992-03-31,19.5,19.5,19.5,19.5,2900,3.43
1992-04-01,19.38,19.75,19.38,19.5,2900,3.43
1992-04-02,19.62,20.25,19.62,20.25,18200,3.56
1992-04-03,20.25,21.0,20.25,20.87,29900,3.67
1992-04-06,20.63,20.87,20.25,20.87,27200,3.67
1992-04-07,20.87,20.87,20.5,20.5,4100,3.6
1992-04-08,20.25,20.25,20.0,20.0,4100,3.51
1992-04-09,19.88,19.88,19.5,19.5,10700,3.43
1992-04-10,19.75,20.0,19.5,19.62,74200,3.45
1992-04-13,19.5,20.63,19.5,20.63,232400,3.62
1992-04-14,20.75,21.38,20.75,20.87,178200,3.67
1992-04-15,20.87,21.25,20.87,21.25,61000,3.73
1992-04-16,21.25,21.38,21.0,21.38,97500,3.76
1992-04-20,21.25,21.38,21.13,21.38,58600,3.76
1992-04-21,21.25,21.38,21.13,21.13,3300,3.71
1992-04-22,21.0,21.38,21.0,21.25,53100,3.73
1992-04-23,21.38,21.75,21.38,21.75,87000,3.82
1992-04-24,21.63,21.88,21.63,21.88,15400,3.84
1992-04-27,22.0,22.13,22.0,22.13,22800,3.89
1992-04-28,22.0,22.38,22.0,22.38,77600,3.93
1992-04-29,22.25,22.5,22.25,22.5,25400,3.95
1992-04-30,22.38,23.38,22.38,23.38,75500,4.11
1992-05-01,23.38,23.38,23.13,23.13,10100,4.06
1992-05-04,23.0,23.5,23.0,23.5,24200,4.13
1992-05-05,23.5,24.5,23.38,23.75,133700,4.17
