Date,Open,High,Low,Close,Volume,Adj Close
1997-09-30,18.0,18.75,18.0,18.75,22500,2.65
1997-10-01,18.5,18.62,18.38,18.62,33300,2.63
1997-10-02,18.62,18.75,18.62,18.75,5000,2.65
1997-10-03,18.62,18.62,18.5,18.5,5300,2.62
1997-10-06,18.38,18.38,18.38,18.38,1000,2.6
1997-10-07,18.38,18.38,18.38,18.38,0,2.6
1997-10-08,18.25,18.25,18.25,18.25,5300,2.58
1997-10-09,18.0,18.62,18.0,18.38,71200,2.6
1997-10-10,18.25,18.38,18.25,18.25,13500,2.58
1997-10-13,18.38,18.38,18.38,18.38,7500,2.6
1997-10-14,18.25,18.5,18.25,18.5,48700,2.62
1997-10-15,18.56,19.38,18.56,19.12,28300,2.71
1997-10-16,19.06,19.38,19.0,19.12,18800,2.71
1997-10-17,19.12,19.19,19.06,19.06,8800,2.7
1997-10-20,19.12,19.19,18.88,19.0,5100,2.69
1997-10-21,19.0,19.0,18.88,18.88,18700,2.67
1997-10-22,18.88,18.88,18.75,18.88,15200,2.67
1997-10-23,18.62,18.62,18.38,18.38,8900,2.64
1997-10-24,18.44,18.5,18.44,18.5,1700,2.66
1997-10-27,18.38,18.38,18.12,18.25,1700,2.62
1997-10-28,18.12,18.12,17.62,17.94,23000,2.58
1997-10-29,17.94,17.94,17.94,17.94,3200,2.58
1997-10-30,17.81,17.81,17.5,17.5,7300,2.52
1997-10-31,17.5,17.5,17.38,17.38,3100,2.5
1997-11-03,17.5,17.56,17.5,17.56,4200,2.52
1997-11-04,17.56,17.62,17.56,17.62,10400,2.53
1997-11-05,17.62,17.69,17.62,17.62,7900,2.53
1997-11-06,17.69,17.69,17.62,17.62,24400,2.53
1997-11-07,17.62,17.62,17.62,17.62,9500,2.53
1997-11-10,17.5,17.62,17.5,17.62,15600,2.53
1997-11-11,17.62,17.62,17.62,17.62,8800,2.53
1997-11-12,17.5,17.5,17.5,17.5,4000,2.52
1997-11-13,17.38,17.5,17.38,17.5,21300,2.52
1997-11-14,17.5,17.5,17.5,17.5,1000,2.52
1997-11-17,17.5,17.5,17.5,17.5,2100,2.52
1997-11-18,17.44,17.5,17.44,17.5,4900,2.52
1997-11-19,17.38,17.5,17.38,17.5,6000,2.52
1997-11-20,17.5,17.62,17.5,17.62,7500,2.53
1997-11-21,17.62,17.62,17.62,17.62,8600,2.53
1997-11-24,17.5,17.56,17.44,17.5,9500,2.52
1997-11-25,17.38,17.5,17.38,17.5,3600,2.52
1997-11-26,17.25,17.5,17.25,17.5,104100,2.52
1997-11-28,17.38,17.5,17.38,17.5,3700,2.52
1997-12-01,17.5,17.5,17.5,17.5,500,2.52
1997-12-02,17.5,17.5,17.5,17.5,1100,2.52
1997-12-03,17.38,17.38,17.38,17.38,300,2.5
1997-12-04,17.5,17.62,17.5,17.62,1800,2.53
1997-12-05,17.5,17.62,17.5,17.62,30000,2.53
1997-12-08,17.62,17.75,17.62,17.62,11500,2.53
1997-12-09,17.69,17.69,17.69,17.69,500,2.54
1997-12-10,17.75,17.75,17.75,17.75,1500,2.55
1997-12-11,17.62,17.62,16.75,16.75,30000,2.41
1997-12-12,16.75,16.75,16.75,16.75,12600,2.41
1997-12-15,16.88,17.0,16.88,17.0,8000,2.44
1997-12-16,17.0,17.0,17.0,17.0,6600,2.44
1997-12-17,16.75,16.81,16.75,16.81,6000,2.42
1997-12-18,16.88,16.88,16.88,16.88,1500,2.43
1997-12-19,16.88,16.88,16.62,16.62,2000,2.39
1997-12-22,16.62,16.75,16.38,16.75,67100,2.41
1997-12-23,16.5,16.5,16.5,16.5,1000,2.37
1997-12-24,16.5,16.5,16.5,16.5,0,2.37
1997-12-26,16.5,16.5,16.5,16.5,10000,2.37
1997-12-29,16.62,16.62,16.38,16.38,5000,2.35
1997-12-30,16.44,16.44,16.44,16.44,1000,2.36
1997-12-31,16.38,16.5,16.31,16.5,11400,2.37
1998-01-02,16.5,16.5,16.5,16.5,1000,2.37
1998-01-05,16.5,16.5,16.5,16.5,100,2.37
1998-01-06,16.5,16.5,16.38,16.38,1600,2.35
1998-01-07,16.44,16.44,16.44,16.44,500,2.36
1998-01-08,16.19,16.44,16.19,16.44,5700,2.36
1998-01-09,16.44,16.44,16.38,16.38,2000,2.35
1998-01-12,16.44,16.44,16.25,16.25,21000,2.34
1998-01-13,16.0,16.0,15.88,15.94,12000,2.29
1998-01-14,15.88,16.0,15.88,16.0,68200,2.3
1998-01-15,16.12,16.12,16.0,16.0,28800,2.3
1998-01-16,16.0,16.12,16.0,16.0,13300,2.3
1998-01-20,16.12,16.12,16.12,16.12,4100,2.32
1998-01-21,16.0,16.0,16.0,16.0,3000,2.3
