Date,Open,High,Low,Close,Volume,Adj Close
2005-01-28,14.25,16.19,14.25,15.58,2435800,12.86
2005-01-31,15.99,15.99,15.28,15.55,437800,12.84
2005-02-01,15.6,16.32,15.41,16.1,123700,13.29
2005-02-02,16.2,16.25,15.65,16.06,546100,13.26
2005-02-03,15.92,16.3,15.77,16.2,125700,13.37
2005-02-04,16.01,16.4,16.0,16.0,140300,13.21
2005-02-07,16.0,16.16,15.75,16.1,225900,13.29
2005-02-08,16.0,16.05,15.75,16.0,47400,13.21
2005-02-09,16.05,16.62,16.0,16.2,35500,13.37
2005-02-10,16.8,16.8,16.1,16.65,25300,13.74
2005-02-11,17.05,17.15,16.25,16.35,150800,13.5
2005-02-14,16.24,18.0,16.24,17.79,89000,14.69
2005-02-15,18.4,18.75,17.52,18.31,103400,15.11
2005-02-16,19.09,19.09,16.61,18.29,83400,15.1
2005-02-17,18.04,18.4,18.04,18.23,51900,15.05
2005-02-18,18.0,18.0,17.0,17.57,62500,14.5
2005-02-22,17.51,19.15,14.3,17.5,106700,14.45
2005-02-23,17.5,18.0,16.95,17.65,28700,14.57
2005-02-24,18.22,18.22,17.5,17.5,27600,14.45
2005-02-25,17.7,18.03,17.5,18.03,59400,14.88
2005-02-28,17.05,17.9,17.05,17.9,16700,14.78
2005-03-01,17.75,18.0,17.15,17.88,179000,14.76
2005-03-02,17.8,18.4,17.66,18.22,49200,15.04
2005-03-03,18.0,18.38,18.0,18.35,8100,15.15
2005-03-04,17.86,18.5,17.82,18.41,33200,15.2
2005-03-07,18.0,18.75,18.0,18.26,36300,15.07
2005-03-08,18.02,18.26,18.0,18.12,23700,14.96
2005-03-09,18.25,18.25,18.0,18.01,19100,14.87
2005-03-10,18.0,18.19,18.0,18.05,35300,14.9
2005-03-11,18.0,18.17,18.0,18.0,139100,14.86
2005-03-14,17.9,18.15,17.83,18.0,103100,14.86
2005-03-15,17.99,18.0,17.48,17.61,32400,14.54
2005-03-16,17.5,18.03,17.5,17.75,59600,14.65
2005-03-17,18.0,18.0,17.75,17.87,3900,14.75
2005-03-18,17.53,18.1,17.5,18.1,75800,14.94
2005-03-21,17.76,17.97,17.75,17.82,17500,14.71
2005-03-22,17.75,18.0,17.26,17.3,23300,14.28
2005-03-23,17.26,18.25,17.0,17.33,17100,14.31
2005-03-24,17.21,18.0,17.0,17.9,8900,14.78
2005-03-28,17.8,17.85,17.08,17.38,15700,14.35
2005-03-29,17.0,18.22,16.97,17.08,75000,14.1
2005-03-30,17.01,17.98,17.01,17.22,28000,14.22
2005-03-31,18.2,18.2,16.7,16.8,233300,13.87
2005-04-01,17.17,17.2,15.8,16.0,99400,13.21
2005-04-04,16.05,16.07,15.95,16.05,66400,13.25
2005-04-05,16.0,16.16,15.98,16.16,46900,13.34
2005-04-06,16.28,16.28,15.99,16.05,14000,13.25
2005-04-07,16.01,16.4,15.8,16.07,51300,13.27
2005-04-08,16.44,16.51,16.0,16.44,34200,13.57
2005-04-11,16.19,16.31,16.01,16.02,8800,13.22
