Date,Open,High,Low,Close,Volume,Adj Close
2007-11-08,10.02,10.58,10.0,10.45,1349500,6.71
2007-11-09,10.65,10.67,10.3,10.58,292300,6.79
2007-11-12,10.65,10.75,10.3,10.69,328500,6.86
2007-11-13,10.72,10.99,10.6,10.99,275100,7.06
2007-11-14,11.0,11.4,10.95,11.3,286400,7.26
2007-11-15,11.25,12.0,11.05,11.67,379600,7.49
2007-11-16,11.8,11.87,11.5,11.54,208700,7.41
2007-11-19,11.25,11.34,10.68,11.0,213800,7.06
2007-11-20,11.04,11.4,10.87,11.15,94200,7.16
2007-11-21,11.2,11.2,10.67,10.75,111900,6.9
2007-11-23,10.65,10.75,10.6,10.73,64800,6.89
2007-11-26,10.6,10.8,10.45,10.55,210800,6.77
2007-11-27,10.55,10.65,10.45,10.6,120300,6.81
2007-11-28,10.75,10.79,10.45,10.75,143500,6.9
2007-11-29,10.8,10.8,10.65,10.65,66200,6.84
2007-11-30,10.73,10.79,10.5,10.68,56500,6.86
2007-12-03,10.59,10.59,10.46,10.5,54000,6.74
2007-12-04,10.5,10.58,10.46,10.57,46800,6.79
2007-12-05,10.46,10.62,10.46,10.49,48900,6.74
2007-12-06,10.5,10.59,10.5,10.52,16200,6.75
2007-12-07,10.47,10.54,10.45,10.49,51300,6.74
2007-12-10,10.47,10.65,10.47,10.65,91700,6.84
2007-12-11,10.7,10.7,10.5,10.57,63800,6.79
2007-12-12,10.55,10.62,10.52,10.6,52600,6.81
2007-12-13,10.5,10.6,10.35,10.44,141500,6.7
2007-12-14,10.5,10.6,10.38,10.44,54100,6.7
2007-12-17,10.43,10.46,10.39,10.39,38000,6.67
2007-12-18,10.3,10.35,9.45,9.98,590700,6.41
2007-12-19,10.0,10.03,9.77,10.0,225400,6.42
2007-12-20,10.0,10.0,9.8,9.96,197100,6.39
2007-12-21,10.0,10.45,9.9,10.45,1537100,6.71
2007-12-24,10.44,10.85,10.3,10.84,168300,6.96
2007-12-26,10.62,10.99,10.49,10.9,154400,7.0
2007-12-27,10.82,11.0,10.27,10.49,175300,6.74
2007-12-28,10.31,10.69,10.25,10.3,148200,6.61
2007-12-31,10.23,10.84,10.23,10.82,437900,6.95
2008-01-02,10.77,10.77,10.35,10.45,49900,6.71
2008-01-03,10.32,10.4,10.0,10.08,225500,6.47
2008-01-04,10.24,10.24,10.04,10.12,122100,6.5
2008-01-07,10.19,10.29,10.0,10.12,78800,6.5
2008-01-08,10.32,10.45,9.95,10.03,69300,6.44
2008-01-09,10.05,10.3,10.03,10.2,88500,6.55
2008-01-10,10.11,10.29,9.9,10.14,210800,6.51
2008-01-11,10.02,10.18,9.9,10.1,90200,6.48
