Date,Open,High,Low,Close,Volume,Adj Close
1990-03-28,7.87,7.87,7.63,7.87,0,0.43
1990-03-29,8.0,8.0,8.0,8.0,7900,0.44
1990-03-30,9.0,9.0,9.0,9.0,10000,0.49
1990-04-02,9.0,9.0,9.0,9.0,0,0.49
1990-04-03,9.0,9.0,9.0,9.0,0,0.49
1990-04-04,9.0,9.0,9.0,9.0,0,0.49
1990-04-05,9.0,9.0,9.0,9.0,0,0.49
1990-04-06,8.13,8.63,8.13,8.63,13300,0.47
1990-04-09,8.63,8.63,8.63,8.63,0,0.47
1990-04-10,9.5,9.5,9.5,9.5,1300,0.52
1990-04-11,9.5,9.5,9.5,9.5,0,0.52
1990-04-12,8.37,8.37,8.37,8.37,3300,0.46
1990-04-16,8.37,8.37,8.37,8.37,0,0.46
1990-04-17,8.37,8.37,8.37,8.37,0,0.46
1990-04-18,8.37,8.37,8.37,8.37,0,0.46
1990-04-19,8.37,8.37,8.37,8.37,0,0.46
1990-04-20,8.37,8.37,8.37,8.37,0,0.46
1990-04-23,8.37,8.37,8.37,8.37,0,0.46
1990-04-24,9.5,9.5,9.5,9.5,100,0.52
1990-04-25,9.5,9.5,9.5,9.5,0,0.52
1990-04-26,8.25,8.25,8.0,8.0,21400,0.44
1990-04-27,8.0,8.0,8.0,8.0,0,0.44
1990-04-30,9.5,9.5,9.5,9.5,100,0.52
1990-05-01,9.5,9.5,9.5,9.5,0,0.52
1990-05-02,9.5,9.5,9.5,9.5,0,0.52
1990-05-03,9.5,9.5,9.5,9.5,0,0.52
1990-05-04,9.5,9.5,9.5,9.5,0,0.52
1990-05-07,9.5,9.5,9.5,9.5,0,0.52
1990-05-08,9.0,9.0,9.0,9.0,100,0.49
1990-05-09,9.0,9.0,9.0,9.0,0,0.49
1990-05-10,7.5,8.37,7.5,8.37,23300,0.46
1990-05-11,8.37,8.37,8.37,8.37,0,0.46
1990-05-14,8.37,8.37,8.37,8.37,0,0.46
1990-05-15,8.25,8.25,7.5,8.25,74600,0.45
1990-05-16,7.5,7.5,7.5,7.5,3100,0.41
1990-05-17,7.5,7.5,7.5,7.5,1300,0.41
1990-05-18,7.5,7.5,7.5,7.5,0,0.41
1990-05-21,7.5,7.5,7.5,7.5,0,0.41
1990-05-22,8.75,8.75,8.75,8.75,9900,0.48
1990-05-23,8.75,8.75,8.75,8.75,0,0.48
1990-05-24,8.75,8.75,8.75,8.75,0,0.48
1990-05-25,8.75,8.75,8.75,8.75,0,0.48
1990-05-29,8.75,8.75,8.75,8.75,0,0.48
1990-05-30,8.75,8.75,8.75,8.75,0,0.48
1990-05-31,7.75,9.0,7.75,7.75,3100,0.43
1990-06-01,7.75,7.75,7.75,7.75,0,0.43
1990-06-04,7.75,7.75,7.75,7.75,0,0.43
1990-06-05,7.75,7.75,7.75,7.75,0,0.43
1990-06-06,7.5,8.0,7.5,8.0,83000,0.44
1990-06-07,7.75,8.0,7.75,7.75,29900,0.43
1990-06-08,7.75,7.75,7.75,7.75,0,0.43
1990-06-11,7.0,7.13,7.0,7.13,34500,0.39
1990-06-12,8.0,8.0,7.25,7.25,21200,0.4
1990-06-13,7.0,7.5,7.0,7.0,86400,0.38
1990-06-14,7.0,7.0,7.0,7.0,3100,0.38
1990-06-15,7.0,7.5,7.0,7.5,4500,0.41
1990-06-18,7.0,7.0,7.0,7.0,6600,0.38
1990-06-19,7.5,7.5,7.25,7.25,29900,0.4
1990-06-20,7.25,7.25,7.25,7.25,0,0.4
