Date,Open,High,Low,Close,Volume,Adj Close
2013-07-18,28.1,31.0,25.05,27.18,4783700,27.18
2013-07-19,26.85,27.58,25.67,26.7,537700,26.7
2013-07-22,27.46,28.3,26.75,26.99,133200,26.99
2013-07-23,27.05,27.95,26.74,26.74,132200,26.74
2013-07-24,26.81,27.5,23.21,23.47,377900,23.47
2013-07-25,23.35,23.49,20.03,20.13,526400,20.13
2013-07-26,20.41,20.41,18.57,19.31,854900,19.31
2013-07-29,19.87,21.3,19.7,20.99,166000,20.99
2013-07-30,21.24,21.28,19.5,20.14,160400,20.14
2013-07-31,20.34,21.0,19.76,20.18,107800,20.18
2013-08-01,20.73,20.73,19.2,19.37,125500,19.37
2013-08-02,19.2,20.53,19.03,20.53,120800,20.53
2013-08-05,20.44,21.86,20.08,21.85,93900,21.85
2013-08-06,21.17,21.8,20.04,20.17,108200,20.17
2013-08-07,20.5,20.52,19.52,20.01,63400,20.01
2013-08-08,20.64,20.64,19.78,19.88,83300,19.88
2013-08-09,19.98,19.98,19.13,19.84,73400,19.84
2013-08-12,20.13,20.24,19.0,19.36,207900,19.36
2013-08-13,19.3,19.73,17.66,18.45,234800,18.45
2013-08-14,18.38,19.1,18.38,18.49,97900,18.49
2013-08-15,18.41,19.48,18.36,18.89,141200,18.89
2013-08-16,19.19,19.43,18.58,18.58,164900,18.58
2013-08-19,18.57,18.6,17.54,17.73,119400,17.73
2013-08-20,17.5,17.9,16.25,16.69,208600,16.69
2013-08-21,16.64,16.67,15.74,16.36,194000,16.36
2013-08-22,16.53,17.08,16.53,16.65,67200,16.65
2013-08-23,16.65,17.16,16.65,16.85,63800,16.85
2013-08-26,16.98,17.75,16.98,17.4,88700,17.4
2013-08-27,17.38,17.38,16.6,17.07,81400,17.07
2013-08-28,17.27,17.27,16.85,16.94,43900,16.94
2013-08-29,17.12,17.23,16.6,17.01,35500,17.01
2013-08-30,17.0,17.08,16.23,16.23,44900,16.23
2013-09-03,16.55,17.0,16.25,16.41,94700,16.41
2013-09-04,16.16,16.4,15.82,15.98,86100,15.98
2013-09-05,16.15,16.38,16.09,16.16,57200,16.16
2013-09-06,16.31,16.4,16.05,16.05,81000,16.05
2013-09-09,16.1,16.64,16.07,16.21,135500,16.21
2013-09-10,16.2,16.62,16.01,16.18,104300,16.18
2013-09-11,16.21,16.69,16.01,16.6,159000,16.6
2013-09-12,16.69,16.99,16.57,16.66,131400,16.66
2013-09-13,16.62,17.87,16.62,17.33,127100,17.33
2013-09-16,17.66,17.8,16.8,16.91,59600,16.91
2013-09-17,16.99,17.1,16.36,16.63,87800,16.63
2013-09-18,16.65,16.91,16.27,16.73,89200,16.73
2013-09-19,16.83,17.1,16.46,16.71,116900,16.71
2013-09-20,16.85,16.85,16.25,16.27,137400,16.27
