Date,Open,High,Low,Close,Volume,Adj Close
1987-12-30,5.88,6.12,5.88,6.0,59400,0.46
1987-12-31,6.0,6.12,6.0,6.0,61100,0.46
1988-01-04,6.12,6.25,6.0,6.12,15400,0.47
1988-01-05,6.12,6.12,6.0,6.12,12700,0.47
1988-01-06,6.25,6.25,6.12,6.25,4700,0.48
1988-01-07,6.38,6.38,6.12,6.12,33600,0.47
1988-01-08,6.12,6.12,6.12,6.12,7400,0.47
1988-01-11,6.12,6.12,6.0,6.12,62000,0.47
1988-01-12,6.0,6.0,6.0,6.0,12300,0.46
1988-01-13,6.0,6.0,5.88,5.88,5300,0.45
1988-01-14,5.88,5.88,5.88,5.88,2000,0.45
1988-01-15,6.0,6.0,5.88,5.88,105800,0.45
1988-01-18,6.0,6.0,5.88,6.0,3900,0.46
1988-01-19,5.88,5.88,5.75,5.75,13100,0.44
1988-01-20,5.62,5.75,5.62,5.75,6700,0.44
1988-01-21,5.88,5.88,5.62,5.75,6200,0.44
1988-01-22,5.75,5.88,5.75,5.88,9400,0.45
1988-01-25,5.75,5.88,5.75,5.88,19800,0.46
1988-01-26,5.88,5.88,5.75,5.75,4500,0.45
1988-01-27,5.88,6.0,5.88,6.0,24600,0.47
1988-01-28,6.0,6.0,5.88,6.0,105200,0.47
1988-01-29,6.0,6.0,5.88,6.0,11800,0.47
1988-02-01,5.88,5.88,5.75,5.75,34900,0.45
1988-02-02,5.88,6.0,5.88,5.88,13400,0.46
1988-02-03,6.0,6.0,5.75,5.75,36000,0.45
1988-02-04,5.88,6.0,5.75,5.88,21900,0.46
1988-02-05,6.0,6.0,5.88,6.0,17200,0.47
1988-02-08,5.88,6.25,5.88,6.12,10900,0.48
1988-02-09,6.12,6.12,6.0,6.0,18300,0.47
1988-02-10,6.0,6.0,5.75,6.0,112600,0.47
1988-02-11,6.0,6.0,5.88,5.88,4500,0.46
1988-02-12,6.0,6.0,5.88,5.88,5600,0.46
1988-02-16,6.0,6.0,5.75,6.0,29500,0.47
1988-02-17,6.0,6.0,5.88,5.88,4800,0.46
1988-02-18,5.75,5.88,5.75,5.75,16100,0.45
1988-02-19,5.88,5.88,5.75,5.75,11300,0.45
1988-02-22,6.0,6.0,5.75,5.75,19200,0.45
1988-02-23,5.62,5.88,5.62,5.75,7900,0.45
1988-02-24,5.75,5.75,5.62,5.75,10000,0.45
1988-02-25,5.75,5.75,5.62,5.62,26600,0.44
1988-02-26,5.75,5.88,5.62,5.75,7100,0.45
1988-02-29,5.75,5.88,5.75,5.75,5100,0.45
1988-03-01,5.88,5.88,5.75,5.75,13000,0.45
1988-03-02,5.75,5.88,5.75,5.75,11300,0.45
1988-03-03,5.75,5.88,5.62,5.62,28600,0.44
1988-03-04,5.62,5.75,5.62,5.75,37200,0.45
1988-03-07,5.75,5.88,5.75,5.88,15800,0.46
1988-03-08,5.75,5.88,5.75,5.88,10100,0.46
1988-03-09,5.88,5.88,5.75,5.75,16400,0.45
1988-03-10,5.75,5.88,5.75,5.88,55400,0.46
1988-03-11,5.88,6.0,5.75,6.0,13800,0.47
1988-03-14,5.88,5.88,5.88,5.88,1800,0.46
1988-03-15,6.0,6.0,5.75,5.75,19300,0.45
1988-03-16,5.75,5.88,5.75,5.75,15600,0.45
1988-03-17,5.75,6.0,5.75,6.0,9700,0.47
1988-03-18,5.88,6.0,5.75,5.88,14700,0.46
1988-03-21,5.75,6.12,5.75,5.88,17400,0.46
1988-03-22,6.0,6.12,5.88,5.88,17500,0.46
1988-03-23,5.88,6.0,5.88,6.0,9100,0.47
1988-03-24,5.88,6.0,5.75,6.0,103800,0.47
1988-03-25,5.88,5.88,5.75,5.75,19300,0.46
1988-03-28,5.75,5.75,5.75,5.75,5400,0.46
1988-03-29,5.75,6.0,5.75,5.88,7500,0.47
1988-03-30,6.0,6.12,5.88,5.88,32500,0.47
1988-03-31,6.0,6.12,5.88,5.88,14200,0.47
1988-04-04,6.0,6.12,6.0,6.0,8900,0.48
1988-04-05,6.0,6.12,6.0,6.12,2900,0.49
1988-04-06,6.0,6.12,6.0,6.0,25600,0.48
1988-04-07,6.12,6.12,6.0,6.0,14000,0.48
1988-04-08,6.0,6.25,5.88,6.25,42100,0.5
1988-04-11,6.12,6.38,6.12,6.38,16100,0.51
1988-04-12,6.25,6.38,6.25,6.38,70800,0.51
1988-04-13,6.38,6.38,6.25,6.38,13900,0.51
1988-04-14,6.25,6.38,6.12,6.12,27200,0.49
1988-04-15,6.25,6.25,5.88,5.88,53400,0.47
1988-04-18,5.88,6.0,5.88,5.88,94600,0.47
1988-04-19,5.88,6.12,5.88,6.0,18000,0.48
1988-04-20,6.0,6.0,5.88,6.0,13900,0.48
1988-04-21,6.0,6.0,5.88,6.0,6400,0.48
1988-04-22,6.0,6.0,6.0,6.0,20700,0.48
1988-04-25,5.88,6.0,5.88,5.88,17200,0.47
1988-04-26,6.0,6.0,5.88,5.88,6900,0.47
1988-04-27,5.88,6.0,5.88,6.0,10400,0.48
1988-04-28,6.0,6.0,5.88,6.0,183200,0.48
1988-04-29,5.88,6.0,5.88,5.88,7800,0.47
1988-05-02,5.88,5.88,5.75,5.88,9800,0.47
1988-05-03,5.75,5.88,5.75,5.88,5600,0.47
1988-05-04,5.88,5.88,5.75,5.88,3300,0.47
1988-05-05,5.75,6.0,5.75,6.0,17800,0.48
1988-05-06,6.0,6.12,6.0,6.0,15800,0.48
1988-05-09,6.0,6.12,6.0,6.12,11000,0.49
1988-05-10,6.12,6.12,6.0,6.0,6500,0.48
1988-05-11,6.0,6.12,6.0,6.0,17900,0.48
1988-05-12,6.0,6.0,6.0,6.0,9900,0.48
1988-05-13,6.0,6.12,6.0,6.0,10700,0.48
1988-05-16,6.12,6.12,6.0,6.0,15400,0.48
1988-05-17,5.88,6.0,5.88,6.0,6300,0.48
1988-05-18,5.88,5.88,5.75,5.75,40000,0.46
