Date,Open,High,Low,Close,Volume,Adj Close
1987-12-30,14.38,14.5,14.12,14.25,38600,9.69
1987-12-31,14.25,14.25,13.62,13.75,66900,9.35
1988-01-04,14.0,14.38,13.88,14.38,82600,9.77
1988-01-05,14.5,15.88,14.5,15.0,163200,10.2
1988-01-06,15.25,15.25,14.88,15.12,138600,10.28
1988-01-07,15.25,15.25,14.75,15.12,81100,10.28
1988-01-08,15.25,15.25,13.25,13.62,74700,9.26
1988-01-11,13.5,14.38,13.5,13.75,121700,9.35
1988-01-12,13.88,13.88,13.12,13.38,65500,9.09
1988-01-13,13.5,13.5,13.12,13.38,42100,9.09
1988-01-14,13.38,13.62,13.25,13.38,24200,9.09
1988-01-15,14.0,14.12,13.75,13.88,71600,9.43
1988-01-18,13.75,13.88,13.5,13.88,23700,9.43
1988-01-19,13.88,13.88,13.38,13.38,14300,9.09
1988-01-20,13.62,13.88,13.38,13.5,53400,9.18
1988-01-21,13.62,13.62,13.0,13.25,35800,9.01
1988-01-22,13.38,13.5,12.88,13.12,52500,8.92
1988-01-25,13.38,13.75,13.25,13.5,26100,9.18
1988-01-26,13.5,13.75,13.38,13.75,8300,9.35
1988-01-27,13.62,13.75,13.5,13.62,18900,9.26
1988-01-28,13.38,13.5,13.12,13.38,54700,9.09
1988-01-29,13.38,13.5,13.12,13.12,32600,8.92
1988-02-01,13.38,13.75,13.38,13.38,63700,9.09
1988-02-02,13.5,13.5,13.12,13.12,15200,8.92
1988-02-03,13.25,13.25,13.0,13.12,42200,8.92
1988-02-04,13.0,13.0,12.38,12.38,113000,8.41
1988-02-05,12.75,13.0,12.62,12.75,73100,8.67
1988-02-08,12.75,12.88,12.62,12.75,31000,8.67
1988-02-09,12.5,12.75,12.5,12.75,40700,8.67
1988-02-10,12.5,13.0,12.38,12.88,84000,8.75
1988-02-11,13.0,13.12,12.62,12.62,122600,8.58
1988-02-12,12.75,13.38,12.75,13.38,338100,9.09
1988-02-16,13.38,13.5,13.0,13.0,86000,8.84
1988-02-17,13.25,13.5,13.0,13.0,102800,8.84
1988-02-18,13.0,13.12,12.62,12.62,110900,8.58
1988-02-19,12.75,12.88,12.5,12.62,63500,8.58
1988-02-22,12.88,13.0,12.62,12.75,69400,8.67
1988-02-23,12.88,13.38,12.88,12.88,100500,8.75
1988-02-24,12.88,13.0,12.62,12.88,246200,8.75
1988-02-25,12.88,13.38,12.88,13.38,218800,9.09
1988-02-26,13.25,13.38,13.12,13.25,87100,9.01
1988-02-29,13.25,13.5,13.25,13.5,49600,9.18
1988-03-01,13.5,13.75,13.38,13.38,183300,9.09
1988-03-02,13.5,13.5,13.25,13.38,176500,9.09
1988-03-03,13.5,13.75,13.38,13.38,64000,9.09
1988-03-04,13.38,13.75,13.12,13.25,144300,9.01
1988-03-07,13.5,13.5,13.12,13.25,86400,9.01
1988-03-08,13.12,13.75,13.12,13.75,47800,9.35
1988-03-09,13.75,14.0,13.62,14.0,143800,9.52
1988-03-10,13.88,14.38,13.62,13.62,188500,9.26
1988-03-11,13.88,14.0,13.75,13.88,157500,9.43
1988-03-14,13.88,13.88,13.5,13.62,47600,9.26
1988-03-15,13.62,13.62,13.25,13.25,32000,9.01
1988-03-16,13.5,13.75,13.38,13.75,81400,9.35
1988-03-17,13.88,13.88,13.5,13.88,32000,9.43
1988-03-18,13.75,14.25,13.75,14.0,89100,9.52
1988-03-21,13.88,14.0,13.25,13.62,119500,9.26
1988-03-22,13.62,14.12,13.62,14.0,120800,9.52
1988-03-23,14.12,14.38,13.75,14.12,90900,9.6
1988-03-24,13.88,14.0,13.62,13.75,82500,9.35
1988-03-25,13.5,13.62,13.25,13.25,53500,9.01
1988-03-28,13.12,13.25,12.88,13.12,132200,8.92
1988-03-29,13.0,13.12,12.5,13.0,560800,8.84
1988-03-30,13.25,13.5,13.12,13.38,156900,9.09
1988-03-31,13.38,13.5,13.25,13.38,172300,9.09
1988-04-04,13.25,13.25,12.75,12.75,330200,8.68
1988-04-05,12.75,12.88,12.62,12.75,147000,8.68
1988-04-06,12.75,13.0,12.75,12.75,144300,8.68
1988-04-07,12.88,13.12,12.62,13.0,106200,8.85
1988-04-08,13.0,13.0,12.75,12.88,65700,8.77
1988-04-11,12.88,13.12,12.5,12.88,65200,8.77
1988-04-12,12.75,12.88,12.62,12.62,68200,8.6
1988-04-13,12.62,12.75,12.38,12.5,744300,8.51
1988-04-14,12.38,12.5,12.12,12.12,363200,8.26
1988-04-15,12.0,12.38,12.0,12.12,105000,8.26
1988-04-18,12.12,12.25,11.88,12.12,232100,8.26
1988-04-19,12.12,12.25,12.0,12.12,49900,8.26
1988-04-20,12.0,12.0,11.75,11.88,126100,8.09
1988-04-21,11.88,12.5,11.75,12.25,211600,8.34
1988-04-22,12.25,12.25,12.12,12.25,118800,8.34
1988-04-25,12.25,12.25,11.88,12.0,104800,8.17
1988-04-26,12.0,12.12,11.88,12.0,131900,8.17
1988-04-27,11.88,12.25,11.5,11.62,578400,7.92
1988-04-28,11.75,11.88,11.5,11.62,273400,7.92
1988-04-29,11.62,11.62,11.38,11.62,229500,7.92
1988-05-02,11.5,11.5,11.38,11.5,70000,7.83
1988-05-03,11.62,11.62,11.25,11.38,194500,7.75
1988-05-04,11.38,11.38,11.0,11.0,346500,7.49
1988-05-05,11.0,11.25,10.88,11.25,275100,7.66
1988-05-06,11.25,11.25,11.0,11.25,84100,7.66
1988-05-09,11.0,11.12,10.88,11.12,203500,7.58
1988-05-10,11.0,11.0,10.88,10.88,62900,7.4
1988-05-11,10.88,10.88,10.5,10.5,137500,7.15
1988-05-12,10.75,10.88,10.62,10.75,391300,7.32
1988-05-13,11.0,11.25,11.0,11.12,141500,7.58
1988-05-16,11.12,11.38,11.0,11.0,195000,7.49
1988-05-17,11.0,11.25,10.62,10.75,159600,7.32
1988-05-18,10.75,10.88,10.5,10.62,816000,7.23
1988-05-19,10.62,10.75,10.38,10.38,161600,7.06
